t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.003,1778935139.817328,NORMAL,,False,False,False,0.0,100,,
1.057,1778935140.872256,NORMAL,,False,False,False,0.0,100,,
2.084,1778935141.898666,NORMAL,,False,False,False,1.33,100,,
3.102,1778935142.916425,NORMAL,,False,False,False,1.33,100,,
4.12,1778935143.934644,NORMAL,,False,False,False,1.33,100,,
5.141,1778935144.955804,NORMAL,,False,False,False,0.0,100,,
6.211,1778935146.026146,NORMAL,,False,False,False,0.0,100,,
7.237,1778935147.051499,NORMAL,,False,False,False,0.0,100,,
8.254,1778935148.068983,NORMAL,,False,False,False,0.0,100,,
9.273,1778935149.087344,NORMAL,,False,False,False,0.0,100,,
10.293,1778935150.10796,NORMAL,,False,False,False,0.0,100,,
11.35,1778935151.165132,NORMAL,,False,False,False,0.0,100,,
12.373,1778935152.187468,NORMAL,,False,False,False,0.0,100,,
13.39,1778935153.205268,NORMAL,,False,False,False,0.0,100,,
14.408,1778935154.222354,NORMAL,,False,False,False,0.0,100,,
15.429,1778935155.244047,NORMAL,,False,False,False,0.0,100,,
16.498,1778935156.312485,NORMAL,,False,False,False,0.0,100,,
17.522,1778935157.336345,NORMAL,,False,False,False,0.0,100,,
18.539,1778935158.353542,NORMAL,,False,False,False,0.0,100,,
19.556,1778935159.370663,NORMAL,,False,False,False,0.0,100,,
20.586,1778935160.400502,NORMAL,,False,False,False,0.0,100,,
21.627,1778935161.441645,NORMAL,,False,False,False,0.0,100,,
22.644,1778935162.459279,NORMAL,,False,False,False,0.0,100,,
23.662,1778935163.47671,NORMAL,,False,False,False,0.0,100,,
24.68,1778935164.49473,NORMAL,,False,False,False,0.0,100,,
25.698,1778935165.513002,NORMAL,,False,False,False,0.0,100,,
26.738,1778935166.552479,NORMAL,,False,False,False,0.0,100,,
27.755,1778935167.569951,NORMAL,,False,False,False,0.0,100,,
28.773,1778935168.587913,NORMAL,,False,False,False,0.0,100,,
29.791,1778935169.605499,NORMAL,,False,False,False,0.0,100,,
30.815,1778935170.629698,NORMAL,,False,False,False,0.0,100,,
31.853,1778935171.668192,NORMAL,,False,False,False,0.0,100,,
32.871,1778935172.685747,NORMAL,,False,False,False,0.0,100,,
33.888,1778935173.70303,NORMAL,,False,False,False,0.0,100,,
34.906,1778935174.720837,NORMAL,,False,False,False,0.0,100,,
35.931,1778935175.746168,NORMAL,,False,False,False,0.0,100,,
36.972,1778935176.786914,NORMAL,,False,False,False,0.0,100,,
37.99,1778935177.804744,NORMAL,,False,False,False,0.0,100,,
39.007,1778935178.822127,NORMAL,,False,False,False,0.0,100,,
40.025,1778935179.840052,NORMAL,,False,False,False,0.0,100,,
41.044,1778935180.858344,NORMAL,,False,False,False,0.0,100,,
42.082,1778935181.897289,NORMAL,,False,False,False,0.0,100,,
43.101,1778935182.915778,NORMAL,,False,False,False,0.0,100,,
44.118,1778935183.933051,NORMAL,,False,False,False,0.0,100,,
45.136,1778935184.950358,NORMAL,,False,False,False,0.0,100,,
46.153,1778935185.967819,NORMAL,,False,False,False,0.0,100,,
47.181,1778935186.995425,NORMAL,,False,False,False,0.0,100,,
48.198,1778935188.013148,NORMAL,,False,False,False,0.0,100,,
49.217,1778935189.032035,NORMAL,,False,False,False,0.0,100,,
50.234,1778935190.049205,NORMAL,,False,False,False,0.0,100,,
51.252,1778935191.067275,NORMAL,,False,False,False,0.0,100,,
52.277,1778935192.091484,NORMAL,,False,False,False,0.0,100,,
53.294,1778935193.108766,NORMAL,,False,False,False,0.0,100,,
54.312,1778935194.126932,NORMAL,,False,False,False,0.0,100,,
55.329,1778935195.144061,NORMAL,,False,False,False,0.0,100,,
56.347,1778935196.161758,NORMAL,,False,False,False,0.0,100,,
57.372,1778935197.187096,NORMAL,,False,False,False,0.0,100,,
58.391,1778935198.205615,NORMAL,,False,False,False,0.0,100,,
59.408,1778935199.222671,NORMAL,,False,False,False,0.0,100,,
60.425,1778935200.239713,NORMAL,,False,False,False,0.0,100,,
61.442,1778935201.256885,NORMAL,,False,False,False,0.0,100,,
62.469,1778935202.283959,NORMAL,,False,False,False,0.0,100,,
63.487,1778935203.301653,NORMAL,,False,False,False,0.0,100,,
64.504,1778935204.318712,NORMAL,,False,False,False,0.0,100,,
65.522,1778935205.336409,NORMAL,,False,False,False,0.0,100,,
66.539,1778935206.3537,NORMAL,,False,False,False,0.0,100,,
67.565,1778935207.379863,NORMAL,,False,False,False,0.0,100,,
68.582,1778935208.397297,NORMAL,,False,False,False,0.0,100,,
69.6,1778935209.415107,NORMAL,,False,False,False,0.0,100,,
70.617,1778935210.432184,NORMAL,,False,False,False,0.0,100,,
71.635,1778935211.449437,NORMAL,,False,False,False,0.0,100,,
72.66,1778935212.475034,NORMAL,,False,False,False,0.0,100,,
73.678,1778935213.493253,NORMAL,,False,False,False,0.0,100,,
74.696,1778935214.510336,NORMAL,,False,False,False,0.0,100,,
