t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.003,1778935139.817328,NORMAL,False,0,0,0,0,0,0,0,0,0
1.057,1778935140.872256,NORMAL,False,0,0,0,0,0,0,0,0,0
2.084,1778935141.898666,NORMAL,False,0,0,0,0,1,4,0,0,0
3.102,1778935142.916425,NORMAL,False,0,0,0,0,1,4,0,0,0
4.12,1778935143.934644,NORMAL,False,0,0,0,0,1,4,0,0,0
5.141,1778935144.955804,NORMAL,False,0,0,0,0,1,4,0,0,0
6.211,1778935146.026146,NORMAL,False,0,0,0,0,1,4,0,0,0
7.237,1778935147.051499,NORMAL,False,0,0,0,0,1,4,0,0,0
8.254,1778935148.068983,NORMAL,False,0,0,0,0,1,4,0,0,0
9.273,1778935149.087344,NORMAL,False,0,0,0,0,1,4,0,0,0
10.293,1778935150.10796,NORMAL,False,0,0,0,0,1,4,0,0,0
11.35,1778935151.165132,NORMAL,False,0,0,0,0,1,4,0,0,0
12.373,1778935152.187468,NORMAL,False,0,0,0,0,1,4,0,0,0
13.39,1778935153.205268,NORMAL,False,0,0,0,0,1,4,0,0,0
14.408,1778935154.222354,NORMAL,False,0,0,0,0,1,4,0,0,0
15.429,1778935155.244047,NORMAL,False,0,0,0,0,1,4,0,0,0
16.498,1778935156.312485,NORMAL,False,0,0,0,0,1,4,0,0,0
17.522,1778935157.336345,NORMAL,False,0,0,0,0,1,4,0,0,0
18.539,1778935158.353542,NORMAL,False,0,0,0,0,1,4,0,0,0
19.556,1778935159.370663,NORMAL,False,0,0,0,0,1,4,0,0,0
20.586,1778935160.400502,NORMAL,False,0,0,0,0,1,4,0,0,0
21.627,1778935161.441645,NORMAL,False,0,0,0,0,1,4,0,0,0
22.644,1778935162.459279,NORMAL,False,0,0,0,0,1,4,0,0,0
23.662,1778935163.47671,NORMAL,False,0,0,0,0,1,4,0,0,0
24.68,1778935164.49473,NORMAL,False,0,0,0,0,1,4,0,0,0
25.698,1778935165.513002,NORMAL,False,0,0,0,0,1,4,0,0,0
26.738,1778935166.552479,NORMAL,False,0,0,0,0,1,4,0,0,0
27.755,1778935167.569951,NORMAL,False,0,0,0,0,1,4,0,0,0
28.773,1778935168.587913,NORMAL,False,0,0,0,0,1,4,0,0,0
29.791,1778935169.605499,NORMAL,False,0,0,0,0,1,4,0,0,0
30.815,1778935170.629698,NORMAL,False,0,0,0,0,1,4,0,0,0
31.853,1778935171.668192,NORMAL,False,0,0,0,0,1,4,0,0,0
32.871,1778935172.685747,NORMAL,False,0,0,0,0,1,4,0,0,0
33.888,1778935173.70303,NORMAL,False,0,0,0,0,1,4,0,0,0
34.906,1778935174.720837,NORMAL,False,0,0,0,0,1,4,0,0,0
35.931,1778935175.746168,NORMAL,False,0,0,0,0,1,4,0,0,0
36.972,1778935176.786914,NORMAL,False,0,0,0,0,1,4,0,0,0
37.99,1778935177.804744,NORMAL,False,0,0,0,0,1,4,0,0,0
39.007,1778935178.822127,NORMAL,False,0,0,0,0,1,4,0,0,0
40.025,1778935179.840052,NORMAL,False,0,0,0,0,1,4,0,0,0
41.044,1778935180.858344,NORMAL,False,0,0,0,0,1,4,0,0,0
42.082,1778935181.897289,NORMAL,False,0,0,0,0,1,4,0,0,0
43.101,1778935182.915778,NORMAL,False,0,0,0,0,1,4,0,0,0
44.118,1778935183.933051,NORMAL,False,0,0,0,0,1,4,0,0,0
45.136,1778935184.950358,NORMAL,False,0,0,0,0,1,4,0,0,0
46.153,1778935185.967819,NORMAL,False,0,0,0,0,1,4,0,0,0
47.181,1778935186.995425,NORMAL,False,0,0,0,0,1,4,0,0,0
48.198,1778935188.013148,NORMAL,False,0,0,0,0,1,4,0,0,0
49.217,1778935189.032035,NORMAL,False,0,0,0,0,1,4,0,0,0
50.234,1778935190.049205,NORMAL,False,0,0,0,0,1,4,0,0,0
51.252,1778935191.067275,NORMAL,False,0,0,0,0,1,4,0,0,0
52.277,1778935192.091484,NORMAL,False,0,0,0,0,1,4,0,0,0
53.294,1778935193.108766,NORMAL,False,0,0,0,0,1,4,0,0,0
54.312,1778935194.126932,NORMAL,False,0,0,0,0,1,4,0,0,0
55.329,1778935195.144061,NORMAL,False,0,0,0,0,1,4,0,0,0
56.347,1778935196.161758,NORMAL,False,0,0,0,0,1,4,0,0,0
57.372,1778935197.187096,NORMAL,False,0,0,0,0,1,4,0,0,0
58.391,1778935198.205615,NORMAL,False,0,0,0,0,1,4,0,0,0
59.408,1778935199.222671,NORMAL,False,0,0,0,0,1,4,0,0,0
60.425,1778935200.239713,NORMAL,False,0,0,0,0,1,4,0,0,0
61.442,1778935201.256885,NORMAL,False,0,0,0,0,1,4,0,0,0
62.469,1778935202.283959,NORMAL,False,0,0,0,0,1,4,0,0,0
63.487,1778935203.301653,NORMAL,False,0,0,0,0,1,4,0,0,0
64.504,1778935204.318712,NORMAL,False,0,0,0,0,1,4,0,0,0
65.522,1778935205.336409,NORMAL,False,0,0,0,0,1,4,0,0,0
66.539,1778935206.3537,NORMAL,False,0,0,0,0,1,4,0,0,0
67.565,1778935207.379863,NORMAL,False,0,0,0,0,1,4,0,0,0
68.582,1778935208.397297,NORMAL,False,0,0,0,0,1,4,0,0,0
69.6,1778935209.415107,NORMAL,False,0,0,0,0,1,4,0,0,0
70.617,1778935210.432184,NORMAL,False,0,0,0,0,1,4,0,0,0
71.635,1778935211.449437,NORMAL,False,0,0,0,0,1,4,0,0,0
72.66,1778935212.475034,NORMAL,False,0,0,0,0,1,4,0,0,0
73.678,1778935213.493253,NORMAL,False,0,0,0,0,1,4,0,0,0
74.696,1778935214.510336,NORMAL,False,0,0,0,0,1,4,0,0,0
