t,rtt_ms
0.0,1.15
0.5,4.21
1.0,4.94
1.5,5.61
2.0,5.98
2.5,6.72
3.0,7.66
3.5,8.12
4.0,8.69
4.5,8.71
5.0,8.85
5.5,8.7
6.0,8.68
6.5,8.72
7.0,8.84
7.5,4.1
8.0,5.15
8.5,5.8
9.0,5.88
9.5,6.57
10.0,6.74
10.5,8.83
11.0,9.95
11.5,10.2
12.0,10.6
12.5,10.6
13.0,5.93
13.5,6.73
14.0,7.47
14.5,7.6
15.0,7.8
15.5,7.58
16.0,7.68
16.5,7.72
17.0,8.53
17.5,8.59
18.0,8.55
18.5,8.93
19.0,9.63
19.5,9.82
20.0,9.61
20.5,9.78
21.0,10.5
21.5,10.4
22.0,10.5
22.5,9.46
23.0,9.85
23.5,10.8
24.0,6.69
24.5,7.1
25.0,7.69
25.5,8.53
26.0,8.89
26.5,9.75
27.0,10.3
27.5,10.7
28.0,5.8
28.5,6.56
29.0,6.51
29.5,6.87
30.0,7.75
30.5,8.38
31.0,8.54
31.5,8.78
32.0,8.57
32.5,8.72
33.0,9.61
33.5,9.9
34.0,10.6
34.5,10.5
35.0,10.7
35.5,10.6
36.0,10.6
36.5,10.5
37.0,6.09
37.5,6.46
38.0,6.52
38.5,7.12
39.0,7.63
39.5,7.66
40.0,9.78
40.5,10.0
41.0,12.0
41.5,11.9
42.0,7.28
42.5,10.9
43.0,12.0
43.5,6.99
44.0,7.12
44.5,10.3
45.0,8.95
45.5,11.5
46.0,9.71
46.5,10.7
47.0,9.41
47.5,15.1
48.0,9.02
48.5,7.76
49.0,12.0
49.5,13.0
50.0,8.61
50.5,6.89
51.0,9.07
51.5,11.1
52.0,10.3
52.5,12.5
53.0,11.1
53.5,11.3
54.0,6.21
54.5,6.78
55.0,10.2
55.5,9.61
56.0,11.4
56.5,10.0
57.0,11.0
57.5,9.73
58.0,10.0
58.5,12.1
59.0,11.1
59.5,8.14
60.0,12.0
60.5,7.93
61.0,8.68
61.5,9.57
62.0,9.51
62.5,5.9
63.0,8.92
63.5,7.48
64.0,7.42
64.5,7.84
65.0,11.7
65.5,11.4
66.0,6.91
66.5,7.42
67.0,13.0
67.5,8.63
68.0,8.9
68.5,9.45
69.0,9.78
69.5,9.8
70.0,11.6
70.5,10.1
71.0,7.89
71.5,6.95
72.0,7.61
72.5,8.76
73.0,8.12
73.5,8.58
74.0,9.13
74.5,9.59
