t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.003,1778980647.860723,eth0,2047.8333,4436.9723,6484.8056,1097533,1068293,0.8519,5.4008,6.2527,605084154,118496282,0,0,0,0
1.061,1778980648.91916,eth0,34.0124,37.7916,71.804,1097569,1068333,0.0449,0.0597,0.1046,605090090,118504184,0,0,0,0
2.08,1778980649.937541,eth0,49.0975,54.9892,104.0868,1097619,1068389,0.0488,0.0641,0.1129,605096303,118512346,0,0,0,0
3.106,1778980650.96425,eth0,9.7399,13.6358,23.3757,1097629,1068403,0.0066,0.0141,0.0207,605097147,118514158,0,0,0,0
4.124,1778980651.982208,eth0,19.6472,23.5766,43.2238,1097649,1068427,0.0124,0.0232,0.0356,605098727,118517112,0,0,0,0
5.15,1778980653.007512,eth0,18.5311,25.3583,43.8894,1097668,1068453,0.013,0.0382,0.0512,605100387,118522011,0,0,0,0
6.169,1778980654.02656,eth0,8.8318,14.7196,23.5514,1097677,1068468,0.0058,0.0163,0.0222,605101131,118524089,0,0,0,0
7.186,1778980655.043621,eth0,8.849,14.7484,23.5974,1097686,1068483,0.0059,0.0163,0.0223,605101883,118526167,0,0,0,0
8.203,1778980656.060686,eth0,16.7148,23.5973,40.3121,1097703,1068507,0.0215,0.0409,0.0624,605104611,118531372,0,0,0,0
9.221,1778980657.078665,eth0,17.6821,22.5938,40.2759,1097721,1068530,0.0111,0.022,0.0331,605106023,118534169,0,0,0,0
10.238,1778980658.0958,eth0,8.8484,14.7473,23.5957,1097730,1068545,0.0059,0.0163,0.0223,605106775,118536247,0,0,0,0
11.255,1778980659.11318,eth0,8.8463,17.6925,26.5388,1097739,1068563,0.0059,0.0193,0.0252,605107527,118538699,0,0,0,0
12.282,1778980660.139959,eth0,37.0089,42.8524,79.8614,1097777,1068607,0.0269,0.0529,0.0798,605110977,118545487,0,0,0,0
13.299,1778980661.157248,eth0,11.7961,18.6771,30.4731,1097789,1068626,0.0068,0.0204,0.0272,605111841,118548077,0,0,0,0
14.326,1778980662.183346,eth0,19.4913,22.415,41.9063,1097809,1068649,0.0128,0.0238,0.0366,605113480,118551129,0,0,0,0
15.344,1778980663.201437,eth0,37.3248,48.1293,85.4541,1097847,1068698,0.0314,0.0683,0.0998,605117479,118559825,0,0,0,0
16.384,1778980664.242223,eth0,49.9623,59.5704,109.5326,1097899,1068760,0.0579,0.0773,0.1351,605125006,118569879,0,0,0,0
17.402,1778980665.259944,eth0,18.6692,21.6169,40.2861,1097918,1068782,0.0124,0.0223,0.0347,605126584,118572715,0,0,0,0
18.42,1778980666.277771,eth0,10.8073,16.7022,27.5096,1097929,1068799,0.0068,0.0174,0.0242,605127448,118574933,0,0,0,0
19.437,1778980667.294721,eth0,11.8,15.7333,27.5333,1097941,1068815,0.0151,0.0169,0.032,605129362,118577085,0,0,0,0
20.454,1778980668.311666,eth0,8.85,14.7501,23.6001,1097950,1068830,0.0059,0.0163,0.0223,605130114,118579163,0,0,0,0
21.471,1778980669.328882,eth0,19.6615,25.56,45.2215,1097970,1068856,0.0142,0.0273,0.0415,605131920,118582640,0,0,0,0
22.489,1778980670.347105,eth0,33.3915,40.2662,73.6577,1098004,1068897,0.0292,0.0598,0.089,605135637,118590248,0,0,0,0
23.515,1778980671.373165,eth0,19.492,22.4158,41.9079,1098024,1068920,0.0119,0.0213,0.0332,605137157,118592985,0,0,0,0
24.533,1778980672.390728,eth0,28.4995,35.3786,63.8781,1098053,1068956,0.0192,0.0513,0.0705,605139597,118599510,0,0,0,0
25.558,1778980673.415941,eth0,8.7787,13.6557,22.4344,1098062,1068970,0.0059,0.0146,0.0204,605140349,118601378,0,0,0,0
26.577,1778980674.435044,eth0,8.8313,16.6813,25.5126,1098071,1068987,0.0059,0.0187,0.0246,605141101,118603764,0,0,0,0
27.604,1778980675.461602,eth0,10.7154,14.6119,25.3274,1098082,1069002,0.0067,0.0151,0.0219,605141965,118605706,0,0,0,0
28.621,1778980676.479028,eth0,10.8116,15.7259,26.5375,1098093,1069018,0.0068,0.0169,0.0237,605142829,118607858,0,0,0,0
29.638,1778980677.496115,eth0,10.8152,15.7312,26.5464,1098104,1069034,0.0068,0.0169,0.0237,605143693,118610010,0,0,0,0
30.656,1778980678.514112,eth0,8.8409,14.7348,23.5757,1098113,1069049,0.0059,0.0163,0.0222,605144445,118612088,0,0,0,0
31.682,1778980679.540269,eth0,37.0314,42.8785,79.9099,1098151,1069093,0.0261,0.0517,0.0779,605147798,118618723,0,0,0,0
32.7,1778980680.557483,eth0,10.8138,15.7292,26.5431,1098162,1069109,0.0068,0.0169,0.0237,605148662,118620875,0,0,0,0
33.718,1778980681.575501,eth0,10.8053,16.6991,27.5044,1098173,1069126,0.0068,0.0177,0.0245,605149526,118623125,0,0,0,0
34.744,1778980682.601801,eth0,27.2825,33.1287,60.4112,1098201,1069160,0.0189,0.0484,0.0674,605151954,118629340,0,0,0,0
35.766,1778980683.623372,eth0,8.81,16.641,25.451,1098210,1069177,0.0059,0.0183,0.0242,605152706,118631674,0,0,0,0
36.792,1778980684.6496,eth0,8.77,14.6166,23.3866,1098219,1069192,0.0059,0.0162,0.0221,605153458,118633752,0,0,0,0
37.811,1778980685.668399,eth0,10.797,18.6494,29.4464,1098230,1069211,0.0068,0.0193,0.0261,605154322,118636212,0,0,0,0
38.837,1778980686.694456,eth0,12.6699,14.6191,27.2889,1098243,1069226,0.0076,0.0157,0.0233,605155298,118638228,0,0,0,0
39.854,1778980687.7118,eth0,23.5908,29.4886,53.0794,1098267,1069256,0.0219,0.0396,0.0615,605158088,118643264,0,0,0,0
40.873,1778980688.730534,eth0,38.2828,42.2093,80.4921,1098306,1069299,0.0501,0.0635,0.1136,605164464,118651348,0,0,0,0
41.891,1778980689.748765,eth0,50.0869,54.9974,105.0842,1098357,1069355,0.0507,0.0611,0.1119,605170919,118659131,0,0,0,0
42.908,1778980690.765894,eth0,14.7474,19.6632,34.4106,1098372,1069375,0.0113,0.0194,0.0307,605172354,118661594,0,0,0,0
43.926,1778980691.783762,eth0,16.7016,20.6314,37.3329,1098389,1069396,0.0122,0.0196,0.0318,605173906,118664084,0,0,0,0
44.944,1778980692.802054,eth0,29.4611,38.2994,67.7605,1098419,1069435,0.0211,0.0521,0.0731,605176586,118670713,0,0,0,0
45.97,1778980693.82825,eth0,10.7192,15.5916,26.3108,1098430,1069451,0.0088,0.0151,0.0239,605177718,118672649,0,0,0,0
46.989,1778980694.846899,eth0,11.7803,19.6339,31.4142,1098442,1069471,0.0094,0.0203,0.0297,605178910,118675233,0,0,0,0
48.015,1778980695.872339,eth0,13.6527,17.5534,31.2061,1098456,1069489,0.0102,0.0167,0.0269,605180214,118677373,0,0,0,0
49.033,1778980696.89077,eth0,15.7104,22.5838,38.2942,1098472,1069512,0.0111,0.022,0.0331,605181630,118680171,0,0,0,0
50.058,1778980697.916049,eth0,11.7041,16.5809,28.285,1098484,1069529,0.0093,0.0161,0.0254,605182822,118682237,0,0,0,0
51.076,1778980698.933827,eth0,16.7031,22.5982,39.3013,1098501,1069552,0.0223,0.033,0.0553,605185654,118686436,0,0,0,0
52.093,1778980699.951093,eth0,47.1853,57.0156,104.2009,1098549,1069610,0.0417,0.0627,0.1045,605190958,118694415,0,0,0,0
53.111,1778980700.969234,eth0,16.6971,23.5724,40.2695,1098566,1069634,0.0118,0.0222,0.034,605192462,118697244,0,0,0,0
