t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.003,1778980647.860723,0,0.0,100,1.15,4,5,15,0,0,True,False,False,False,0
1.061,1778980648.91916,0,0.0,100,1.1,4,5,15,0,0,True,False,False,False,0
2.08,1778980649.937541,0,0.0,100,1.44,4,5,15,0,0,True,False,False,False,0
3.106,1778980650.96425,0,0.0,100,1.32,4,5,15,0,0,True,False,False,False,0
4.124,1778980651.982208,0,0.0,100,1.3,4,5,15,0,0,True,False,False,False,0
5.15,1778980653.007512,0,0.0,100,1.27,4,5,15,0,0,True,False,False,False,0
6.169,1778980654.02656,0,0.0,100,1.15,4,5,15,0,0,True,False,False,False,0
7.186,1778980655.043621,0,0.0,100,1.07,4,5,15,0,0,True,False,False,False,0
8.203,1778980656.060686,0,0.0,100,1.04,4,5,15,0,0,True,False,False,False,0
9.221,1778980657.078665,0,0.0,100,1.06,4,5,15,0,0,True,False,False,False,0
10.238,1778980658.0958,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
11.255,1778980659.11318,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
12.282,1778980660.139959,0,0.0,100,1.39,4,5,15,0,0,True,False,False,False,0
13.299,1778980661.157248,0,0.0,100,1.27,4,5,15,0,0,True,False,False,False,0
14.326,1778980662.183346,0,0.0,100,1.3,4,5,15,0,0,True,False,False,False,0
15.344,1778980663.201437,0,0.0,100,1.39,4,5,15,0,0,True,False,False,False,0
16.384,1778980664.242223,0,0.0,100,1.42,4,5,15,0,0,True,False,False,False,0
17.402,1778980665.259944,0,0.0,100,1.29,4,5,15,0,0,True,False,False,False,0
18.42,1778980666.277771,0,0.0,100,1.21,4,5,15,0,0,True,False,False,False,0
19.437,1778980667.294721,0,0.0,100,1.13,4,5,15,0,0,True,False,False,False,0
20.454,1778980668.311666,0,0.0,100,1.05,4,5,15,0,0,True,False,False,False,0
21.471,1778980669.328882,0,0.0,100,1.11,4,5,15,0,0,True,False,False,False,0
22.489,1778980670.347105,0,0.0,100,1.36,4,5,15,0,0,True,False,False,False,0
23.515,1778980671.373165,0,0.0,100,1.28,4,5,15,0,0,True,False,False,False,0
24.533,1778980672.390728,0,0.0,100,1.37,4,5,15,0,0,True,False,False,False,0
25.558,1778980673.415941,0,0.0,100,1.23,4,5,15,0,0,True,False,False,False,0
26.577,1778980674.435044,0,0.0,100,1.16,4,5,15,0,0,True,False,False,False,0
27.604,1778980675.461602,0,0.0,100,1.11,4,5,15,0,0,True,False,False,False,0
28.621,1778980676.479028,0,0.0,100,1.06,4,5,15,0,0,True,False,False,False,0
29.638,1778980677.496115,0,0.0,100,1.03,4,5,15,0,0,True,False,False,False,0
30.656,1778980678.514112,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
31.682,1778980679.540269,0,0.0,100,1.37,4,5,15,0,0,True,False,False,False,0
32.7,1778980680.557483,0,0.0,100,1.26,4,5,15,0,0,True,False,False,False,0
33.718,1778980681.575501,0,0.0,100,1.19,4,5,15,0,0,True,False,False,False,0
34.744,1778980682.601801,0,0.0,100,1.3,4,5,15,0,0,True,False,False,False,0
35.766,1778980683.623372,0,0.0,100,1.18,4,5,15,0,0,True,False,False,False,0
36.792,1778980684.6496,0,0.0,100,1.11,4,5,15,0,0,True,False,False,False,0
37.811,1778980685.668399,0,0.0,100,1.09,4,5,15,0,0,True,False,False,False,0
38.837,1778980686.694456,0,0.0,100,1.09,4,5,15,0,0,True,False,False,False,0
39.854,1778980687.7118,0,0.0,100,1.03,4,5,15,0,0,True,False,False,False,0
40.873,1778980688.730534,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
41.891,1778980689.748765,0,0.0,100,1.4,4,5,15,0,0,True,False,False,False,0
42.908,1778980690.765894,0,0.0,100,1.28,4,5,15,0,0,True,False,False,False,0
43.926,1778980691.783762,0,0.0,100,1.2,4,5,15,0,0,True,False,False,False,0
44.944,1778980692.802054,0,0.0,100,1.3,4,5,15,0,0,True,False,False,False,0
45.97,1778980693.82825,0,0.0,100,1.18,4,5,15,0,0,True,False,False,False,0
46.989,1778980694.846899,0,0.0,100,1.11,4,5,15,0,0,True,False,False,False,0
48.015,1778980695.872339,0,0.0,100,1.09,4,5,15,0,0,True,False,False,False,0
49.033,1778980696.89077,0,0.0,100,1.09,4,5,15,0,0,True,False,False,False,0
50.058,1778980697.916049,0,0.0,100,1.04,4,5,15,0,0,True,False,False,False,0
51.076,1778980698.933827,0,0.0,100,1.0,4,5,15,0,0,True,False,False,False,0
52.093,1778980699.951093,0,0.0,100,1.41,4,5,15,0,0,True,False,False,False,0
53.111,1778980700.969234,0,0.0,100,1.28,4,5,15,0,0,True,False,False,False,0
54.128,1778980701.986273,0,0.0,100,1.21,4,5,15,0,0,True,False,False,False,0
55.145,1778980703.003225,0,0.0,100,1.27,4,5,15,0,0,True,False,False,False,0
56.166,1778980704.023642,0,0.0,100,1.2,4,5,15,0,0,True,False,False,False,0
57.192,1778980705.049595,0,0.0,100,1.12,4,5,15,0,0,True,False,False,False,0
58.21,1778980706.067428,0,0.0,100,1.08,4,5,15,0,0,True,False,False,False,0
59.236,1778980707.093582,0,0.0,100,1.08,4,5,15,0,0,True,False,False,False,0
60.254,1778980708.111733,0,0.0,100,1.05,4,5,15,0,0,True,False,False,False,0
61.281,1778980709.138534,0,0.0,100,1.01,4,5,15,0,0,True,False,False,False,0
62.298,1778980710.155493,0,0.0,100,1.63,4,5,15,0,0,True,False,False,False,0
63.316,1778980711.17359,0,0.0,100,1.82,4,5,15,0,0,True,False,False,False,0
64.336,1778980712.193533,0,0.0,100,1.87,4,5,15,0,0,True,False,False,False,0
65.353,1778980713.210426,0,0.0,100,1.63,4,5,15,0,0,True,False,False,False,0
66.37,1778980714.227643,0,0.0,100,1.4,4,5,15,0,0,True,False,False,False,0
67.388,1778980715.245591,0,0.0,100,1.3,4,5,15,0,0,True,False,False,False,0
68.414,1778980716.2718,0,0.0,100,1.21,4,5,15,0,0,True,False,False,False,0
69.431,1778980717.289283,0,0.0,100,1.14,4,5,15,0,0,True,False,False,False,0
