t,mbps
0,101.0
1,95.4
2,96.5
3,96.5
4,94.4
5,96.5
6,96.5
7,96.5
8,93.3
9,96.5
10,97.5
11,93.3
12,97.5
13,93.3
14,97.5
15,96.5
16,97.5
17,95.4
18,95.4
19,96.5
20,95.4
21,96.5
22,95.4
23,96.5
24,91.2
25,96.5
26,95.4
27,96.5
28,95.4
29,96.5
30,95.4
31,96.5
32,95.4
33,96.5
34,95.4
35,96.5
36,95.4
37,95.4
38,96.5
39,92.3
40,54.5
41,54.5
42,54.5
43,53.5
44,50.3
45,54.5
46,53.5
47,54.5
48,54.5
49,53.5
50,54.5
51,54.5
52,54.5
53,53.5
54,54.5
55,58.7
56,53.5
57,54.5
58,58.7
59,50.3
60,57.7
61,54.5
62,58.7
63,53.5
64,54.5
65,58.7
66,53.5
67,54.5
68,54.5
69,49.3
70,54.5
71,54.5
72,54.5
73,53.5
74,54.5
75,58.7
76,53.5
77,54.5
78,50.3
79,53.5
80,50.3
81,50.3
82,50.3
83,53.5
84,54.5
85,50.3
86,49.3
87,50.3
88,50.3
89,50.3
90,72.4
