t,mbps
40.0,44.0
41.0,43.0
42.0,40.9
43.0,44.0
44.0,44.0
45.0,40.9
46.0,43.0
47.0,40.9
48.0,40.9
49.0,40.9
50.0,43.0
51.0,40.9
52.0,40.9
53.0,40.9
54.0,40.9
55.0,39.8
56.0,40.9
57.0,40.9
58.0,37.7
59.0,43.0
60.0,40.9
61.0,40.9
62.0,37.7
63.0,40.9
64.0,39.8
65.0,37.7
66.0,40.9
67.0,44.0
68.0,39.8
69.0,44.0
70.0,40.9
71.0,44.0
72.0,39.8
73.0,40.9
74.0,40.9
75.0,40.9
76.0,37.7
77.0,43.0
78.0,44.0
79.0,44.0
80.0,44.0
81.0,43.0
82.0,47.2
83.0,44.0
84.0,40.9
85.0,43.0
86.0,47.2
87.0,44.0
88.0,44.0
89.0,46.1
90.0,42.0
