t,rtt_ms
40.0,6.26
40.5,11.2
41.0,11.3
41.5,13.7
42.0,12.0
42.5,10.0
43.0,13.9
43.5,10.3
44.0,10.8
44.5,9.45
45.0,9.74
45.5,10.3
46.0,10.2
46.5,10.4
47.0,12.0
47.5,7.5
48.0,8.51
48.5,9.57
49.0,11.1
49.5,12.1
50.0,7.05
50.5,14.1
51.0,14.1
51.5,9.36
52.0,8.82
52.5,10.4
53.0,10.6
53.5,8.03
54.0,10.9
54.5,12.2
55.0,9.51
55.5,12.5
56.0,8.96
56.5,9.43
57.0,10.3
57.5,7.92
58.0,9.72
58.5,11.8
59.0,11.1
59.5,7.15
60.0,8.49
60.5,10.8
61.0,8.42
61.5,9.16
62.0,10.0
62.5,9.23
63.0,10.6
63.5,9.31
64.0,11.2
64.5,10.5
65.0,10.8
65.5,7.56
66.0,7.51
66.5,11.6
67.0,12.4
67.5,7.24
68.0,12.5
68.5,7.93
69.0,10.4
69.5,9.29
70.0,9.68
70.5,8.1
71.0,10.6
71.5,7.27
72.0,9.54
72.5,10.7
73.0,5.33
73.5,9.51
74.0,7.71
74.5,11.7
75.0,13.3
75.5,8.28
76.0,14.2
76.5,11.4
77.0,13.5
77.5,10.6
78.0,11.5
78.5,9.2
79.0,11.5
79.5,11.9
80.0,10.7
80.5,10.7
81.0,6.78
81.5,6.73
82.0,10.8
82.5,9.86
83.0,12.8
83.5,10.6
84.0,11.3
84.5,8.26
85.0,7.36
85.5,12.5
86.0,10.3
86.5,12.3
87.0,11.0
87.5,8.92
88.0,9.65
88.5,9.31
89.0,9.6
89.5,10.6
