t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.01,1778980647.86797,10.10.10.1,,0,100.0
0.01,1778980647.86797,10.10.10.2,,0,100.0
0.01,1778980647.86797,10.10.10.3,,0,100.0
11.117,1778980658.97444,10.10.10.1,,0,100.0
11.117,1778980658.97444,10.10.10.2,,0,100.0
11.117,1778980658.97444,10.10.10.3,,0,100.0
22.22,1778980670.077674,10.10.10.1,,0,100.0
22.22,1778980670.077674,10.10.10.2,,0,100.0
22.22,1778980670.077674,10.10.10.3,,0,100.0
33.301,1778980681.159137,10.10.10.1,,0,100.0
33.301,1778980681.159137,10.10.10.2,,0,100.0
33.301,1778980681.159137,10.10.10.3,,0,100.0
44.386,1778980692.24334,10.10.10.1,,0,100.0
44.386,1778980692.24334,10.10.10.2,,0,100.0
44.386,1778980692.24334,10.10.10.3,,0,100.0
55.469,1778980703.327074,10.10.10.1,,0,100.0
55.469,1778980703.327074,10.10.10.2,,0,100.0
55.469,1778980703.327074,10.10.10.3,,0,100.0
66.552,1778980714.409828,10.10.10.1,,0,100.0
66.552,1778980714.409828,10.10.10.2,,0,100.0
66.552,1778980714.409828,10.10.10.3,,0,100.0
77.633,1778980725.491015,10.10.10.1,,0,100.0
77.633,1778980725.491015,10.10.10.2,,0,100.0
77.633,1778980725.491015,10.10.10.3,,0,100.0
88.732,1778980736.590283,10.10.10.1,,0,100.0
88.732,1778980736.590283,10.10.10.2,,0,100.0
88.732,1778980736.590283,10.10.10.3,,0,100.0
