t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.002,1778935047.159734,NORMAL,,False,False,False,0.0,800,,
1.02,1778935048.177783,NORMAL,,False,False,False,0.0,800,,
2.037,1778935049.195296,NORMAL,,False,False,False,0.0,800,,
3.055,1778935050.212999,NORMAL,,False,False,False,0.0,800,,
4.073,1778935051.230486,NORMAL,,False,False,False,0.0,800,,
5.09,1778935052.247446,NORMAL,,False,False,False,0.0,800,,
6.11,1778935053.268251,NORMAL,,False,False,False,0.0,800,,
7.127,1778935054.285385,NORMAL,,False,False,False,0.0,800,,
8.145,1778935055.3025,NORMAL,,False,False,False,0.0,800,,
9.162,1778935056.319799,NORMAL,,False,False,False,0.0,800,,
10.18,1778935057.337606,NORMAL,,False,False,False,0.0,800,,
11.198,1778935058.355508,NORMAL,,False,False,False,0.0,800,,
12.215,1778935059.372627,NORMAL,,False,False,False,0.0,800,,
13.232,1778935060.389715,NORMAL,,False,False,False,0.0,800,,
14.25,1778935061.407486,NORMAL,,False,False,False,0.0,800,,
15.267,1778935062.424643,NORMAL,,False,False,False,0.0,800,,
16.285,1778935063.442555,NORMAL,,False,False,False,0.0,800,,
17.302,1778935064.459471,NORMAL,,False,False,False,0.0,800,,
18.319,1778935065.47667,NORMAL,,False,False,False,0.0,800,,
19.336,1778935066.493947,NORMAL,,False,False,False,0.0,800,,
20.353,1778935067.511079,NORMAL,,False,False,False,0.0,800,,
21.373,1778935068.530952,NORMAL,,False,False,False,0.0,800,,
22.39,1778935069.548228,NORMAL,,False,False,False,0.0,800,,
23.407,1778935070.565376,NORMAL,,False,False,False,0.0,800,,
24.425,1778935071.582733,NORMAL,,False,False,False,0.0,800,,
25.443,1778935072.600537,NORMAL,,False,False,False,0.0,800,,
26.461,1778935073.618477,NORMAL,,False,False,False,0.0,800,,
27.478,1778935074.63563,NORMAL,,False,False,False,0.0,800,,
28.496,1778935075.65433,NORMAL,,False,False,False,0.0,800,,
29.514,1778935076.671839,NORMAL,,False,False,False,0.0,800,,
30.532,1778935077.689586,NORMAL,,False,False,False,0.0,800,,
31.55,1778935078.707502,NORMAL,,False,False,False,0.0,800,,
32.568,1778935079.725969,NORMAL,,False,False,False,0.0,800,,
33.586,1778935080.743488,NORMAL,,False,False,False,0.0,800,,
34.605,1778935081.762615,NORMAL,,False,False,False,0.0,800,,
35.623,1778935082.780565,NORMAL,,False,False,False,0.0,800,,
36.641,1778935083.799258,NORMAL,,False,False,False,0.0,800,,
37.659,1778935084.816844,NORMAL,,False,False,False,0.0,800,,
38.676,1778935085.834377,NORMAL,,False,False,False,0.0,800,,
39.695,1778935086.852751,NORMAL,,False,False,False,0.0,800,,
40.712,1778935087.870206,NORMAL,,False,False,False,0.0,800,,
41.731,1778935088.88861,NORMAL,,False,False,False,0.0,800,,
42.748,1778935089.906113,NORMAL,,False,False,False,0.0,800,,
43.766,1778935090.923531,NORMAL,,False,False,False,0.0,800,,
44.783,1778935091.940837,NORMAL,,False,False,False,0.0,800,,
45.8,1778935092.958036,NORMAL,,False,False,False,0.0,800,,
46.818,1778935093.975508,NORMAL,,False,False,False,0.0,800,,
47.835,1778935094.993203,NORMAL,,False,False,False,0.0,800,,
48.853,1778935096.010978,NORMAL,,False,False,False,0.0,800,,
49.872,1778935097.029742,NORMAL,,False,False,False,0.0,800,,
50.89,1778935098.047511,NORMAL,,False,False,False,0.0,800,,
51.908,1778935099.065591,NORMAL,,False,False,False,0.0,800,,
52.925,1778935100.082692,NORMAL,,False,False,False,0.0,800,,
53.942,1778935101.100321,NORMAL,,False,False,False,0.0,800,,
54.96,1778935102.118065,NORMAL,,False,False,False,0.0,800,,
55.977,1778935103.135187,NORMAL,,False,False,False,0.0,800,,
56.994,1778935104.151509,NORMAL,,False,False,False,0.0,800,,
58.011,1778935105.169258,NORMAL,,False,False,False,0.0,800,,
59.029,1778935106.186582,NORMAL,,False,False,False,0.0,800,,
60.046,1778935107.203777,NORMAL,,False,False,False,0.0,800,,
61.064,1778935108.222325,NORMAL,,False,False,False,0.0,800,,
62.083,1778935109.240899,NORMAL,,False,False,False,0.0,800,,
63.1,1778935110.257994,NORMAL,,False,False,False,0.0,800,,
64.117,1778935111.275088,NORMAL,,False,False,False,0.0,800,,
65.134,1778935112.291449,NORMAL,,False,False,False,0.0,800,,
66.151,1778935113.309061,NORMAL,,False,False,False,0.0,800,,
67.169,1778935114.326853,NORMAL,,False,False,False,0.0,800,,
68.186,1778935115.343767,NORMAL,,False,False,False,0.0,800,,
