t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.002,1778935047.159734,eth0,2764.8675,5529.735,8294.6025,174554,161413,1.1502,6.8834,8.0336,352273223,20817792,0,0,0,0
1.02,1778935048.177783,eth0,6.8759,12.7695,19.6454,174561,161426,0.0029,0.0153,0.0182,352273587,20819742,0,0,0,0
2.037,1778935049.195296,eth0,5.8967,11.7935,17.6902,174567,161438,0.0025,0.0149,0.0174,352273899,20821638,0,0,0,0
3.055,1778935050.212999,eth0,12.7739,15.7217,28.4955,174580,161454,0.0059,0.0175,0.0234,352274646,20823869,0,0,0,0
4.073,1778935051.230486,eth0,5.8969,11.7938,17.6906,174586,161466,0.0025,0.0149,0.0174,352274958,20825765,0,0,0,0
5.09,1778935052.247446,eth0,5.8999,12.7832,18.6831,174592,161479,0.0025,0.0166,0.019,352275270,20827871,0,0,0,0
6.11,1778935053.268251,eth0,7.837,12.7351,20.572,174600,161492,0.0031,0.0141,0.0171,352275662,20829665,0,0,0,0
7.127,1778935054.285385,eth0,9.8315,13.7642,23.5957,174610,161506,0.0042,0.0161,0.0203,352276198,20831709,0,0,0,0
8.145,1778935055.3025,eth0,7.8654,12.7813,20.6466,174618,161519,0.0033,0.0155,0.0188,352276622,20833679,0,0,0,0
9.162,1778935056.319799,eth0,7.864,13.7619,21.6259,174626,161533,0.0035,0.0161,0.0196,352277061,20835730,0,0,0,0
10.18,1778935057.337606,eth0,5.895,11.79,17.6851,174632,161545,0.0025,0.0149,0.0174,352277373,20837626,0,0,0,0
11.198,1778935058.355508,eth0,5.8945,11.789,17.6834,174638,161557,0.0025,0.0149,0.0174,352277685,20839522,0,0,0,0
12.215,1778935059.372627,eth0,9.8317,13.7644,23.596,174648,161571,0.0042,0.0161,0.0203,352278221,20841566,0,0,0,0
13.232,1778935060.389715,eth0,7.8656,12.7816,20.6472,174656,161584,0.0033,0.0155,0.0188,352278645,20843536,0,0,0,0
14.25,1778935061.407486,eth0,5.8952,11.7905,17.6857,174662,161596,0.0025,0.0149,0.0174,352278957,20845432,0,0,0,0
15.267,1778935062.424643,eth0,5.8988,12.7807,18.6795,174668,161609,0.0025,0.0166,0.019,352279269,20847538,0,0,0,0
16.285,1778935063.442555,eth0,5.8944,10.8064,16.7008,174674,161620,0.0025,0.0133,0.0157,352279581,20849224,0,0,0,0
17.302,1778935064.459471,eth0,9.8337,13.7671,23.6008,174684,161634,0.0042,0.0161,0.0203,352280117,20851268,0,0,0,0
18.319,1778935065.47667,eth0,7.8647,12.7802,20.6449,174692,161647,0.0033,0.0155,0.0188,352280541,20853238,0,0,0,0
19.336,1778935066.493947,eth0,5.8981,11.7962,17.6943,174698,161659,0.0025,0.0149,0.0174,352280853,20855134,0,0,0,0
20.353,1778935067.511079,eth0,6.8821,13.7642,20.6463,174705,161673,0.0028,0.017,0.0198,352281205,20857294,0,0,0,0
21.373,1778935068.530952,eth0,5.8831,10.7857,16.6687,174711,161684,0.0024,0.0132,0.0157,352281517,20858980,0,0,0,0
22.39,1778935069.548228,eth0,9.8302,13.7622,23.5924,174721,161698,0.0042,0.0161,0.0203,352282053,20861024,0,0,0,0
23.407,1778935070.565376,eth0,8.8483,13.764,22.6122,174730,161712,0.0036,0.0159,0.0196,352282517,20863048,0,0,0,0
24.425,1778935071.582733,eth0,5.8976,11.7953,17.6929,174736,161724,0.0025,0.0149,0.0174,352282829,20864944,0,0,0,0
25.443,1778935072.600537,eth0,5.895,12.7726,18.6676,174742,161737,0.0025,0.0166,0.019,352283141,20867050,0,0,0,0
26.461,1778935073.618477,eth0,7.859,11.7885,19.6475,174750,161749,0.0031,0.0137,0.0168,352283533,20868790,0,0,0,0
27.478,1778935074.63563,eth0,10.8145,13.7639,24.5784,174761,161763,0.0047,0.0161,0.0208,352284129,20870834,0,0,0,0
28.496,1778935075.65433,eth0,6.8715,12.7614,19.6329,174768,161776,0.0029,0.0155,0.0183,352284493,20872804,0,0,0,0
29.514,1778935076.671839,eth0,5.8968,11.7935,17.6903,174774,161788,0.0025,0.0149,0.0174,352284805,20874700,0,0,0,0
30.532,1778935077.689586,eth0,5.8954,12.7733,18.6687,174780,161801,0.0025,0.0166,0.019,352285117,20876806,0,0,0,0
31.55,1778935078.707502,eth0,5.8944,10.8064,16.7008,174786,161812,0.0025,0.0133,0.0157,352285429,20878492,0,0,0,0
32.568,1778935079.725969,eth0,12.7643,15.7099,28.4742,174799,161828,0.006,0.0172,0.0232,352286193,20880676,0,0,0,0
33.586,1778935080.743488,eth0,5.8967,11.7934,17.6901,174805,161840,0.0025,0.0149,0.0174,352286505,20882572,0,0,0,0
34.605,1778935081.762615,eth0,5.8874,11.7748,17.6622,174811,161852,0.0024,0.0149,0.0173,352286817,20884468,0,0,0,0
35.623,1778935082.780565,eth0,6.8766,13.7531,20.6297,174818,161866,0.0028,0.017,0.0197,352287169,20886628,0,0,0,0
36.641,1778935083.799258,eth0,5.8899,10.7982,16.6881,174824,161877,0.0025,0.0132,0.0157,352287481,20888314,0,0,0,0
37.659,1778935084.816844,eth0,12.7753,15.7235,28.4988,174837,161893,0.0053,0.017,0.0223,352288157,20890474,0,0,0,0
38.676,1778935085.834377,eth0,5.8966,11.7932,17.6898,174843,161905,0.0025,0.0149,0.0174,352288469,20892370,0,0,0,0
39.695,1778935086.852751,eth0,5.8917,11.7835,17.6752,174849,161917,0.0025,0.0149,0.0173,352288781,20894266,0,0,0,0
40.712,1778935087.870206,eth0,6.8799,13.7598,20.6397,174856,161931,0.0028,0.017,0.0198,352289133,20896426,0,0,0,0
41.731,1778935088.88861,eth0,5.8916,10.8012,16.6928,174862,161942,0.0025,0.0132,0.0157,352289445,20898112,0,0,0,0
42.748,1778935089.906113,eth0,11.7936,14.742,26.5355,174874,161957,0.0051,0.0167,0.0217,352290093,20900230,0,0,0,0
43.766,1778935090.923531,eth0,5.8973,11.7946,17.6918,174880,161969,0.0025,0.0149,0.0174,352290405,20902126,0,0,0,0
44.783,1778935091.940837,eth0,6.8809,12.7789,19.6598,174887,161982,0.0028,0.0153,0.0181,352290757,20904076,0,0,0,0
45.8,1778935092.958036,eth0,5.8985,12.7802,18.6787,174893,161995,0.0025,0.0166,0.019,352291069,20906182,0,0,0,0
46.818,1778935093.975508,eth0,5.897,10.8111,16.7081,174899,162006,0.0025,0.0133,0.0157,352291381,20907868,0,0,0,0
47.835,1778935094.993203,eth0,13.7566,15.7218,29.4784,174913,162022,0.0057,0.0171,0.0228,352292109,20910040,0,0,0,0
48.853,1778935096.010978,eth0,6.8777,12.773,19.6507,174920,162035,0.0028,0.0153,0.0181,352292461,20911990,0,0,0,0
49.872,1778935097.029742,eth0,5.8895,11.779,17.6685,174926,162047,0.0025,0.0149,0.0173,352292773,20913886,0,0,0,0
50.89,1778935098.047511,eth0,5.8952,12.773,18.6683,174932,162060,0.0025,0.0166,0.019,352293085,20915992,0,0,0,0
51.908,1778935099.065591,eth0,5.8934,10.8047,16.6981,174938,162071,0.0025,0.0132,0.0157,352293397,20917678,0,0,0,0
52.925,1778935100.082692,eth0,11.7982,14.7478,26.546,174950,162086,0.0051,0.0167,0.0218,352294045,20919796,0,0,0,0
53.942,1778935101.100321,eth0,14.7401,20.6362,35.3764,174965,162107,0.0065,0.0236,0.0301,352294867,20922802,0,0,0,0
54.96,1778935102.118065,eth0,8.8431,13.7559,22.599,174974,162121,0.004,0.0158,0.0198,352295375,20924818,0,0,0,0
55.977,1778935103.135187,eth0,5.899,11.798,17.697,174980,162133,0.0025,0.0149,0.0174,352295687,20926714,0,0,0,0
56.994,1778935104.151509,eth0,5.9036,11.8073,17.7109,174986,162145,0.0025,0.0149,0.0174,352295999,20928610,0,0,0,0
58.011,1778935105.169258,eth0,12.7733,15.721,28.4943,174999,162161,0.0054,0.0171,0.0225,352296687,20930782,0,0,0,0
59.029,1778935106.186582,eth0,6.8808,12.7786,19.6594,175006,162174,0.0029,0.0153,0.0182,352297051,20932732,0,0,0,0
60.046,1778935107.203777,eth0,6.8817,12.7802,19.6619,175013,162187,0.0028,0.0153,0.0181,352297407,20934682,0,0,0,0
61.064,1778935108.222325,eth0,5.8907,12.7633,18.654,175019,162200,0.0025,0.0165,0.019,352297719,20936788,0,0,0,0
62.083,1778935109.240899,eth0,9.8176,12.7629,22.5806,175029,162213,0.0036,0.0142,0.0179,352298183,20938602,0,0,0,0
63.1,1778935110.257994,eth0,9.8319,13.7647,23.5966,175039,162227,0.0045,0.0161,0.0206,352298759,20940646,0,0,0,0
64.117,1778935111.275088,eth0,5.8992,11.7983,17.6975,175045,162239,0.0025,0.0149,0.0174,352299071,20942542,0,0,0,0
65.134,1778935112.291449,eth0,5.9034,11.8068,17.7102,175051,162251,0.0025,0.0149,0.0174,352299383,20944438,0,0,0,0
66.151,1778935113.309061,eth0,6.8788,13.7577,20.6365,175058,162265,0.0027,0.0169,0.0196,352299723,20946586,0,0,0,0
67.169,1778935114.326853,eth0,9.8252,12.7727,22.5979,175068,162278,0.0042,0.0144,0.0186,352300259,20948420,0,0,0,0
68.186,1778935115.343767,eth0,7.8669,12.7838,20.6507,175076,162291,0.0033,0.0155,0.0188,352300683,20950390,0,0,0,0
69.204,1778935116.36153,eth0,7.8604,12.7731,20.6335,175084,162304,0.0033,0.0154,0.0187,352301099,20952352,0,0,0,0
70.221,1778935117.378535,eth0,5.8997,11.7994,17.699,175090,162316,0.0025,0.0149,0.0174,352301411,20954248,0,0,0,0
71.238,1778935118.395487,eth0,5.9,12.7833,18.6833,175096,162329,0.0025,0.0166,0.019,352301723,20956354,0,0,0,0
72.256,1778935119.413795,eth0,9.8202,12.7663,22.5865,175106,162342,0.0042,0.0144,0.0186,352302259,20958188,0,0,0,0
73.274,1778935120.431781,eth0,7.8587,12.7703,20.629,175114,162355,0.0033,0.0155,0.0188,352302683,20960158,0,0,0,0
74.291,1778935121.449133,eth0,6.8806,12.7783,19.6589,175121,162368,0.0028,0.0153,0.0181,352303035,20962108,0,0,0,0
75.309,1778935122.466477,eth0,5.8977,11.7954,17.6931,175127,162380,0.0025,0.0149,0.0174,352303347,20964004,0,0,0,0
76.326,1778935123.483859,eth0,6.8804,13.7608,20.6412,175134,162394,0.0028,0.017,0.0198,352303699,20966164,0,0,0,0
77.345,1778935124.502635,eth0,9.8157,12.7604,22.5761,175144,162407,0.0042,0.0144,0.0186,352304235,20967998,0,0,0,0
78.364,1778935125.521894,eth0,7.8488,12.7544,20.6032,175152,162420,0.0033,0.0155,0.0188,352304659,20969968,0,0,0,0
79.381,1778935126.539304,eth0,5.8973,11.7947,17.692,175158,162432,0.0025,0.0149,0.0174,352304971,20971864,0,0,0,0
80.4,1778935127.557514,eth0,6.8748,12.7675,19.6423,175165,162445,0.0028,0.0153,0.0181,352305323,20973814,0,0,0,0
81.417,1778935128.574834,eth0,5.8979,12.7787,18.6765,175171,162458,0.0025,0.0166,0.019,352305635,20975920,0,0,0,0
82.435,1778935129.593394,eth0,9.8178,12.7631,22.5809,175181,162471,0.0042,0.0144,0.0186,352306171,20977754,0,0,0,0
83.453,1778935130.610953,eth0,8.8447,13.7584,22.6031,175190,162485,0.0037,0.0159,0.0196,352306639,20979778,0,0,0,0
84.471,1778935131.629138,eth0,7.8571,13.75,21.6071,175198,162499,0.0031,0.0157,0.0188,352307031,20981782,0,0,0,0
85.489,1778935132.646791,eth0,5.8959,11.7918,17.6878,175204,162511,0.0025,0.0149,0.0174,352307343,20983678,0,0,0,0
86.506,1778935133.663502,eth0,5.9014,12.7863,18.6877,175210,162524,0.0025,0.0166,0.019,352307655,20985784,0,0,0,0
87.524,1778935134.681629,eth0,11.7863,13.7507,25.5371,175222,162538,0.0051,0.015,0.0201,352308303,20987692,0,0,0,0
