t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778935047.159734,NORMAL,False,0,0,0,0,0,0,0,0,0
1.02,1778935048.177783,NORMAL,False,0,0,0,0,0,0,0,0,0
2.037,1778935049.195296,NORMAL,False,0,0,0,0,0,0,0,0,0
3.055,1778935050.212999,NORMAL,False,0,0,0,0,0,0,0,0,0
4.073,1778935051.230486,NORMAL,False,0,0,0,0,0,0,0,0,0
5.09,1778935052.247446,NORMAL,False,0,0,0,0,0,0,0,0,0
6.11,1778935053.268251,NORMAL,False,0,0,0,0,0,0,0,0,0
7.127,1778935054.285385,NORMAL,False,0,0,0,0,0,0,0,0,0
8.145,1778935055.3025,NORMAL,False,0,0,0,0,0,0,0,0,0
9.162,1778935056.319799,NORMAL,False,0,0,0,0,0,0,0,0,0
10.18,1778935057.337606,NORMAL,False,0,0,0,0,0,0,0,0,0
11.198,1778935058.355508,NORMAL,False,0,0,0,0,0,0,0,0,0
12.215,1778935059.372627,NORMAL,False,0,0,0,0,0,0,0,0,0
13.232,1778935060.389715,NORMAL,False,0,0,0,0,0,0,0,0,0
14.25,1778935061.407486,NORMAL,False,0,0,0,0,0,0,0,0,0
15.267,1778935062.424643,NORMAL,False,0,0,0,0,0,0,0,0,0
16.285,1778935063.442555,NORMAL,False,0,0,0,0,0,0,0,0,0
17.302,1778935064.459471,NORMAL,False,0,0,0,0,0,0,0,0,0
18.319,1778935065.47667,NORMAL,False,0,0,0,0,0,0,0,0,0
19.336,1778935066.493947,NORMAL,False,0,0,0,0,0,0,0,0,0
20.353,1778935067.511079,NORMAL,False,0,0,0,0,0,0,0,0,0
21.373,1778935068.530952,NORMAL,False,0,0,0,0,0,0,0,0,0
22.39,1778935069.548228,NORMAL,False,0,0,0,0,0,0,0,0,0
23.407,1778935070.565376,NORMAL,False,0,0,0,0,0,0,0,0,0
24.425,1778935071.582733,NORMAL,False,0,0,0,0,0,0,0,0,0
25.443,1778935072.600537,NORMAL,False,0,0,0,0,0,0,0,0,0
26.461,1778935073.618477,NORMAL,False,0,0,0,0,0,0,0,0,0
27.478,1778935074.63563,NORMAL,False,0,0,0,0,0,0,0,0,0
28.496,1778935075.65433,NORMAL,False,0,0,0,0,0,0,0,0,0
29.514,1778935076.671839,NORMAL,False,0,0,0,0,0,0,0,0,0
30.532,1778935077.689586,NORMAL,False,0,0,0,0,0,0,0,0,0
31.55,1778935078.707502,NORMAL,False,0,0,0,0,0,0,0,0,0
32.568,1778935079.725969,NORMAL,False,0,0,0,0,0,0,0,0,0
33.586,1778935080.743488,NORMAL,False,0,0,0,0,0,0,0,0,0
34.605,1778935081.762615,NORMAL,False,0,0,0,0,0,0,0,0,0
35.623,1778935082.780565,NORMAL,False,0,0,0,0,0,0,0,0,0
36.641,1778935083.799258,NORMAL,False,0,0,0,0,0,0,0,0,0
37.659,1778935084.816844,NORMAL,False,0,0,0,0,0,0,0,0,0
38.676,1778935085.834377,NORMAL,False,0,0,0,0,0,0,0,0,0
39.695,1778935086.852751,NORMAL,False,0,0,0,0,0,0,0,0,0
40.712,1778935087.870206,NORMAL,False,0,0,0,0,0,0,0,0,0
41.731,1778935088.88861,NORMAL,False,0,0,0,0,0,0,0,0,0
