t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.003,1778935218.530085,eth0,2506.1194,4072.4439,6578.5633,176495,164275,1.1227,5.323,6.4457,352438993,21223821,0,0,0,0
1.081,1778935219.607948,eth0,36.1827,39.8938,76.0765,176534,164318,0.0515,0.0618,0.1133,352445929,21232145,0,0,0,0
2.108,1778935220.634888,eth0,19.4753,23.3704,42.8457,176554,164342,0.0215,0.0226,0.0441,352448689,21235045,0,0,0,0
3.125,1778935221.652077,eth0,15.7296,19.662,35.3917,176570,164362,0.0092,0.0193,0.0285,352449857,21237497,0,0,0,0
4.142,1778935222.669278,eth0,9.8309,15.7294,25.5603,176580,164378,0.0067,0.017,0.0237,352450709,21239657,0,0,0,0
5.169,1778935223.696237,eth0,14.6062,21.4225,36.0287,176595,164400,0.0099,0.0219,0.0319,352451985,21242473,0,0,0,0
6.229,1778935224.756125,eth0,8.4915,14.1524,22.6439,176604,164415,0.0059,0.0156,0.0215,352452769,21244535,0,0,0,0
7.252,1778935225.779192,eth0,10.752,14.6618,25.4138,176615,164430,0.0068,0.0153,0.0221,352453633,21246493,0,0,0,0
8.27,1778935226.796469,eth0,12.7792,16.7113,29.4905,176628,164447,0.0077,0.0176,0.0253,352454609,21248735,0,0,0,0
9.287,1778935227.814275,eth0,9.8251,15.7201,25.5451,176638,164463,0.0064,0.0171,0.0235,352455429,21250911,0,0,0,0
10.318,1778935228.844526,eth0,13.5889,20.3834,33.9723,176652,164484,0.0085,0.0216,0.0301,352456525,21253693,0,0,0,0
11.359,1778935229.885614,eth0,8.6448,14.408,23.0528,176661,164499,0.0056,0.0154,0.021,352457253,21255699,0,0,0,0
12.377,1778935230.904332,eth0,10.7979,14.7244,25.5223,176672,164514,0.0068,0.0154,0.0222,352458117,21257657,0,0,0,0
13.397,1778935231.924079,eth0,12.7483,16.6708,29.4191,176685,164531,0.0077,0.0176,0.0252,352459093,21259899,0,0,0,0
14.415,1778935232.941437,eth0,8.8464,14.7441,23.5905,176694,164546,0.0059,0.0165,0.0224,352459845,21261993,0,0,0,0
15.439,1778935233.965609,eth0,15.6224,24.41,40.0324,176710,164571,0.0094,0.0273,0.0367,352461049,21265487,0,0,0,0
16.556,1778935235.083347,eth0,25.0506,28.6292,53.6798,176738,164603,0.034,0.038,0.0721,352465801,21270802,0,0,0,0
17.574,1778935236.101056,eth0,10.8086,15.7216,26.5302,176749,164619,0.0068,0.017,0.0238,352466665,21272970,0,0,0,0
18.593,1778935237.120361,eth0,12.7538,16.678,29.4318,176762,164636,0.0077,0.0176,0.0253,352467641,21275212,0,0,0,0
19.611,1778935238.1376,eth0,7.8644,13.7627,21.6272,176770,164650,0.0048,0.0159,0.0208,352468257,21277240,0,0,0,0
20.63,1778935239.156959,eth0,12.7531,19.6202,32.3733,176783,164670,0.0083,0.0214,0.0297,352469313,21279968,0,0,0,0
21.671,1778935240.197828,eth0,9.6074,15.3718,24.9791,176793,164686,0.0067,0.016,0.0228,352470189,21282052,0,0,0,0
22.689,1778935241.216243,eth0,9.8192,13.7469,23.566,176803,164700,0.0057,0.0149,0.0206,352470917,21283944,0,0,0,0
23.706,1778935242.233346,eth0,14.7478,18.6805,33.4283,176818,164719,0.0099,0.0187,0.0286,352472181,21286318,0,0,0,0
24.724,1778935243.251158,eth0,7.86,13.755,21.615,176826,164733,0.0048,0.0159,0.0208,352472797,21288346,0,0,0,0
25.742,1778935244.26895,eth0,12.7727,19.6504,32.4231,176839,164753,0.0083,0.0214,0.0297,352473853,21291074,0,0,0,0
26.783,1778935245.309466,eth0,11.5327,16.3381,27.8708,176851,164770,0.0081,0.0159,0.024,352474912,21293139,0,0,0,0
27.801,1778935246.327928,eth0,14.7281,17.6737,32.4018,176866,164788,0.0085,0.0182,0.0267,352476000,21295455,0,0,0,0
28.818,1778935247.345002,eth0,7.8657,13.765,21.6307,176874,164802,0.0048,0.016,0.0208,352476616,21297483,0,0,0,0
