t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.003,1778935218.530085,0,0.0,100,0.91,4,6,16,0,0,False,False,False,False,0
1.081,1778935219.607948,0,0.0,100,0.9,4,6,16,0,0,False,False,False,False,0
2.108,1778935220.634888,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
3.125,1778935221.652077,0,0.0,100,0.98,4,6,16,0,0,False,False,False,False,0
4.142,1778935222.669278,0,0.0,100,0.95,4,6,16,0,0,False,False,False,False,0
5.169,1778935223.696237,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
6.229,1778935224.756125,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
7.252,1778935225.779192,0,0.0,100,0.95,4,6,16,0,0,False,False,False,False,0
8.27,1778935226.796469,0,0.0,100,0.98,4,6,16,0,0,False,False,False,False,0
9.287,1778935227.814275,0,0.0,100,0.97,4,6,16,0,0,False,False,False,False,0
10.318,1778935228.844526,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
11.359,1778935229.885614,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
12.377,1778935230.904332,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
13.397,1778935231.924079,0,0.0,100,1.03,4,6,16,0,0,False,False,False,False,0
14.415,1778935232.941437,0,0.0,100,0.98,4,6,16,0,0,False,False,False,False,0
15.439,1778935233.965609,0,0.0,100,0.95,4,6,16,0,0,False,False,False,False,0
16.556,1778935235.083347,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
17.574,1778935236.101056,0,0.0,100,0.95,4,6,16,0,0,False,False,False,False,0
18.593,1778935237.120361,0,0.0,100,0.97,4,6,16,0,0,False,False,False,False,0
19.611,1778935238.1376,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
20.63,1778935239.156959,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
21.671,1778935240.197828,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
22.689,1778935241.216243,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
23.706,1778935242.233346,0,0.0,100,0.97,4,6,16,0,0,False,False,False,False,0
24.724,1778935243.251158,0,0.0,100,0.96,4,6,16,0,0,False,False,False,False,0
25.742,1778935244.26895,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
26.783,1778935245.309466,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
27.801,1778935246.327928,0,0.0,100,1.01,4,6,16,0,0,False,False,False,False,0
28.818,1778935247.345002,0,0.0,100,0.97,4,6,16,0,0,False,False,False,False,0
29.835,1778935248.362171,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
30.854,1778935249.381089,0,0.0,100,0.92,4,6,16,0,0,False,False,False,False,0
31.896,1778935250.422523,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
32.914,1778935251.440722,0,0.0,100,0.99,4,6,16,0,0,False,False,False,False,0
33.931,1778935252.45775,0,0.0,100,0.95,4,6,16,0,0,False,False,False,False,0
34.948,1778935253.474798,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
35.966,1778935254.492898,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
37.028,1778935255.554972,0,0.0,100,0.93,4,6,16,0,0,False,False,False,False,0
38.047,1778935256.573925,0,0.0,100,0.99,4,6,16,0,0,False,False,False,False,0
39.065,1778935257.591547,0,0.0,100,0.98,4,6,16,0,0,False,False,False,False,0
40.082,1778935258.608806,0,0.0,100,0.94,4,6,16,0,0,False,False,False,False,0
