t,mbps
0,99.6
1,97.5
2,94.4
3,96.5
4,96.5
5,96.5
6,94.4
7,96.5
8,95.4
9,96.5
10,96.5
11,93.3
12,97.5
13,96.5
14,93.3
15,29.4
16,6.29
17,5.24
18,3.15
19,3.15
20,5.24
21,3.15
22,5.24
23,3.15
24,3.15
25,3.15
26,8.39
27,0.0
28,6.29
29,2.1
30,3.15
31,6.29
32,3.15
33,3.15
34,6.29
35,8.39
36,6.29
37,6.29
38,2.1
39,12.6
40,14.7
41,11.5
42,22.0
43,3.15
44,9.44
45,3.15
46,10.5
47,21.0
48,9.44
49,11.5
50,24.1
51,15.7
52,12.6
53,3.15
54,3.15
55,6.29
56,24.1
57,11.5
58,6.29
59,8.39
60,62.9
61,59.8
62,56.6
63,60.8
64,59.8
65,55.6
66,53.5
67,50.3
68,53.5
69,66.1
70,62.9
71,62.9
72,66.1
73,62.9
74,73.4
75,36.3
