t,rtt_ms
0.0,2.44
0.5,4.03
1.0,5.57
1.5,3.25
2.0,4.08
2.5,4.52
3.0,7.47
3.5,5.01
4.0,5.82
4.5,4.17
5.0,4.51
5.5,4.37
6.0,7.21
6.5,8.14
7.0,3.6
7.5,3.8
8.0,6.4
8.5,3.86
9.0,7.83
9.5,8.0
10.0,8.84
10.5,8.83
11.0,8.75
11.5,8.75
12.0,4.55
12.5,4.67
13.0,4.72
13.5,4.58
14.0,4.63
14.5,4.82
15.0,4.8
15.5,0.669
16.0,1.88
16.5,0.417
17.0,0.352
17.5,0.39
18.0,0.396
18.5,0.917
19.0,0.357
19.5,0.401
20.0,0.393
20.5,0.41
21.0,0.431
21.5,1.53
22.0,0.345
22.5,0.398
23.0,0.404
23.5,0.383
24.0,0.397
24.5,0.358
25.0,0.402
25.5,0.406
26.0,0.439
26.5,0.39
27.0,0.382
27.5,0.424
28.0,0.397
28.5,0.402
29.0,0.419
29.5,0.403
30.0,0.41
30.5,0.395
31.0,0.393
31.5,0.952
32.0,0.444
32.5,0.39
33.0,0.382
33.5,0.457
34.0,0.424
34.5,0.794
35.0,0.849
35.5,0.623
36.0,0.386
36.5,0.402
37.0,1.7
37.5,0.393
38.0,0.353
38.5,0.373
39.0,1.41
39.5,0.709
40.0,2.37
40.5,0.555
41.0,0.354
41.5,3.24
42.0,2.07
42.5,0.685
43.0,0.352
43.5,3.45
44.0,0.398
44.5,0.306
45.0,1.32
45.5,0.349
46.0,0.679
46.5,0.852
47.0,1.99
47.5,2.59
48.0,0.812
48.5,2.24
49.0,2.85
49.5,2.05
50.0,2.97
50.5,2.41
51.0,0.763
51.5,0.711
52.0,2.7
52.5,0.813
53.0,0.311
53.5,0.315
54.0,0.34
54.5,1.15
55.0,3.62
55.5,1.99
56.0,1.69
56.5,2.84
57.0,0.312
57.5,0.31
58.0,0.351
58.5,0.329
59.0,5.75
59.5,6.13
60.0,8.52
60.5,8.33
61.0,10.1
61.5,10.9
62.0,11.0
62.5,9.63
63.0,11.2
63.5,9.73
64.0,8.27
64.5,10.1
65.0,6.18
65.5,9.98
66.0,10.0
66.5,9.37
67.0,9.19
67.5,8.42
68.0,7.73
68.5,4.24
69.0,6.44
69.5,7.63
70.0,7.61
70.5,7.46
71.0,7.84
71.5,9.31
72.0,12.0
72.5,9.68
73.0,6.86
