t,rtt_ms
40.0,1.32
40.5,0.688
41.0,2.55
41.5,0.62
42.0,0.397
42.5,3.84
43.0,2.95
43.5,0.707
44.0,1.84
44.5,3.84
45.0,3.35
45.5,0.374
46.0,0.351
46.5,0.397
47.0,0.356
47.5,0.646
48.0,0.822
48.5,1.76
49.0,2.14
49.5,0.707
50.0,1.26
50.5,2.61
51.0,2.36
51.5,2.46
52.0,0.657
52.5,0.823
53.0,0.75
53.5,3.51
54.0,0.747
54.5,0.402
55.0,1.59
55.5,0.367
56.0,0.393
56.5,0.86
57.0,3.94
57.5,2.04
58.0,4.35
58.5,3.31
59.0,0.387
59.5,0.339
60.0,0.418
60.5,0.381
61.0,5.23
61.5,5.75
62.0,7.78
62.5,5.79
63.0,10.1
63.5,9.28
64.0,10.8
64.5,9.22
65.0,9.72
65.5,10.7
66.0,6.61
66.5,4.45
67.0,8.82
67.5,8.89
68.0,7.55
68.5,8.75
69.0,7.38
69.5,9.27
70.0,11.5
70.5,7.49
71.0,7.49
71.5,10.9
72.0,11.6
72.5,9.54
73.0,11.1
73.5,7.23
74.0,15.3
74.5,12.3
