t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.01,1778935218.536868,128.110.97.129,1.06,1,0.0
0.01,1778935218.536868,128.110.97.130,1.14,1,0.0
0.01,1778935218.536868,128.110.97.131,1.13,1,0.0
5.124,1778935223.650667,128.110.97.129,0.93,1,0.0
5.124,1778935223.650667,128.110.97.130,0.906,1,0.0
5.124,1778935223.650667,128.110.97.131,0.95,1,0.0
10.243,1778935228.769459,128.110.97.129,0.948,1,0.0
10.243,1778935228.769459,128.110.97.130,1.02,1,0.0
10.243,1778935228.769459,128.110.97.131,0.902,1,0.0
15.355,1778935233.88233,128.110.97.129,0.952,1,0.0
15.355,1778935233.88233,128.110.97.130,0.953,1,0.0
15.355,1778935233.88233,128.110.97.131,0.864,1,0.0
20.555,1778935239.082113,128.110.97.129,0.902,1,0.0
20.555,1778935239.082113,128.110.97.130,0.842,1,0.0
20.555,1778935239.082113,128.110.97.131,0.654,1,0.0
25.667,1778935244.19406,128.110.97.129,0.88,1,0.0
25.667,1778935244.19406,128.110.97.130,0.863,1,0.0
25.667,1778935244.19406,128.110.97.131,0.778,1,0.0
30.779,1778935249.306244,128.110.97.129,0.887,1,0.0
30.779,1778935249.306244,128.110.97.130,0.792,1,0.0
30.779,1778935249.306244,128.110.97.131,0.718,1,0.0
35.891,1778935254.417584,128.110.97.129,1.12,1,0.0
35.891,1778935254.417584,128.110.97.130,1.03,1,0.0
35.891,1778935254.417584,128.110.97.131,0.929,1,0.0
41.027,1778935259.553609,128.110.97.129,1.01,1,0.0
41.027,1778935259.553609,128.110.97.130,0.966,1,0.0
41.027,1778935259.553609,128.110.97.131,0.859,1,0.0
46.14,1778935264.666889,128.110.97.129,0.903,1,0.0
46.14,1778935264.666889,128.110.97.130,0.673,1,0.0
46.14,1778935264.666889,128.110.97.131,0.777,1,0.0
51.253,1778935269.780242,128.110.97.129,0.906,1,0.0
51.253,1778935269.780242,128.110.97.130,0.958,1,0.0
51.253,1778935269.780242,128.110.97.131,0.807,1,0.0
56.36,1778935274.88711,128.110.97.129,0.862,1,0.0
56.36,1778935274.88711,128.110.97.130,0.86,1,0.0
56.36,1778935274.88711,128.110.97.131,0.774,1,0.0
61.466,1778935279.992575,128.110.97.129,1.08,1,0.0
61.466,1778935279.992575,128.110.97.130,1.02,1,0.0
61.466,1778935279.992575,128.110.97.131,0.974,1,0.0
66.569,1778935285.096331,128.110.97.129,0.997,1,0.0
66.569,1778935285.096331,128.110.97.130,0.966,1,0.0
66.569,1778935285.096331,128.110.97.131,0.939,1,0.0
71.672,1778935290.19875,128.110.97.129,1.02,1,0.0
71.672,1778935290.19875,128.110.97.130,1.07,1,0.0
71.672,1778935290.19875,128.110.97.131,0.895,1,0.0
