PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=1 ttl=64 time=2.44 ms
264 bytes from 10.10.10.3: icmp_seq=2 ttl=64 time=4.03 ms
264 bytes from 10.10.10.3: icmp_seq=3 ttl=64 time=5.57 ms
264 bytes from 10.10.10.3: icmp_seq=4 ttl=64 time=3.25 ms
264 bytes from 10.10.10.3: icmp_seq=5 ttl=64 time=4.08 ms
264 bytes from 10.10.10.3: icmp_seq=6 ttl=64 time=4.52 ms
264 bytes from 10.10.10.3: icmp_seq=7 ttl=64 time=7.47 ms
264 bytes from 10.10.10.3: icmp_seq=8 ttl=64 time=5.01 ms
264 bytes from 10.10.10.3: icmp_seq=9 ttl=64 time=5.82 ms
264 bytes from 10.10.10.3: icmp_seq=10 ttl=64 time=4.17 ms
264 bytes from 10.10.10.3: icmp_seq=11 ttl=64 time=4.51 ms
264 bytes from 10.10.10.3: icmp_seq=12 ttl=64 time=4.37 ms
264 bytes from 10.10.10.3: icmp_seq=13 ttl=64 time=7.21 ms
264 bytes from 10.10.10.3: icmp_seq=14 ttl=64 time=8.14 ms
264 bytes from 10.10.10.3: icmp_seq=15 ttl=64 time=3.60 ms
264 bytes from 10.10.10.3: icmp_seq=16 ttl=64 time=3.80 ms
264 bytes from 10.10.10.3: icmp_seq=17 ttl=64 time=6.40 ms
264 bytes from 10.10.10.3: icmp_seq=18 ttl=64 time=3.86 ms
264 bytes from 10.10.10.3: icmp_seq=19 ttl=64 time=7.83 ms
264 bytes from 10.10.10.3: icmp_seq=20 ttl=64 time=8.00 ms
264 bytes from 10.10.10.3: icmp_seq=21 ttl=64 time=8.84 ms
264 bytes from 10.10.10.3: icmp_seq=22 ttl=64 time=8.83 ms
264 bytes from 10.10.10.3: icmp_seq=23 ttl=64 time=8.75 ms
264 bytes from 10.10.10.3: icmp_seq=24 ttl=64 time=8.75 ms
264 bytes from 10.10.10.3: icmp_seq=25 ttl=64 time=4.55 ms
264 bytes from 10.10.10.3: icmp_seq=26 ttl=64 time=4.67 ms
264 bytes from 10.10.10.3: icmp_seq=27 ttl=64 time=4.72 ms
264 bytes from 10.10.10.3: icmp_seq=28 ttl=64 time=4.58 ms
264 bytes from 10.10.10.3: icmp_seq=29 ttl=64 time=4.63 ms
264 bytes from 10.10.10.3: icmp_seq=30 ttl=64 time=4.82 ms
264 bytes from 10.10.10.3: icmp_seq=31 ttl=64 time=4.80 ms
264 bytes from 10.10.10.3: icmp_seq=32 ttl=64 time=0.669 ms
264 bytes from 10.10.10.3: icmp_seq=33 ttl=64 time=1.88 ms
264 bytes from 10.10.10.3: icmp_seq=34 ttl=64 time=0.417 ms
264 bytes from 10.10.10.3: icmp_seq=35 ttl=64 time=0.352 ms
264 bytes from 10.10.10.3: icmp_seq=36 ttl=64 time=0.390 ms
264 bytes from 10.10.10.3: icmp_seq=37 ttl=64 time=0.396 ms
264 bytes from 10.10.10.3: icmp_seq=38 ttl=64 time=0.917 ms
264 bytes from 10.10.10.3: icmp_seq=39 ttl=64 time=0.357 ms
264 bytes from 10.10.10.3: icmp_seq=40 ttl=64 time=0.401 ms
264 bytes from 10.10.10.3: icmp_seq=41 ttl=64 time=0.393 ms
264 bytes from 10.10.10.3: icmp_seq=42 ttl=64 time=0.410 ms
264 bytes from 10.10.10.3: icmp_seq=43 ttl=64 time=0.431 ms
264 bytes from 10.10.10.3: icmp_seq=44 ttl=64 time=1.53 ms
264 bytes from 10.10.10.3: icmp_seq=45 ttl=64 time=0.345 ms
264 bytes from 10.10.10.3: icmp_seq=46 ttl=64 time=0.398 ms
264 bytes from 10.10.10.3: icmp_seq=47 ttl=64 time=0.404 ms
264 bytes from 10.10.10.3: icmp_seq=48 ttl=64 time=0.383 ms
