t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.003,1778935297.466526,NORMAL,,False,False,False,0.0,100,,
1.082,1778935298.545212,NORMAL,,False,False,False,0.0,100,,
2.108,1778935299.57093,NORMAL,,False,False,False,0.0,100,,
3.125,1778935300.588185,NORMAL,,False,False,False,0.0,100,,
4.142,1778935301.605351,NORMAL,,False,False,False,0.0,100,,
5.173,1778935302.635992,NORMAL,,False,False,False,0.0,100,,
6.24,1778935303.702964,NORMAL,,False,False,False,0.0,100,,
7.264,1778935304.726992,NORMAL,,False,False,False,0.0,100,,
8.28,1778935305.743478,NORMAL,,False,False,False,0.0,100,,
9.298,1778935306.761223,NORMAL,,False,False,False,0.0,100,,
10.323,1778935307.786024,NORMAL,,False,False,False,0.0,100,,
11.365,1778935308.827843,NORMAL,,False,False,False,0.0,100,,
12.383,1778935309.846116,NORMAL,,False,False,False,0.0,100,,
13.401,1778935310.864215,NORMAL,,False,False,False,0.0,100,,
14.418,1778935311.881396,NORMAL,,False,False,False,0.0,100,,
15.44,1778935312.903635,NORMAL,,False,False,False,0.0,100,,
16.485,1778935313.948436,NORMAL,,False,False,False,0.0,100,,
17.511,1778935314.973931,NORMAL,,False,False,False,0.0,100,,
18.528,1778935315.991447,NORMAL,,False,False,False,0.0,100,,
19.545,1778935317.008554,NORMAL,,False,False,False,0.0,100,,
20.569,1778935318.032189,NORMAL,,False,False,False,0.0,100,,
21.627,1778935319.090465,NORMAL,,False,False,False,0.0,100,,
22.652,1778935320.11566,NORMAL,,False,False,False,0.0,100,,
23.671,1778935321.13414,NORMAL,,False,False,False,0.0,100,,
24.688,1778935322.151178,NORMAL,,False,False,False,0.0,100,,
25.709,1778935323.172291,NORMAL,,False,False,False,0.0,100,,
26.775,1778935324.238424,NORMAL,,False,False,False,0.0,100,,
27.828,1778935325.291359,NORMAL,,False,False,False,0.0,100,,
28.846,1778935326.308842,NORMAL,,False,False,False,0.0,100,,
29.863,1778935327.32631,NORMAL,,False,False,False,0.0,100,,
30.88,1778935328.343507,NORMAL,,False,False,False,0.0,100,,
31.905,1778935329.368071,NORMAL,,False,False,False,0.0,100,,
32.922,1778935330.385576,NORMAL,,False,False,False,0.0,100,,
33.94,1778935331.403255,NORMAL,,False,False,False,0.0,100,,
34.957,1778935332.420155,NORMAL,,False,False,False,0.0,100,,
35.974,1778935333.437212,NORMAL,,False,False,False,0.0,100,,
37.0,1778935334.463294,NORMAL,,False,False,False,0.0,100,,
38.017,1778935335.480684,NORMAL,,False,False,False,0.0,100,,
39.034,1778935336.497726,NORMAL,,False,False,False,0.0,100,,
40.052,1778935337.514865,NORMAL,,False,False,False,0.0,100,,
41.071,1778935338.533915,NORMAL,,False,False,False,0.0,100,,
42.096,1778935339.559428,NORMAL,,False,False,False,0.0,100,,
43.114,1778935340.57692,NORMAL,,False,False,False,0.0,100,,
44.131,1778935341.594469,NORMAL,,False,False,False,0.0,100,,
45.148,1778935342.611574,NORMAL,,False,False,False,0.0,100,,
46.165,1778935343.628676,NORMAL,,False,False,False,0.0,100,,
47.191,1778935344.654212,NORMAL,,False,False,False,0.0,100,,
48.209,1778935345.672541,NORMAL,,False,False,False,0.0,100,,
49.226,1778935346.689646,NORMAL,,False,False,False,0.0,100,,
50.244,1778935347.707208,NORMAL,,False,False,False,0.0,100,,
51.262,1778935348.725085,NORMAL,,False,False,False,0.0,100,,
52.288,1778935349.751215,NORMAL,,False,False,False,0.0,100,,
53.305,1778935350.768698,NORMAL,,False,False,False,0.0,100,,
54.323,1778935351.786137,NORMAL,,False,False,False,0.0,100,,
55.341,1778935352.804023,NORMAL,,False,False,False,0.0,100,,
56.358,1778935353.821236,NORMAL,,False,False,False,0.0,100,,
57.384,1778935354.847232,NORMAL,,False,False,False,0.0,100,,
58.402,1778935355.865272,NORMAL,,False,False,False,0.0,100,,
59.42,1778935356.883004,NORMAL,,False,False,False,0.0,100,,
60.437,1778935357.900095,NORMAL,,False,False,False,0.0,100,,
61.454,1778935358.917285,NORMAL,,False,False,False,0.0,100,,
62.479,1778935359.942594,NORMAL,,False,False,False,0.0,100,,
63.498,1778935360.961189,NORMAL,,False,False,False,0.0,100,,
64.516,1778935361.97916,NORMAL,,False,False,False,0.0,100,,
65.534,1778935362.996961,NORMAL,,False,False,False,0.0,100,,
66.552,1778935364.015226,NORMAL,,False,False,False,0.0,100,,
67.579,1778935365.042686,NORMAL,,False,False,False,0.0,100,,
68.597,1778935366.060347,NORMAL,,False,False,False,0.0,100,,
69.615,1778935367.077887,NORMAL,,False,False,False,0.0,100,,
70.633,1778935368.096271,NORMAL,,False,False,False,0.0,100,,
71.65,1778935369.113728,NORMAL,,False,False,False,0.0,100,,
72.676,1778935370.139322,NORMAL,,False,False,False,0.0,100,,
73.694,1778935371.157327,NORMAL,,False,False,False,0.0,100,,
74.712,1778935372.175567,NORMAL,,False,False,False,0.0,100,,
