t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.003,1778935297.466526,eth0,1542.8176,3394.1988,4937.0164,177707,165911,0.7702,4.3594,5.1296,352567530,21444189,0,0,0,0
1.082,1778935298.545212,eth0,38.9363,42.6445,81.5807,177749,165957,0.047,0.0613,0.1083,352573862,21452455,0,0,0,0
2.108,1778935299.57093,eth0,19.4985,21.4484,40.9469,177769,165979,0.0275,0.0238,0.0514,352577394,21455511,0,0,0,0
3.125,1778935300.588185,eth0,8.8473,14.7456,23.5929,177778,165994,0.0062,0.0165,0.0226,352578178,21457605,0,0,0,0
4.142,1778935301.605351,eth0,14.7468,17.6962,32.4431,177793,166012,0.0084,0.0182,0.0266,352579250,21459921,0,0,0,0
5.173,1778935302.635992,eth0,13.5838,20.3757,33.9595,177807,166033,0.0096,0.0214,0.031,352580486,21462683,0,0,0,0
6.24,1778935303.702964,eth0,8.4351,14.9957,23.4308,177816,166049,0.0059,0.0139,0.0198,352581270,21464535,0,0,0,0
7.264,1778935304.726992,eth0,8.7888,12.695,21.4838,177825,166062,0.0059,0.0164,0.0222,352582022,21466629,0,0,0,0
8.28,1778935305.743478,eth0,10.8216,15.7405,26.5621,177836,166078,0.0068,0.0171,0.0239,352582886,21468797,0,0,0,0
9.298,1778935306.761223,eth0,13.7559,17.6862,31.4421,177850,166096,0.0081,0.018,0.0261,352583914,21471093,0,0,0,0
10.323,1778935307.786024,eth0,13.6612,20.4918,34.153,177864,166117,0.0086,0.0217,0.0303,352585010,21473875,0,0,0,0
11.365,1778935308.827843,eth0,7.6789,12.4782,20.157,177872,166130,0.0054,0.0135,0.0188,352585710,21475629,0,0,0,0
12.383,1778935309.846116,eth0,8.8385,14.7308,23.5693,177881,166145,0.0059,0.0165,0.0224,352586462,21477723,0,0,0,0
13.401,1778935310.864215,eth0,10.8044,15.7156,26.52,177892,166161,0.0068,0.017,0.0238,352587326,21479891,0,0,0,0
14.418,1778935311.881396,eth0,12.7804,16.7129,29.4933,177905,166178,0.0077,0.0176,0.0253,352588302,21482133,0,0,0,0
15.44,1778935312.903635,eth0,12.7172,20.5432,33.2603,177918,166199,0.008,0.0232,0.0313,352589326,21485103,0,0,0,0
16.485,1778935313.948436,eth0,28.7136,34.4563,63.1699,177948,166235,0.0374,0.0457,0.0831,352594214,21491066,0,0,0,0
17.511,1778935314.973931,eth0,7.8011,12.6768,20.4779,177956,166248,0.0048,0.0142,0.019,352594830,21492884,0,0,0,0
18.528,1778935315.991447,eth0,11.7934,16.7074,28.5008,177968,166265,0.0079,0.0176,0.0254,352595830,21495118,0,0,0,0
19.545,1778935317.008554,eth0,12.7813,16.7141,29.4954,177981,166282,0.0077,0.0176,0.0253,352596806,21497360,0,0,0,0
20.569,1778935318.032189,eth0,13.6768,19.5382,33.215,177995,166302,0.0078,0.0205,0.0283,352597802,21499988,0,0,0,0
21.627,1778935319.090465,eth0,10.3943,16.0639,26.4581,178006,166319,0.0063,0.0172,0.0235,352598630,21502266,0,0,0,0
22.652,1778935320.11566,eth0,8.7788,13.6559,22.4348,178015,166333,0.0064,0.0142,0.0206,352599446,21504086,0,0,0,0
23.671,1778935321.13414,eth0,11.7823,16.6916,28.4738,178027,166350,0.011,0.0216,0.0326,352600850,21506836,0,0,0,0
24.688,1778935322.151178,eth0,13.7655,17.6984,31.4639,178041,166368,0.0087,0.0182,0.0269,352601962,21509144,0,0,0,0
25.709,1778935323.172291,eth0,11.7519,18.6071,30.359,178053,166387,0.0077,0.0206,0.0283,352602950,21511774,0,0,0,0
26.775,1778935324.238424,eth0,9.3797,14.0695,23.4492,178063,166402,0.0069,0.0144,0.0213,352603870,21513692,0,0,0,0
27.828,1778935325.291359,eth0,8.5475,14.2459,22.7934,178072,166417,0.0057,0.0159,0.0216,352604622,21515786,0,0,0,0
28.846,1778935326.308842,eth0,14.7423,17.6907,32.433,178087,166435,0.0086,0.0182,0.0268,352605710,21518102,0,0,0,0
29.863,1778935327.32631,eth0,8.8455,14.7425,23.588,178096,166450,0.0059,0.0165,0.0224,352606462,21520196,0,0,0,0
30.88,1778935328.343507,eth0,11.7971,18.6788,30.4759,178108,166469,0.0079,0.0204,0.0283,352607466,21522794,0,0,0,0
