t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.003,1778935297.466526,0,0.0,100,0.93,4,6,16,0,0,True,False,False,False,0
1.082,1778935298.545212,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
2.108,1778935299.57093,0,0.0,100,0.93,4,6,16,0,0,True,False,False,False,0
3.125,1778935300.588185,0,0.0,100,0.91,4,6,16,0,0,True,False,False,False,0
4.142,1778935301.605351,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
5.173,1778935302.635992,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
6.24,1778935303.702964,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
7.264,1778935304.726992,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
8.28,1778935305.743478,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
9.298,1778935306.761223,0,0.0,100,1.0,4,6,16,0,0,True,False,False,False,0
10.323,1778935307.786024,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
11.365,1778935308.827843,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
12.383,1778935309.846116,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
13.401,1778935310.864215,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
14.418,1778935311.881396,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
15.44,1778935312.903635,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
16.485,1778935313.948436,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
17.511,1778935314.973931,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
18.528,1778935315.991447,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
19.545,1778935317.008554,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
20.569,1778935318.032189,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
21.627,1778935319.090465,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
22.652,1778935320.11566,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
23.671,1778935321.13414,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
24.688,1778935322.151178,0,0.0,100,1.0,4,6,16,0,0,True,False,False,False,0
25.709,1778935323.172291,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
26.775,1778935324.238424,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
27.828,1778935325.291359,0,0.0,100,1.79,4,6,16,0,0,True,False,False,False,0
28.846,1778935326.308842,0,0.0,100,1.58,4,6,16,0,0,True,False,False,False,0
29.863,1778935327.32631,0,0.0,100,1.38,4,6,16,0,0,True,False,False,False,0
30.88,1778935328.343507,0,0.0,100,1.24,4,6,16,0,0,True,False,False,False,0
31.905,1778935329.368071,0,0.0,100,1.14,4,6,16,0,0,True,False,False,False,0
32.922,1778935330.385576,0,0.0,100,1.07,4,6,16,0,0,True,False,False,False,0
33.94,1778935331.403255,0,0.0,100,1.08,4,6,16,0,0,True,False,False,False,0
34.957,1778935332.420155,0,0.0,100,1.01,4,6,16,0,0,True,False,False,False,0
35.974,1778935333.437212,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
37.0,1778935334.463294,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
38.017,1778935335.480684,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
39.034,1778935336.497726,0,0.0,100,1.0,4,6,16,0,0,True,False,False,False,0
40.052,1778935337.514865,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
41.071,1778935338.533915,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
42.096,1778935339.559428,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
43.114,1778935340.57692,0,0.0,100,0.93,4,6,16,0,0,True,False,False,False,0
44.131,1778935341.594469,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
45.148,1778935342.611574,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
46.165,1778935343.628676,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
47.191,1778935344.654212,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
48.209,1778935345.672541,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
49.226,1778935346.689646,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
50.244,1778935347.707208,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
51.262,1778935348.725085,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
52.288,1778935349.751215,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
53.305,1778935350.768698,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
54.323,1778935351.786137,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
55.341,1778935352.804023,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
56.358,1778935353.821236,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
57.384,1778935354.847232,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
58.402,1778935355.865272,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
59.42,1778935356.883004,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
60.437,1778935357.900095,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
61.454,1778935358.917285,0,0.0,100,0.94,4,6,16,0,0,True,False,False,False,0
62.479,1778935359.942594,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
63.498,1778935360.961189,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
64.516,1778935361.97916,0,0.0,100,1.01,4,6,16,0,0,True,False,False,False,0
65.534,1778935362.996961,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
66.552,1778935364.015226,0,0.0,100,0.98,4,6,16,0,0,True,False,False,False,0
67.579,1778935365.042686,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
68.597,1778935366.060347,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
69.615,1778935367.077887,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
70.633,1778935368.096271,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
71.65,1778935369.113728,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
72.676,1778935370.139322,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
73.694,1778935371.157327,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
74.712,1778935372.175567,0,0.0,100,1.02,4,6,16,0,0,True,False,False,False,0
