t,mbps
0,102.0
1,95.4
2,96.5
3,94.4
4,97.5
5,96.5
6,94.4
7,96.5
8,94.4
9,96.5
10,96.5
11,94.4
12,97.5
13,93.3
14,94.4
15,25.2
16,6.29
17,18.9
18,12.6
19,6.29
20,3.15
21,3.15
22,3.15
23,6.29
24,2.1
25,22.0
26,22.0
27,18.9
28,15.7
29,3.15
30,6.29
31,3.15
32,6.29
33,6.29
34,3.15
35,6.29
36,9.44
37,3.15
38,6.29
39,25.2
40,18.9
41,14.7
42,15.7
43,12.6
44,9.44
45,6.29
46,3.15
47,15.7
48,18.9
49,28.3
50,15.7
51,12.6
52,12.6
53,18.9
54,24.1
55,12.6
56,28.3
57,19.9
58,11.5
59,15.7
60,50.3
61,53.5
62,53.5
63,49.3
64,53.5
65,53.5
66,52.4
67,53.5
68,47.2
69,47.2
70,46.1
71,37.7
72,34.6
73,34.6
74,31.5
75,36.0
