t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.003,1778935297.466526,NORMAL,False,0,0,0,0,0,0,0,0,0
1.082,1778935298.545212,NORMAL,False,0,0,0,0,0,0,0,0,0
2.108,1778935299.57093,NORMAL,False,0,0,0,0,0,0,0,0,0
3.125,1778935300.588185,NORMAL,False,0,0,0,0,0,0,0,0,0
4.142,1778935301.605351,NORMAL,False,0,0,0,0,0,0,0,0,0
5.173,1778935302.635992,NORMAL,False,0,0,0,0,0,0,0,0,0
6.24,1778935303.702964,NORMAL,False,0,0,0,0,0,0,0,0,0
7.264,1778935304.726992,NORMAL,False,0,0,0,0,0,0,0,0,0
8.28,1778935305.743478,NORMAL,False,0,0,0,0,0,0,0,0,0
9.298,1778935306.761223,NORMAL,False,0,0,0,0,0,0,0,0,0
10.323,1778935307.786024,NORMAL,False,0,0,0,0,0,0,0,0,0
11.365,1778935308.827843,NORMAL,False,0,0,0,0,0,0,0,0,0
12.383,1778935309.846116,NORMAL,False,0,0,0,0,0,0,0,0,0
13.401,1778935310.864215,NORMAL,False,0,0,0,0,0,0,0,0,0
14.418,1778935311.881396,NORMAL,False,0,0,0,0,0,0,0,0,0
15.44,1778935312.903635,NORMAL,False,0,0,0,0,0,0,0,0,0
16.485,1778935313.948436,NORMAL,False,0,0,0,0,0,0,0,0,0
17.511,1778935314.973931,NORMAL,False,0,0,0,0,0,0,0,0,0
18.528,1778935315.991447,NORMAL,False,0,0,0,0,0,0,0,0,0
19.545,1778935317.008554,NORMAL,False,0,0,0,0,0,0,0,0,0
20.569,1778935318.032189,NORMAL,False,0,0,0,0,0,0,0,0,0
21.627,1778935319.090465,NORMAL,False,0,0,0,0,0,0,0,0,0
22.652,1778935320.11566,NORMAL,False,0,0,0,0,0,0,0,0,0
23.671,1778935321.13414,NORMAL,False,0,0,0,0,0,0,0,0,0
24.688,1778935322.151178,NORMAL,False,0,0,0,0,0,0,0,0,0
25.709,1778935323.172291,NORMAL,False,0,0,0,0,0,0,0,0,0
26.775,1778935324.238424,NORMAL,False,0,0,0,0,0,0,0,0,0
27.828,1778935325.291359,NORMAL,False,0,0,0,0,0,0,0,0,0
28.846,1778935326.308842,NORMAL,False,0,0,0,0,0,0,0,0,0
29.863,1778935327.32631,NORMAL,False,0,0,0,0,0,0,0,0,0
30.88,1778935328.343507,NORMAL,False,0,0,0,0,0,0,0,0,0
31.905,1778935329.368071,NORMAL,False,0,0,0,0,0,0,0,0,0
32.922,1778935330.385576,NORMAL,False,0,0,0,0,0,0,0,0,0
33.94,1778935331.403255,NORMAL,False,0,0,0,0,0,0,0,0,0
34.957,1778935332.420155,NORMAL,False,0,0,0,0,0,0,0,0,0
35.974,1778935333.437212,NORMAL,False,0,0,0,0,0,0,0,0,0
37.0,1778935334.463294,NORMAL,False,0,0,0,0,0,0,0,0,0
38.017,1778935335.480684,NORMAL,False,0,0,0,0,0,0,0,0,0
39.034,1778935336.497726,NORMAL,False,0,0,0,0,0,0,0,0,0
40.052,1778935337.514865,NORMAL,False,0,0,0,0,0,0,0,0,0
41.071,1778935338.533915,NORMAL,False,0,0,0,0,0,0,0,0,0
42.096,1778935339.559428,NORMAL,False,0,0,0,0,0,0,0,0,0
