t,rtt_ms
0.0,1.27
0.5,4.88
1.0,3.28
1.5,3.56
2.0,3.94
2.5,4.8
3.0,7.65
3.5,7.8
4.0,4.86
4.5,7.95
5.0,8.91
5.5,4.38
6.0,4.78
6.5,4.89
7.0,5.64
7.5,5.88
8.0,6.56
8.5,6.83
9.0,6.73
9.5,6.8
10.0,6.68
10.5,7.44
11.0,7.06
11.5,8.04
12.0,4.09
12.5,4.77
13.0,5.76
13.5,6.13
14.0,6.78
14.5,6.61
15.0,4.49
15.5,2.58
16.0,0.809
16.5,0.707
17.0,0.376
17.5,0.397
18.0,0.779
18.5,3.16
19.0,1.78
19.5,0.372
20.0,0.505
20.5,0.387
21.0,0.414
21.5,0.318
22.0,0.449
22.5,0.397
23.0,0.426
23.5,0.389
24.0,0.4
24.5,0.336
25.0,0.396
25.5,0.887
26.0,0.751
26.5,0.817
27.0,0.841
27.5,0.709
28.0,0.792
28.5,0.659
29.0,0.576
29.5,0.387
30.0,0.401
30.5,0.376
31.0,0.498
31.5,0.368
32.0,0.425
32.5,0.38
33.0,0.374
33.5,0.394
34.0,0.423
34.5,0.418
35.0,0.323
35.5,0.374
36.0,1.34
36.5,1.88
37.0,0.393
37.5,0.359
38.0,0.401
38.5,0.387
39.0,0.382
39.5,0.84
40.0,0.732
40.5,0.716
41.0,3.15
41.5,0.915
42.0,3.55
42.5,2.92
43.0,0.787
43.5,0.754
44.0,0.694
44.5,3.96
45.0,2.35
45.5,0.972
46.0,0.346
46.5,0.362
47.0,0.366
47.5,2.83
48.0,2.1
48.5,2.38
49.0,0.862
49.5,2.7
50.0,3.38
50.5,0.826
51.0,0.634
51.5,2.78
52.0,0.409
52.5,1.46
53.0,0.845
53.5,2.28
54.0,3.18
54.5,3.04
55.0,3.7
55.5,0.773
56.0,2.88
56.5,3.0
57.0,3.16
57.5,0.782
58.0,0.678
58.5,0.635
59.0,3.37
59.5,2.24
60.0,4.19
60.5,5.42
61.0,6.17
61.5,8.34
62.0,7.46
62.5,3.92
63.0,5.96
63.5,5.38
64.0,4.26
64.5,9.06
65.0,7.38
65.5,6.72
66.0,4.52
66.5,5.52
67.0,7.43
67.5,7.54
68.0,4.69
68.5,8.99
69.0,7.83
69.5,6.39
70.0,8.82
70.5,6.58
71.0,6.88
71.5,10.0
72.0,8.35
72.5,6.8
73.0,7.86
73.5,4.42
74.0,9.15
74.5,8.7
