t,rtt_ms
40.0,0.808
40.5,0.693
41.0,0.717
41.5,0.517
42.0,2.08
42.5,0.608
43.0,1.31
43.5,2.13
44.0,0.714
44.5,0.581
45.0,3.49
45.5,0.324
46.0,0.365
46.5,0.368
47.0,2.95
47.5,0.668
48.0,2.26
48.5,0.832
49.0,2.44
49.5,2.48
50.0,0.747
50.5,0.784
51.0,2.4
51.5,0.325
52.0,1.77
52.5,0.921
53.0,2.46
53.5,3.06
54.0,3.24
54.5,2.83
55.0,0.675
55.5,2.6
56.0,0.68
56.5,1.97
57.0,0.712
57.5,1.42
58.0,0.506
58.5,3.47
59.0,1.17
59.5,3.58
60.0,4.7
60.5,4.45
61.0,6.8
61.5,5.46
62.0,5.17
62.5,7.42
63.0,6.4
63.5,6.0
64.0,4.86
64.5,6.66
65.0,7.92
65.5,4.06
66.0,5.86
66.5,8.6
67.0,6.38
67.5,9.42
68.0,4.49
68.5,6.75
69.0,6.36
69.5,10.0
70.0,9.93
70.5,4.32
71.0,6.92
71.5,8.54
72.0,8.07
72.5,6.36
73.0,7.07
73.5,7.43
74.0,10.8
