t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.01,1778935297.473439,128.110.97.129,1.07,1,0.0
0.01,1778935297.473439,128.110.97.130,1.1,1,0.0
0.01,1778935297.473439,128.110.97.131,1.14,1,0.0
5.127,1778935302.590168,128.110.97.129,0.953,1,0.0
5.127,1778935302.590168,128.110.97.130,1.01,1,0.0
5.127,1778935302.590168,128.110.97.131,0.846,1,0.0
10.247,1778935307.710272,128.110.97.129,0.976,1,0.0
10.247,1778935307.710272,128.110.97.130,0.995,1,0.0
10.247,1778935307.710272,128.110.97.131,0.83,1,0.0
15.36,1778935312.823206,128.110.97.129,0.958,1,0.0
15.36,1778935312.823206,128.110.97.130,0.93,1,0.0
15.36,1778935312.823206,128.110.97.131,0.925,1,0.0
20.547,1778935318.009923,128.110.97.129,0.733,1,0.0
20.547,1778935318.009923,128.110.97.130,0.814,1,0.0
20.547,1778935318.009923,128.110.97.131,0.812,1,0.0
25.663,1778935323.126394,128.110.97.129,0.973,1,0.0
25.663,1778935323.126394,128.110.97.130,0.757,1,0.0
25.663,1778935323.126394,128.110.97.131,0.812,1,0.0
30.782,1778935328.245545,128.110.97.129,0.886,1,0.0
30.782,1778935328.245545,128.110.97.130,0.819,1,0.0
30.782,1778935328.245545,128.110.97.131,0.763,1,0.0
35.873,1778935333.336183,128.110.97.129,0.818,1,0.0
35.873,1778935333.336183,128.110.97.130,0.747,1,0.0
35.873,1778935333.336183,128.110.97.131,0.724,1,0.0
40.962,1778935338.425675,128.110.97.129,0.788,1,0.0
40.962,1778935338.425675,128.110.97.130,0.941,1,0.0
40.962,1778935338.425675,128.110.97.131,0.854,1,0.0
46.052,1778935343.514896,128.110.97.129,1.09,1,0.0
46.052,1778935343.514896,128.110.97.130,0.922,1,0.0
46.052,1778935343.514896,128.110.97.131,0.846,1,0.0
51.145,1778935348.608326,128.110.97.129,0.9,1,0.0
51.145,1778935348.608326,128.110.97.130,0.816,1,0.0
51.145,1778935348.608326,128.110.97.131,0.877,1,0.0
56.236,1778935353.69917,128.110.97.129,1.04,1,0.0
56.236,1778935353.69917,128.110.97.130,1.09,1,0.0
56.236,1778935353.69917,128.110.97.131,0.945,1,0.0
61.328,1778935358.791125,128.110.97.129,0.964,1,0.0
61.328,1778935358.791125,128.110.97.130,1.02,1,0.0
61.328,1778935358.791125,128.110.97.131,0.954,1,0.0
66.419,1778935363.882383,128.110.97.129,0.886,1,0.0
66.419,1778935363.882383,128.110.97.130,1.01,1,0.0
66.419,1778935363.882383,128.110.97.131,0.96,1,0.0
71.51,1778935368.973087,128.110.97.129,0.999,1,0.0
71.51,1778935368.973087,128.110.97.130,1.02,1,0.0
71.51,1778935368.973087,128.110.97.131,0.958,1,0.0
