PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=1 ttl=64 time=0.808 ms
264 bytes from 10.10.10.3: icmp_seq=2 ttl=64 time=0.693 ms
264 bytes from 10.10.10.3: icmp_seq=3 ttl=64 time=0.717 ms
264 bytes from 10.10.10.3: icmp_seq=4 ttl=64 time=0.517 ms
264 bytes from 10.10.10.3: icmp_seq=5 ttl=64 time=2.08 ms
264 bytes from 10.10.10.3: icmp_seq=6 ttl=64 time=0.608 ms
264 bytes from 10.10.10.3: icmp_seq=7 ttl=64 time=1.31 ms
264 bytes from 10.10.10.3: icmp_seq=8 ttl=64 time=2.13 ms
264 bytes from 10.10.10.3: icmp_seq=9 ttl=64 time=0.714 ms
264 bytes from 10.10.10.3: icmp_seq=10 ttl=64 time=0.581 ms
264 bytes from 10.10.10.3: icmp_seq=11 ttl=64 time=3.49 ms
264 bytes from 10.10.10.3: icmp_seq=13 ttl=64 time=0.324 ms
264 bytes from 10.10.10.3: icmp_seq=14 ttl=64 time=0.365 ms
264 bytes from 10.10.10.3: icmp_seq=15 ttl=64 time=0.368 ms
264 bytes from 10.10.10.3: icmp_seq=16 ttl=64 time=2.95 ms
264 bytes from 10.10.10.3: icmp_seq=17 ttl=64 time=0.668 ms
264 bytes from 10.10.10.3: icmp_seq=18 ttl=64 time=2.26 ms
264 bytes from 10.10.10.3: icmp_seq=19 ttl=64 time=0.832 ms
264 bytes from 10.10.10.3: icmp_seq=20 ttl=64 time=2.44 ms
264 bytes from 10.10.10.3: icmp_seq=21 ttl=64 time=2.48 ms
264 bytes from 10.10.10.3: icmp_seq=22 ttl=64 time=0.747 ms
264 bytes from 10.10.10.3: icmp_seq=23 ttl=64 time=0.784 ms
264 bytes from 10.10.10.3: icmp_seq=24 ttl=64 time=2.40 ms
264 bytes from 10.10.10.3: icmp_seq=25 ttl=64 time=0.325 ms
264 bytes from 10.10.10.3: icmp_seq=26 ttl=64 time=1.77 ms
264 bytes from 10.10.10.3: icmp_seq=27 ttl=64 time=0.921 ms
264 bytes from 10.10.10.3: icmp_seq=28 ttl=64 time=2.46 ms
264 bytes from 10.10.10.3: icmp_seq=29 ttl=64 time=3.06 ms
264 bytes from 10.10.10.3: icmp_seq=30 ttl=64 time=3.24 ms
264 bytes from 10.10.10.3: icmp_seq=31 ttl=64 time=2.83 ms
264 bytes from 10.10.10.3: icmp_seq=32 ttl=64 time=0.675 ms
264 bytes from 10.10.10.3: icmp_seq=33 ttl=64 time=2.60 ms
264 bytes from 10.10.10.3: icmp_seq=34 ttl=64 time=0.680 ms
264 bytes from 10.10.10.3: icmp_seq=35 ttl=64 time=1.97 ms
264 bytes from 10.10.10.3: icmp_seq=36 ttl=64 time=0.712 ms
264 bytes from 10.10.10.3: icmp_seq=37 ttl=64 time=1.42 ms
264 bytes from 10.10.10.3: icmp_seq=38 ttl=64 time=0.506 ms
264 bytes from 10.10.10.3: icmp_seq=39 ttl=64 time=3.47 ms
264 bytes from 10.10.10.3: icmp_seq=40 ttl=64 time=1.17 ms
264 bytes from 10.10.10.3: icmp_seq=41 ttl=64 time=3.58 ms
264 bytes from 10.10.10.3: icmp_seq=42 ttl=64 time=4.70 ms
264 bytes from 10.10.10.3: icmp_seq=43 ttl=64 time=4.45 ms
264 bytes from 10.10.10.3: icmp_seq=44 ttl=64 time=6.80 ms
264 bytes from 10.10.10.3: icmp_seq=45 ttl=64 time=5.46 ms
264 bytes from 10.10.10.3: icmp_seq=46 ttl=64 time=5.17 ms
264 bytes from 10.10.10.3: icmp_seq=47 ttl=64 time=7.42 ms
264 bytes from 10.10.10.3: icmp_seq=48 ttl=64 time=6.40 ms
264 bytes from 10.10.10.3: icmp_seq=49 ttl=64 time=6.00 ms
264 bytes from 10.10.10.3: icmp_seq=50 ttl=64 time=4.86 ms
264 bytes from 10.10.10.3: icmp_seq=51 ttl=64 time=6.66 ms
264 bytes from 10.10.10.3: icmp_seq=52 ttl=64 time=7.92 ms
264 bytes from 10.10.10.3: icmp_seq=53 ttl=64 time=4.06 ms
264 bytes from 10.10.10.3: icmp_seq=54 ttl=64 time=5.86 ms
264 bytes from 10.10.10.3: icmp_seq=55 ttl=64 time=8.60 ms
264 bytes from 10.10.10.3: icmp_seq=56 ttl=64 time=6.38 ms
264 bytes from 10.10.10.3: icmp_seq=57 ttl=64 time=9.42 ms
264 bytes from 10.10.10.3: icmp_seq=58 ttl=64 time=4.49 ms
264 bytes from 10.10.10.3: icmp_seq=59 ttl=64 time=6.75 ms
264 bytes from 10.10.10.3: icmp_seq=60 ttl=64 time=6.36 ms
264 bytes from 10.10.10.3: icmp_seq=61 ttl=64 time=10.0 ms
264 bytes from 10.10.10.3: icmp_seq=62 ttl=64 time=9.93 ms
264 bytes from 10.10.10.3: icmp_seq=63 ttl=64 time=4.32 ms
264 bytes from 10.10.10.3: icmp_seq=64 ttl=64 time=6.92 ms
264 bytes from 10.10.10.3: icmp_seq=65 ttl=64 time=8.54 ms
264 bytes from 10.10.10.3: icmp_seq=66 ttl=64 time=8.07 ms
264 bytes from 10.10.10.3: icmp_seq=67 ttl=64 time=6.36 ms
264 bytes from 10.10.10.3: icmp_seq=68 ttl=64 time=7.07 ms
264 bytes from 10.10.10.3: icmp_seq=69 ttl=64 time=7.43 ms
264 bytes from 10.10.10.3: icmp_seq=70 ttl=64 time=10.8 ms

--- 10.10.10.3 ping statistics ---
70 packets transmitted, 69 received, 1% packet loss, time 34555ms
rtt min/avg/max/mdev = 0.324/3.754/10.817/2.953 ms
