t,rtt_ms
40.0,11.3
40.5,11.9
41.0,13.1
41.5,13.7
42.0,15.2
42.5,14.0
43.0,14.2
43.5,13.6
44.0,15.3
44.5,12.2
45.0,11.1
45.5,13.5
46.0,15.6
46.5,14.4
47.0,13.7
47.5,12.0
48.0,11.3
48.5,14.5
49.0,9.97
49.5,11.6
50.0,11.6
50.5,11.1
51.0,11.4
51.5,11.9
52.0,13.8
52.5,13.5
53.0,11.6
53.5,10.6
54.0,10.6
54.5,11.7
55.0,11.7
55.5,11.4
56.0,13.0
56.5,10.9
57.0,13.8
57.5,13.9
58.0,13.6
58.5,9.66
59.0,12.3
59.5,13.5
60.0,13.8
60.5,10.3
61.0,10.5
61.5,12.6
62.0,11.6
62.5,11.9
63.0,11.3
63.5,11.7
64.0,13.1
64.5,13.2
65.0,14.2
65.5,9.58
66.0,14.6
66.5,11.6
67.0,11.0
67.5,10.5
68.0,10.8
68.5,11.7
69.0,11.8
69.5,12.1
70.0,11.3
70.5,11.1
71.0,12.8
71.5,12.3
72.0,15.1
72.5,13.7
73.0,13.5
73.5,13.8
74.0,12.1
74.5,12.3
75.0,14.1
75.5,12.0
76.0,11.9
76.5,14.3
77.0,10.8
77.5,12.6
78.0,13.8
78.5,12.6
79.0,14.8
79.5,13.6
80.0,15.1
80.5,14.1
81.0,13.5
81.5,15.1
82.0,14.8
82.5,13.9
83.0,15.0
83.5,14.9
84.0,14.8
84.5,14.1
85.0,14.8
85.5,14.5
86.0,12.8
86.5,13.1
87.0,12.5
87.5,12.8
88.0,12.7
88.5,13.3
89.0,13.7
89.5,13.0
