t,rtt_ms
0.0,1.14
0.5,4.41
1.0,7.98
1.5,8.28
2.0,4.92
2.5,7.61
3.0,7.76
3.5,7.91
4.0,6.83
4.5,8.57
5.0,7.14
5.5,7.67
6.0,8.6
6.5,8.69
7.0,8.73
7.5,5.97
8.0,9.58
8.5,6.88
9.0,7.39
9.5,11.2
10.0,6.24
10.5,9.16
11.0,7.87
11.5,10.4
12.0,7.92
12.5,9.5
13.0,6.96
13.5,10.6
14.0,10.5
14.5,7.78
15.0,6.13
15.5,6.54
16.0,6.46
16.5,6.97
17.0,7.69
17.5,7.45
18.0,7.39
18.5,11.6
19.0,10.5
19.5,11.3
20.0,11.7
20.5,11.7
21.0,11.7
21.5,11.7
22.0,12.3
22.5,12.6
23.0,12.8
23.5,13.1
24.0,13.4
24.5,13.3
25.0,14.2
25.5,14.8
26.0,13.4
26.5,13.7
27.0,13.8
27.5,11.9
28.0,12.7
28.5,13.8
29.0,11.8
29.5,12.8
30.0,13.5
30.5,13.2
31.0,13.6
31.5,14.8
32.0,13.0
32.5,14.8
33.0,13.5
33.5,13.1
34.0,13.7
34.5,14.7
35.0,13.0
35.5,12.7
36.0,12.7
36.5,14.5
37.0,13.2
37.5,14.9
38.0,12.0
38.5,14.0
39.0,13.3
39.5,11.1
40.0,15.7
40.5,12.3
41.0,12.4
41.5,15.7
42.0,11.6
42.5,13.9
43.0,8.65
43.5,12.1
44.0,7.23
44.5,9.59
45.0,12.8
45.5,9.09
46.0,11.9
46.5,10.8
47.0,12.2
47.5,12.9
48.0,10.2
48.5,9.22
49.0,7.4
49.5,9.44
50.0,12.4
50.5,11.0
51.0,13.5
51.5,9.52
52.0,10.2
52.5,12.5
53.0,9.82
53.5,11.4
54.0,9.39
54.5,11.3
55.0,11.5
55.5,9.04
56.0,12.8
56.5,13.3
57.0,9.8
57.5,12.8
58.0,11.7
58.5,11.8
59.0,9.91
59.5,8.98
60.0,9.38
60.5,11.2
61.0,12.5
61.5,13.9
62.0,10.2
62.5,11.9
63.0,12.4
63.5,10.7
64.0,11.2
64.5,13.2
65.0,12.0
65.5,9.16
66.0,11.7
66.5,13.4
67.0,13.7
67.5,11.1
68.0,12.6
68.5,11.3
69.0,13.7
69.5,10.9
70.0,11.8
70.5,13.6
71.0,11.6
71.5,9.46
72.0,14.4
72.5,6.53
73.0,9.75
73.5,9.26
74.0,10.7
74.5,8.19
75.0,7.77
75.5,10.3
76.0,10.7
76.5,3.71
77.0,10.2
77.5,12.5
78.0,7.4
78.5,10.3
79.0,8.91
79.5,10.0
80.0,10.7
80.5,10.3
81.0,10.7
81.5,7.94
82.0,15.7
82.5,8.13
83.0,9.11
83.5,6.89
84.0,7.88
84.5,8.64
85.0,9.26
85.5,9.64
86.0,7.21
86.5,9.96
87.0,4.76
87.5,7.1
88.0,8.78
88.5,6.48
89.0,12.8
89.5,9.31
