t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778981234.745984,10.10.10.1,,0,100.0
0.009,1778981234.745984,10.10.10.2,,0,100.0
0.009,1778981234.745984,10.10.10.3,,0,100.0
11.131,1778981245.867753,10.10.10.1,,0,100.0
11.131,1778981245.867753,10.10.10.2,,0,100.0
11.131,1778981245.867753,10.10.10.3,,0,100.0
22.215,1778981256.951391,10.10.10.1,,0,100.0
22.215,1778981256.951391,10.10.10.2,,0,100.0
22.215,1778981256.951391,10.10.10.3,,0,100.0
33.307,1778981268.043408,10.10.10.1,,0,100.0
33.307,1778981268.043408,10.10.10.2,,0,100.0
33.307,1778981268.043408,10.10.10.3,,0,100.0
44.414,1778981279.150627,10.10.10.1,,0,100.0
44.414,1778981279.150627,10.10.10.2,,0,100.0
44.414,1778981279.150627,10.10.10.3,,0,100.0
55.513,1778981290.249325,10.10.10.1,,0,100.0
55.513,1778981290.249325,10.10.10.2,,0,100.0
55.513,1778981290.249325,10.10.10.3,,0,100.0
66.615,1778981301.35112,10.10.10.1,,0,100.0
66.615,1778981301.35112,10.10.10.2,,0,100.0
66.615,1778981301.35112,10.10.10.3,,0,100.0
77.7,1778981312.436186,10.10.10.1,,0,100.0
77.7,1778981312.436186,10.10.10.2,,0,100.0
77.7,1778981312.436186,10.10.10.3,,0,100.0
88.811,1778981323.547097,10.10.10.1,,0,100.0
88.811,1778981323.547097,10.10.10.2,,0,100.0
88.811,1778981323.547097,10.10.10.3,,0,100.0
