event,t,timestamp,value
metering_started,21.482,1778992367.482963,3
threshold_crossed,21.482,1778992367.482963,366.67
attack_detected,21.482,1778992367.482963,366.67
mitigation_active,21.482,1778992367.482963,366.67
threshold_cleared,23.529,1778992369.529984,202.0
escalation_started,29.674,1778992375.674572,3
attack_cleared,32.735,1778992378.736113,265.0
threshold_crossed,33.76,1778992379.761276,304.0
threshold_cleared,34.797,1778992380.798199,288.0
valid_traffic_started,1.683,1778992346.239347961,both
attack_started,16.808,1778992361.364963384,scapy
attack_ended,64.046,1778992408.603023159,scapy
