t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.002,1778981332.623122,NORMAL,,False,False,False,0.0,100,,
1.059,1778981333.679309,NORMAL,,False,False,False,0.0,100,,
2.077,1778981334.697695,NORMAL,,False,False,False,0.0,100,,
3.117,1778981335.737952,NORMAL,,False,False,False,0.0,100,,
4.135,1778981336.755655,NORMAL,,False,False,False,0.0,100,,
5.162,1778981337.782361,NORMAL,,False,False,False,0.0,100,,
6.179,1778981338.8,NORMAL,,False,False,False,0.0,100,,
7.197,1778981339.817705,NORMAL,,False,False,False,0.0,100,,
8.215,1778981340.83563,NORMAL,,False,False,False,0.0,100,,
9.232,1778981341.853201,NORMAL,,False,False,False,0.0,100,,
10.25,1778981342.870357,NORMAL,,False,False,False,0.0,100,,
11.268,1778981343.888636,NORMAL,,False,False,False,0.0,100,,
12.294,1778981344.9148,NORMAL,,False,False,False,0.0,100,,
13.313,1778981345.93329,NORMAL,,False,False,False,0.0,100,,
14.339,1778981346.959635,NORMAL,,False,False,False,0.0,100,,
15.357,1778981347.978155,NORMAL,,False,False,False,0.0,100,,
16.398,1778981349.018701,NORMAL,,False,False,False,0.0,100,,
17.416,1778981350.036413,NORMAL,,False,False,False,0.0,100,,
18.434,1778981351.055186,NORMAL,,False,False,False,0.0,100,,
19.453,1778981352.073267,METERING,,True,True,False,297.67,100,1778981352.0628166,1778981352.0628166
20.5,1778981353.120669,METERING,,True,True,False,366.0,100,1778981352.0628166,1778981352.0628166
21.517,1778981354.137899,METERING,,True,True,False,456.0,100,1778981352.0628166,1778981352.0628166
22.534,1778981355.15513,METERING,,True,True,False,207.67,100,1778981352.0628166,1778981352.0628166
23.566,1778981356.186384,METERING,,True,True,False,224.67,100,1778981352.0628166,1778981352.0628166
24.585,1778981357.205907,METERING,,True,True,False,191.33,100,1778981352.0628166,1778981352.0628166
25.61,1778981358.23103,METERING,,True,True,False,190.0,100,1778981352.0628166,1778981352.0628166
26.628,1778981359.249094,METERING,,True,True,False,181.0,100,1778981352.0628166,1778981352.0628166
27.657,1778981360.278141,METERING,,True,True,False,220.0,100,1778981352.0628166,1778981352.0628166
28.675,1778981361.295416,LOCKDOWN,,True,True,False,289.33,100,1778981352.0628166,1778981352.0628166
29.695,1778981362.315509,LOCKDOWN,,True,True,False,304.67,100,1778981352.0628166,1778981352.0628166
30.716,1778981363.336641,LOCKDOWN,,True,True,False,260.33,100,1778981352.0628166,1778981352.0628166
31.733,1778981364.35403,LOCKDOWN,,True,True,False,187.0,100,1778981352.0628166,1778981352.0628166
32.751,1778981365.371409,LOCKDOWN,,True,True,False,173.67,100,1778981352.0628166,1778981352.0628166
33.769,1778981366.390195,LOCKDOWN,,True,True,False,240.0,100,1778981352.0628166,1778981352.0628166
34.799,1778981367.419466,LOCKDOWN,,True,True,False,313.67,100,1778981352.0628166,1778981352.0628166
35.824,1778981368.44451,LOCKDOWN,,True,True,False,330.0,100,1778981352.0628166,1778981352.0628166
36.851,1778981369.471837,LOCKDOWN,,True,True,False,280.0,100,1778981352.0628166,1778981352.0628166
37.869,1778981370.490179,LOCKDOWN,,True,True,False,213.67,100,1778981352.0628166,1778981352.0628166
38.894,1778981371.514538,LOCKDOWN,,True,True,False,200.0,100,1778981352.0628166,1778981352.0628166
39.913,1778981372.533754,LOCKDOWN,,True,True,False,257.67,100,1778981352.0628166,1778981352.0628166
40.93,1778981373.551057,LOCKDOWN,,True,True,False,296.33,100,1778981352.0628166,1778981352.0628166
41.949,1778981374.569748,LOCKDOWN,,True,True,False,241.33,100,1778981352.0628166,1778981352.0628166
42.971,1778981375.591511,LOCKDOWN,,True,True,False,167.0,100,1778981352.0628166,1778981352.0628166
43.991,1778981376.611995,LOCKDOWN,,True,True,False,155.33,100,1778981352.0628166,1778981352.0628166
45.011,1778981377.631588,LOCKDOWN,,True,True,False,150.0,100,1778981352.0628166,1778981352.0628166
46.037,1778981378.658005,LOCKDOWN,,True,True,False,150.67,100,1778981352.0628166,1778981352.0628166
47.058,1778981379.678988,LOCKDOWN,,True,True,False,128.67,100,1778981352.0628166,1778981352.0628166
