t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.002,1778981332.623122,eth0,2484.5319,5383.1525,7867.6845,1164880,1129296,1.0336,6.5525,7.5861,625121789,124387039,0,0,0,0
1.059,1778981333.679309,eth0,34.0849,37.8721,71.957,1164916,1129336,0.045,0.0599,0.1048,625127725,124394941,0,0,0,0
2.077,1778981334.697695,eth0,23.5667,28.4764,52.0431,1164940,1129365,0.0295,0.0258,0.0553,625131481,124398227,0,0,0,0
3.117,1778981335.737952,eth0,10.5743,13.4582,24.0325,1164951,1129379,0.0069,0.0165,0.0234,625132377,124400379,0,0,0,0
4.135,1778981336.755655,eth0,8.8435,15.7217,24.5651,1164960,1129395,0.0058,0.0171,0.0229,625133113,124402555,0,0,0,0
5.162,1778981337.782361,eth0,8.7659,14.6098,23.3757,1164969,1129410,0.0057,0.0162,0.0219,625133849,124404633,0,0,0,0
6.179,1778981338.8,eth0,9.8267,15.7227,25.5493,1164979,1129426,0.0062,0.0168,0.0229,625134633,124406765,0,0,0,0
7.197,1778981339.817705,eth0,12.7738,17.6869,30.4607,1164992,1129444,0.0077,0.0191,0.0268,625135609,124409201,0,0,0,0
8.215,1778981340.83563,eth0,10.8063,14.7359,25.5422,1165003,1129459,0.0068,0.0153,0.0221,625136473,124411143,0,0,0,0
9.232,1778981341.853201,eth0,8.8446,14.741,23.5856,1165012,1129474,0.0059,0.0163,0.0222,625137225,124413221,0,0,0,0
10.25,1778981342.870357,eth0,8.8482,14.747,23.5952,1165021,1129489,0.0059,0.0163,0.0223,625137977,124415299,0,0,0,0
11.268,1778981343.888636,eth0,8.8384,17.6769,26.5153,1165030,1129507,0.0059,0.0198,0.0257,625138729,124417815,0,0,0,0
12.294,1778981344.9148,eth0,16.5665,18.5156,35.0821,1165047,1129526,0.009,0.0176,0.0266,625139885,124420073,0,0,0,0
13.313,1778981345.93329,eth0,11.7821,17.6732,29.4554,1165059,1129544,0.0068,0.0187,0.0255,625140749,124422453,0,0,0,0
14.339,1778981346.959635,eth0,7.7946,12.6663,20.461,1165067,1129557,0.0059,0.0135,0.0194,625141501,124424191,0,0,0,0
15.357,1778981347.978155,eth0,10.8,19.6363,30.4363,1165078,1129577,0.0067,0.0227,0.0294,625142357,124427079,0,0,0,0
16.398,1778981349.018701,eth0,26.909,31.7141,58.6231,1165106,1129610,0.0359,0.0441,0.08,625147025,124432820,0,0,0,0
17.416,1778981350.036413,eth0,12.7737,17.6867,30.4605,1165119,1129628,0.0077,0.0191,0.0268,625148001,124435256,0,0,0,0
18.434,1778981351.055186,eth0,12.7605,16.6868,29.4472,1165132,1129645,0.009,0.0163,0.0253,625149153,124437330,0,0,0,0
19.453,1778981352.073267,eth0,761.2358,979.293,1740.5288,1165907,1130642,1.5454,0.8125,2.3578,625345817,124540724,0,0,0,0
20.5,1778981353.120669,eth0,189.0391,171.8538,360.8929,1166105,1130822,0.3274,0.099,0.4264,625388685,124553680,0,0,0,0
21.517,1778981354.137899,eth0,259.5284,246.7486,506.2771,1166369,1131073,0.7787,0.1388,0.9175,625487697,124571334,0,0,0,0
22.534,1778981355.15513,eth0,161.222,149.4253,310.6472,1166533,1131225,0.5504,0.0875,0.6379,625557685,124582462,0,0,0,0
23.566,1778981356.186384,eth0,186.181,141.5751,327.7561,1166725,1131371,0.7417,0.0832,0.8249,625653293,124593186,0,0,0,0
24.585,1778981357.205907,eth0,163.8021,109.8553,273.6574,1166892,1131483,0.5201,0.067,0.5871,625719575,124601722,0,0,0,0
25.61,1778981358.23103,eth0,146.324,134.6181,280.9421,1167042,1131621,0.2621,0.0796,0.3417,625753159,124611918,0,0,0,0
26.628,1778981359.249094,eth0,232.7946,197.4334,430.228,1167279,1131822,0.616,0.113,0.7289,625831549,124626292,0,0,0,0
27.657,1778981360.278141,eth0,241.9716,216.7055,458.677,1167528,1132045,0.8006,0.1228,0.9234,625934533,124642086,0,0,0,0
28.675,1778981361.295416,eth0,321.447,271.313,592.76,1167855,1132321,1.0985,0.1591,1.2576,626074221,124662318,0,0,0,0
29.695,1778981362.315509,eth0,246.0559,189.1984,435.2543,1168106,1132514,0.9285,0.1084,1.0369,626192617,124676144,0,0,0,0
30.716,1778981363.336641,eth0,145.9165,119.4752,265.3917,1168255,1132636,0.4385,0.0716,0.5101,626248589,124685284,0,0,0,0
31.733,1778981364.35403,eth0,127.7781,105.1712,232.9492,1168385,1132743,0.2978,0.0641,0.3619,626286467,124693434,0,0,0,0
