t,mbps
0,102.0
1,94.4
2,97.5
3,93.3
4,96.5
5,96.5
6,96.5
7,94.4
8,96.5
9,96.5
10,93.3
11,97.5
12,96.5
13,94.4
14,96.5
15,99.6
16,94.4
17,95.4
18,96.5
19,95.4
20,92.3
21,95.4
22,96.5
23,95.4
24,96.5
25,95.4
26,96.5
27,95.4
28,96.5
29,95.4
30,96.5
31,95.4
32,95.4
33,96.5
34,95.4
35,95.4
36,92.3
37,96.5
38,95.4
39,84.9
40,64.0
41,62.9
42,66.1
43,62.9
44,62.9
45,66.1
46,62.9
47,62.9
48,66.1
49,62.9
50,62.9
51,66.1
52,62.9
53,61.9
54,62.9
55,67.1
56,61.9
57,62.9
58,67.1
59,61.9
60,62.9
61,62.9
62,66.1
63,62.9
64,62.9
65,66.1
66,62.9
67,62.9
68,66.1
69,62.9
70,66.1
71,62.9
72,71.3
73,66.1
74,67.1
75,67.1
76,66.1
77,67.1
78,67.1
79,66.1
80,67.1
81,66.1
82,67.1
83,67.1
84,70.3
85,62.9
86,71.3
87,66.1
88,67.1
89,70.3
90,78.7
