t,mbps
40.0,35.7
41.0,31.5
42.0,31.5
43.0,31.5
44.0,33.6
45.0,30.4
46.0,31.5
47.0,33.6
48.0,31.5
49.0,31.5
50.0,31.5
51.0,32.5
52.0,31.5
53.0,31.5
54.0,31.5
55.0,33.6
56.0,31.5
57.0,30.4
58.0,33.6
59.0,31.5
60.0,31.5
61.0,31.5
62.0,32.5
63.0,31.5
64.0,31.5
65.0,33.6
66.0,31.5
67.0,31.5
68.0,30.4
69.0,31.5
70.0,29.4
71.0,33.6
72.0,27.3
73.0,27.3
74.0,28.3
75.0,27.3
76.0,29.4
77.0,29.4
78.0,29.4
79.0,29.4
80.0,28.3
81.0,29.4
82.0,29.4
83.0,27.3
84.0,29.4
85.0,27.3
86.0,29.4
87.0,26.2
88.0,29.4
89.0,29.4
90.0,30.7
