t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.002,1778980941.267255,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
1.059,1778980942.32342,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
2.077,1778980943.341721,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
3.111,1778980944.375934,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
4.129,1778980945.394194,0,0.0,100,1.0,4,5,15,0,0,True,False,False,False,0
5.155,1778980946.420228,0,0.0,100,0.98,4,5,15,0,0,True,False,False,False,0
6.173,1778980947.438071,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
7.19,1778980948.455108,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
8.208,1778980949.4729,0,0.0,100,0.97,4,5,15,0,0,True,False,False,False,0
9.225,1778980950.489891,0,0.0,100,0.96,4,5,15,0,0,True,False,False,False,0
10.242,1778980951.50688,0,0.0,100,1.25,4,5,15,0,0,True,False,False,False,0
11.262,1778980952.527066,0,0.0,100,1.18,4,5,15,0,0,True,False,False,False,0
12.288,1778980953.552401,0,0.0,100,1.13,4,5,15,0,0,True,False,False,False,0
13.305,1778980954.569875,0,0.0,100,1.08,4,5,15,0,0,True,False,False,False,0
14.331,1778980955.59558,0,0.0,100,1.06,4,5,15,0,0,True,False,False,False,0
15.349,1778980956.614021,0,0.0,100,1.03,4,5,15,0,0,True,False,False,False,0
16.387,1778980957.651589,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
17.404,1778980958.668903,0,0.0,100,0.99,4,5,15,0,0,True,False,False,False,0
18.421,1778980959.685848,165,55.0,100,6.14,4,6,18,0,165,True,False,False,False,0
19.451,1778980960.715509,596,198.67,100,18.21,4,5,15,0,455,True,True,True,False,141
20.473,1778980961.737393,806,268.67,100,19.5,4,5,15,0,455,True,True,True,False,351
21.494,1778980962.75884,1100,292.33,100,21.01,4,5,15,0,455,True,True,True,False,645
22.512,1778980963.77731,1298,228.33,100,20.07,4,5,15,0,455,True,True,True,False,843
23.541,1778980964.805377,1567,245.67,100,21.19,4,5,15,0,455,True,True,True,False,1112
24.56,1778980965.825197,1682,192.0,100,19.31,4,5,15,0,455,True,True,True,False,1227
25.586,1778980966.850796,1797,160.0,100,17.9,4,5,15,0,455,True,True,True,False,1342
26.607,1778980967.871612,1913,113.0,100,16.76,4,5,15,0,455,True,True,True,False,1458
27.637,1778980968.901552,2029,113.33,100,16.06,4,5,15,0,455,True,True,True,False,1574
28.657,1778980969.921383,2144,112.33,100,15.58,4,5,15,0,455,True,True,True,False,1689
29.674,1778980970.938773,2264,114.0,100,15.22,4,5,15,0,455,True,True,True,False,1809
30.691,1778980971.955509,2456,140.0,100,16.28,4,5,15,0,455,True,True,True,False,2001
31.709,1778980972.973543,2617,155.67,100,16.4,4,5,15,0,455,True,True,True,False,2162
32.727,1778980973.991505,2894,208.0,100,18.98,4,5,15,0,455,True,True,True,False,2439
33.747,1778980975.011602,3126,221.33,100,19.79,4,5,15,0,455,True,True,True,False,2671
34.777,1778980976.042013,3368,244.0,100,20.5,4,5,15,0,455,True,True,True,False,2913
35.798,1778980977.062319,3639,241.0,100,21.54,4,5,15,0,455,True,True,True,False,3184
36.827,1778980978.091487,3782,216.0,100,19.77,4,5,15,0,455,True,True,True,False,3327
37.844,1778980979.108672,4033,215.67,100,20.87,4,5,15,0,455,True,True,True,False,3578
38.871,1778980980.135487,4244,196.0,100,20.74,4,5,15,0,455,True,True,True,False,3789
39.889,1778980981.153596,4376,196.0,100,19.29,4,5,15,0,455,True,True,True,False,3921
40.908,1778980982.172536,4635,195.0,100,20.79,4,5,15,0,455,True,True,True,False,4180
41.929,1778980983.193819,4829,193.0,100,20.38,4,5,15,0,455,True,True,True,False,4374
42.948,1778980984.213134,5012,210.0,100,19.99,4,5,15,0,455,True,True,True,False,4557
43.969,1778980985.233901,5204,184.0,100,19.95,4,5,15,0,455,True,True,True,False,4749
44.987,1778980986.251357,5312,159.0,100,17.69,4,5,15,0,455,True,True,True,False,4857
