t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778980941.267255,NORMAL,False,0,0,0,0,0,0,0,0,0
1.059,1778980942.32342,NORMAL,False,0,0,0,0,0,0,0,0,0
2.077,1778980943.341721,NORMAL,False,0,0,0,0,0,0,0,0,0
3.111,1778980944.375934,NORMAL,False,0,0,0,0,0,0,0,0,0
4.129,1778980945.394194,NORMAL,False,0,0,0,0,0,0,0,0,0
5.155,1778980946.420228,NORMAL,False,0,0,0,0,0,0,0,0,0
6.173,1778980947.438071,NORMAL,False,0,0,0,0,0,0,0,0,0
7.19,1778980948.455108,NORMAL,False,0,0,0,0,0,0,0,0,0
8.208,1778980949.4729,NORMAL,False,0,0,0,0,0,0,0,0,0
9.225,1778980950.489891,NORMAL,False,0,0,0,0,0,0,0,0,0
10.242,1778980951.50688,NORMAL,False,0,0,0,0,0,0,0,0,0
11.262,1778980952.527066,NORMAL,False,0,0,0,0,0,0,0,0,0
12.288,1778980953.552401,NORMAL,False,0,0,0,0,0,0,0,0,0
13.305,1778980954.569875,NORMAL,False,0,0,0,0,0,0,0,0,0
14.331,1778980955.59558,NORMAL,False,0,0,0,0,0,0,0,0,0
15.349,1778980956.614021,NORMAL,False,0,0,0,0,0,0,0,0,0
16.387,1778980957.651589,NORMAL,False,0,0,0,0,0,0,0,0,0
17.404,1778980958.668903,NORMAL,False,0,0,0,0,0,0,0,0,0
18.421,1778980959.685848,NORMAL,False,0,0,0,0,1,175,0,0,0
19.451,1778980960.715509,METERING,False,141,140,1,0,0,0,1,3,0
20.473,1778980961.737393,METERING,False,357,356,1,0,0,0,1,3,0
21.494,1778980962.75884,METERING,False,645,644,1,0,0,0,1,3,0
22.512,1778980963.77731,METERING,False,848,847,1,0,0,0,1,3,0
23.541,1778980964.805377,METERING,False,1113,1112,1,0,0,0,1,3,0
24.56,1778980965.825197,METERING,False,1227,1226,1,0,0,0,1,3,0
25.586,1778980966.850796,METERING,False,1345,1344,1,0,0,0,1,3,0
26.607,1778980967.871612,METERING,False,1461,1460,1,0,0,0,1,3,0
27.637,1778980968.901552,LOCKDOWN,True,1575,1574,1,0,0,0,1,3,3
28.657,1778980969.921383,LOCKDOWN,True,1689,1688,1,0,0,0,1,3,3
29.674,1778980970.938773,LOCKDOWN,True,1809,1808,1,0,0,0,1,3,3
30.691,1778980971.955509,LOCKDOWN,True,2001,2000,1,0,0,0,1,3,3
31.709,1778980972.973543,LOCKDOWN,True,2163,2162,1,0,0,0,1,3,3
32.727,1778980973.991505,LOCKDOWN,True,2441,2440,1,0,0,0,1,3,3
33.747,1778980975.011602,LOCKDOWN,True,2673,2672,1,0,0,0,1,3,3
34.777,1778980976.042013,LOCKDOWN,True,2913,2912,1,0,0,0,1,3,3
35.798,1778980977.062319,LOCKDOWN,True,3186,3185,1,0,0,0,1,3,3
36.827,1778980978.091487,LOCKDOWN,True,3327,3326,1,0,0,0,1,3,3
37.844,1778980979.108672,LOCKDOWN,True,3580,3579,1,0,0,0,1,3,3
38.871,1778980980.135487,LOCKDOWN,True,3789,3788,1,0,0,0,1,3,3
39.889,1778980981.153596,LOCKDOWN,True,3922,3921,1,0,0,0,1,3,3
40.908,1778980982.172536,LOCKDOWN,True,4185,4184,1,0,0,0,1,3,3
41.929,1778980983.193819,LOCKDOWN,True,4374,4373,1,0,0,0,1,3,3
42.948,1778980984.213134,LOCKDOWN,True,4560,4559,1,0,0,0,1,3,3
43.969,1778980985.233901,LOCKDOWN,True,4749,4748,1,0,0,0,1,3,3
44.987,1778980986.251357,LOCKDOWN,True,4859,4858,1,0,0,0,1,3,3
46.02,1778980987.284562,LOCKDOWN,True,4989,4988,1,0,0,0,1,3,3
47.04,1778980988.30494,LOCKDOWN,True,5184,5183,1,0,0,0,1,3,3
48.067,1778980989.331465,LOCKDOWN,True,5391,5390,1,0,0,0,1,3,3
49.086,1778980990.350527,LOCKDOWN,True,5563,5562,1,0,0,0,1,3,3
50.114,1778980991.378998,LOCKDOWN,True,5751,5750,1,0,0,0,1,3,3
51.131,1778980992.39598,LOCKDOWN,True,5865,5864,1,0,0,0,1,3,3
52.149,1778980993.414122,LOCKDOWN,True,6005,6004,1,0,0,0,1,3,3
53.17,1778980994.43453,LOCKDOWN,True,6279,6278,1,0,0,0,1,3,3
54.191,1778980995.455466,LOCKDOWN,True,6549,6548,1,0,0,0,1,3,3
55.21,1778980996.474951,LOCKDOWN,True,6819,6818,1,0,0,0,1,3,3
56.23,1778980997.494612,LOCKDOWN,True,7089,7088,1,0,0,0,1,3,3
57.261,1778980998.52587,LOCKDOWN,True,7239,7238,1,0,0,0,1,3,3
58.279,1778980999.543613,LOCKDOWN,True,7431,7430,1,0,0,0,1,3,3
59.305,1778981000.570034,LOCKDOWN,True,7617,7616,1,0,0,0,1,3,3
60.325,1778981001.589436,LOCKDOWN,True,7728,7727,1,0,0,0,1,3,3
61.357,1778981002.621325,LOCKDOWN,True,7977,7976,1,0,0,0,1,3,3
62.379,1778981003.643488,LOCKDOWN,True,8169,8168,1,0,0,0,1,3,3
63.4,1778981004.664796,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
64.417,1778981005.682133,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
65.435,1778981006.699443,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
66.453,1778981007.717601,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
67.472,1778981008.737167,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
68.499,1778981009.763468,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
69.518,1778981010.782495,LOCKDOWN,True,8349,8348,1,0,0,0,1,3,3
70.543,1778981011.807725,METERING,False,8349,8348,1,0,0,0,1,2,2
71.563,1778981012.827897,METERING,False,8349,8348,1,0,0,0,1,2,2
72.589,1778981013.853812,METERING,False,8349,8348,1,0,0,0,1,2,2
73.608,1778981014.872717,METERING,False,8349,8348,1,0,0,0,1,2,2
74.625,1778981015.890002,METERING,False,8349,8348,1,0,0,0,1,2,2
75.643,1778981016.907901,METERING,False,8349,8348,1,0,0,0,1,2,2
76.66,1778981017.925051,NORMAL,False,8349,8348,1,0,0,0,1,2,2
77.68,1778981018.944975,NORMAL,False,8349,8348,1,0,0,0,1,2,2
78.734,1778981019.999124,NORMAL,False,8349,8348,1,0,0,0,1,2,2
79.76,1778981021.024465,NORMAL,False,8349,8348,1,0,0,0,1,2,2
80.801,1778981022.065876,NORMAL,False,8349,8348,1,0,0,0,1,2,2
81.819,1778981023.083481,NORMAL,False,8349,8348,1,0,0,0,1,2,2
