t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.002,1778935376.44284,NORMAL,,False,False,False,0.0,100,,
1.083,1778935377.523721,NORMAL,,False,False,False,0.0,100,,
2.108,1778935378.548073,NORMAL,,False,False,False,0.0,100,,
3.126,1778935379.566429,NORMAL,,False,False,False,0.0,100,,
4.143,1778935380.583533,NORMAL,,False,False,False,0.0,100,,
5.173,1778935381.61307,NORMAL,,False,False,False,0.0,100,,
6.239,1778935382.679261,NORMAL,,False,False,False,0.0,100,,
7.26,1778935383.700422,NORMAL,,False,False,False,0.0,100,,
8.278,1778935384.718675,NORMAL,,False,False,False,0.0,100,,
9.296,1778935385.736692,NORMAL,,False,False,False,0.0,100,,
10.327,1778935386.766954,NORMAL,,False,False,False,0.0,100,,
11.369,1778935387.809144,NORMAL,,False,False,False,0.0,100,,
12.387,1778935388.826876,NORMAL,,False,False,False,0.0,100,,
13.404,1778935389.844205,NORMAL,,False,False,False,0.0,100,,
14.422,1778935390.862017,NORMAL,,False,False,False,0.0,100,,
15.446,1778935391.885948,NORMAL,,False,False,False,0.0,100,,
16.543,1778935392.983736,NORMAL,,False,False,False,0.0,100,,
17.566,1778935394.006621,NORMAL,,False,False,False,0.0,100,,
18.59,1778935395.030626,NORMAL,,False,False,False,0.0,100,,
19.608,1778935396.048381,NORMAL,,False,False,False,0.0,100,,
20.645,1778935397.085233,METERING,,True,False,False,192.0,100,1778935397.05256,1778935397.05256
21.754,1778935398.194824,METERING,,True,False,False,295.67,100,1778935397.05256,1778935397.05256
22.774,1778935399.214656,METERING,,True,False,False,380.0,100,1778935397.05256,1778935397.05256
23.794,1778935400.234031,METERING,,True,False,False,294.67,100,1778935397.05256,1778935397.05256
24.811,1778935401.25146,METERING,,True,False,False,356.33,100,1778935397.05256,1778935397.05256
25.833,1778935402.273612,METERING,,True,False,False,342.67,100,1778935397.05256,1778935397.05256
26.915,1778935403.354909,METERING,,True,False,False,344.0,100,1778935397.05256,1778935397.05256
27.933,1778935404.373659,METERING,,True,False,False,281.0,100,1778935397.05256,1778935397.05256
28.955,1778935405.395297,LOCKDOWN,,True,False,False,283.67,100,1778935397.05256,1778935397.05256
29.975,1778935406.414985,LOCKDOWN,,True,False,False,280.67,100,1778935397.05256,1778935397.05256
31.003,1778935407.442855,LOCKDOWN,,True,False,False,286.0,100,1778935397.05256,1778935397.05256
32.057,1778935408.497474,LOCKDOWN,,True,False,False,290.0,100,1778935397.05256,1778935397.05256
33.083,1778935409.52349,LOCKDOWN,,True,False,False,295.33,100,1778935397.05256,1778935397.05256
34.106,1778935410.546365,LOCKDOWN,,True,False,False,289.67,100,1778935397.05256,1778935397.05256
35.131,1778935411.571481,LOCKDOWN,,True,False,False,284.67,100,1778935397.05256,1778935397.05256
36.153,1778935412.59371,LOCKDOWN,,True,False,False,284.33,100,1778935397.05256,1778935397.05256
37.21,1778935413.65071,LOCKDOWN,,True,False,False,289.67,100,1778935397.05256,1778935397.05256
38.23,1778935414.670784,LOCKDOWN,,True,False,False,298.33,100,1778935397.05256,1778935397.05256
39.251,1778935415.691449,LOCKDOWN,,True,False,False,334.67,100,1778935397.05256,1778935397.05256
40.273,1778935416.712945,LOCKDOWN,,True,False,False,416.67,100,1778935397.05256,1778935397.05256
41.347,1778935417.787562,LOCKDOWN,,True,False,False,413.67,100,1778935397.05256,1778935397.05256
42.379,1778935418.819177,LOCKDOWN,,True,False,False,351.33,100,1778935397.05256,1778935397.05256
43.402,1778935419.842601,LOCKDOWN,,True,False,False,346.33,100,1778935397.05256,1778935397.05256
44.431,1778935420.871013,LOCKDOWN,,True,False,False,345.67,100,1778935397.05256,1778935397.05256
45.448,1778935421.888605,LOCKDOWN,,True,False,False,342.67,100,1778935397.05256,1778935397.05256
46.467,1778935422.907105,LOCKDOWN,,True,False,False,270.33,100,1778935397.05256,1778935397.05256
47.495,1778935423.935463,LOCKDOWN,,True,False,False,261.33,100,1778935397.05256,1778935397.05256
48.519,1778935424.959034,LOCKDOWN,,True,False,False,254.33,100,1778935397.05256,1778935397.05256
49.535,1778935425.975494,LOCKDOWN,,True,False,False,252.67,100,1778935397.05256,1778935397.05256
50.553,1778935426.993824,LOCKDOWN,,True,False,False,249.67,100,1778935397.05256,1778935397.05256
51.571,1778935428.010878,LOCKDOWN,,True,False,False,255.33,100,1778935397.05256,1778935397.05256
52.609,1778935429.04932,LOCKDOWN,,True,False,False,262.0,100,1778935397.05256,1778935397.05256
53.632,1778935430.072798,LOCKDOWN,,True,False,False,264.67,100,1778935397.05256,1778935397.05256
54.655,1778935431.095021,LOCKDOWN,,True,False,False,263.33,100,1778935397.05256,1778935397.05256
55.677,1778935432.117687,LOCKDOWN,,True,False,False,259.0,100,1778935397.05256,1778935397.05256
56.707,1778935433.147199,LOCKDOWN,,True,False,False,259.33,100,1778935397.05256,1778935397.05256
57.734,1778935434.174402,LOCKDOWN,,True,False,False,258.0,100,1778935397.05256,1778935397.05256
58.754,1778935435.193876,LOCKDOWN,,True,False,False,262.33,100,1778935397.05256,1778935397.05256
59.772,1778935436.21281,LOCKDOWN,,True,False,False,258.67,100,1778935397.05256,1778935397.05256
60.791,1778935437.231222,LOCKDOWN,,True,False,False,254.33,100,1778935397.05256,1778935397.05256
61.817,1778935438.257434,LOCKDOWN,,True,False,False,255.67,100,1778935397.05256,1778935397.05256
62.867,1778935439.307425,LOCKDOWN,,True,False,False,259.33,100,1778935397.05256,1778935397.05256
63.888,1778935440.32867,LOCKDOWN,,True,False,False,237.0,100,1778935397.05256,1778935397.05256
64.907,1778935441.347157,LOCKDOWN,,True,False,False,182.33,100,1778935397.05256,1778935397.05256
65.926,1778935442.366562,LOCKDOWN,,True,False,False,91.33,100,1778935397.05256,1778935397.05256
66.946,1778935443.386436,LOCKDOWN,,True,False,False,32.0,100,1778935397.05256,1778935397.05256
67.971,1778935444.411663,LOCKDOWN,,True,False,False,0.0,100,1778935397.05256,1778935397.05256
68.988,1778935445.428768,LOCKDOWN,,True,False,False,0.0,100,1778935397.05256,1778935397.05256
