t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778935376.44284,NORMAL,False,0,0,0,0,0,0,0,0,0
1.083,1778935377.523721,NORMAL,False,0,0,0,0,0,0,0,0,0
2.108,1778935378.548073,NORMAL,False,0,0,0,0,0,0,0,0,0
3.126,1778935379.566429,NORMAL,False,0,0,0,0,0,0,0,0,0
4.143,1778935380.583533,NORMAL,False,0,0,0,0,0,0,0,0,0
5.173,1778935381.61307,NORMAL,False,0,0,0,0,0,0,0,0,0
6.239,1778935382.679261,NORMAL,False,0,0,0,0,0,0,0,0,0
7.26,1778935383.700422,NORMAL,False,0,0,0,0,0,0,0,0,0
8.278,1778935384.718675,NORMAL,False,0,0,0,0,0,0,0,0,0
9.296,1778935385.736692,NORMAL,False,0,0,0,0,0,0,0,0,0
10.327,1778935386.766954,NORMAL,False,0,0,0,0,0,0,0,0,0
11.369,1778935387.809144,NORMAL,False,0,0,0,0,0,0,0,0,0
12.387,1778935388.826876,NORMAL,False,0,0,0,0,0,0,0,0,0
13.404,1778935389.844205,NORMAL,False,0,0,0,0,0,0,0,0,0
14.422,1778935390.862017,NORMAL,False,0,0,0,0,0,0,0,0,0
15.446,1778935391.885948,NORMAL,False,0,0,0,0,0,0,0,0,0
16.543,1778935392.983736,NORMAL,False,0,0,0,0,0,0,0,0,0
17.566,1778935394.006621,NORMAL,False,0,0,0,0,0,0,0,0,0
18.59,1778935395.030626,NORMAL,False,0,0,0,0,0,0,0,0,0
19.608,1778935396.048381,NORMAL,False,0,0,0,0,0,0,0,0,0
20.645,1778935397.085233,METERING,False,0,0,0,0,0,0,0,0,0
21.754,1778935398.194824,METERING,False,0,0,0,0,0,0,0,0,0
22.774,1778935399.214656,METERING,False,0,0,0,0,0,0,0,0,0
23.794,1778935400.234031,METERING,False,0,0,0,0,0,0,0,0,0
24.811,1778935401.25146,METERING,False,0,0,0,0,0,0,0,0,0
25.833,1778935402.273612,METERING,False,0,0,0,0,0,0,0,0,0
26.915,1778935403.354909,METERING,False,0,0,0,0,0,0,0,0,0
27.933,1778935404.373659,METERING,False,0,0,0,0,0,0,0,0,0
28.955,1778935405.395297,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
29.975,1778935406.414985,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
31.003,1778935407.442855,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
32.057,1778935408.497474,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
33.083,1778935409.52349,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
34.106,1778935410.546365,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
35.131,1778935411.571481,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
36.153,1778935412.59371,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
37.21,1778935413.65071,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
38.23,1778935414.670784,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
39.251,1778935415.691449,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
40.273,1778935416.712945,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
41.347,1778935417.787562,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
42.379,1778935418.819177,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
43.402,1778935419.842601,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
44.431,1778935420.871013,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
45.448,1778935421.888605,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
46.467,1778935422.907105,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
47.495,1778935423.935463,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
48.519,1778935424.959034,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
49.535,1778935425.975494,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
50.553,1778935426.993824,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
51.571,1778935428.010878,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
52.609,1778935429.04932,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
53.632,1778935430.072798,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
54.655,1778935431.095021,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
55.677,1778935432.117687,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
56.707,1778935433.147199,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
57.734,1778935434.174402,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
58.754,1778935435.193876,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
59.772,1778935436.21281,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
60.791,1778935437.231222,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
61.817,1778935438.257434,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
62.867,1778935439.307425,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
63.888,1778935440.32867,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
64.907,1778935441.347157,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
65.926,1778935442.366562,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
66.946,1778935443.386436,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
67.971,1778935444.411663,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
68.988,1778935445.428768,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
70.006,1778935446.445885,LOCKDOWN,True,0,0,0,0,0,0,0,0,0
71.023,1778935447.46294,METERING,False,0,0,0,0,0,0,0,0,0
72.042,1778935448.482072,METERING,False,0,0,0,0,0,0,0,0,0
73.067,1778935449.507817,METERING,False,0,0,0,0,0,0,0,0,0
74.088,1778935450.528602,METERING,False,0,0,0,0,0,0,0,0,0
