PING 10.10.10.3 (10.10.10.3) 256(284) bytes of data.
264 bytes from 10.10.10.3: icmp_seq=1 ttl=64 time=12.1 ms
264 bytes from 10.10.10.3: icmp_seq=2 ttl=64 time=14.3 ms
264 bytes from 10.10.10.3: icmp_seq=3 ttl=64 time=12.6 ms
264 bytes from 10.10.10.3: icmp_seq=4 ttl=64 time=9.97 ms
264 bytes from 10.10.10.3: icmp_seq=5 ttl=64 time=13.0 ms
264 bytes from 10.10.10.3: icmp_seq=6 ttl=64 time=14.9 ms
264 bytes from 10.10.10.3: icmp_seq=7 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=8 ttl=64 time=13.7 ms
264 bytes from 10.10.10.3: icmp_seq=9 ttl=64 time=14.8 ms
264 bytes from 10.10.10.3: icmp_seq=10 ttl=64 time=16.8 ms
264 bytes from 10.10.10.3: icmp_seq=11 ttl=64 time=17.8 ms
264 bytes from 10.10.10.3: icmp_seq=12 ttl=64 time=18.3 ms
264 bytes from 10.10.10.3: icmp_seq=13 ttl=64 time=17.8 ms
264 bytes from 10.10.10.3: icmp_seq=14 ttl=64 time=20.2 ms
264 bytes from 10.10.10.3: icmp_seq=15 ttl=64 time=20.6 ms
264 bytes from 10.10.10.3: icmp_seq=16 ttl=64 time=21.8 ms
264 bytes from 10.10.10.3: icmp_seq=17 ttl=64 time=8.29 ms
264 bytes from 10.10.10.3: icmp_seq=18 ttl=64 time=9.16 ms
264 bytes from 10.10.10.3: icmp_seq=19 ttl=64 time=10.4 ms
264 bytes from 10.10.10.3: icmp_seq=20 ttl=64 time=11.0 ms
264 bytes from 10.10.10.3: icmp_seq=21 ttl=64 time=7.96 ms
264 bytes from 10.10.10.3: icmp_seq=22 ttl=64 time=8.35 ms
264 bytes from 10.10.10.3: icmp_seq=23 ttl=64 time=8.12 ms
264 bytes from 10.10.10.3: icmp_seq=24 ttl=64 time=9.59 ms
264 bytes from 10.10.10.3: icmp_seq=25 ttl=64 time=9.61 ms
264 bytes from 10.10.10.3: icmp_seq=26 ttl=64 time=11.9 ms
264 bytes from 10.10.10.3: icmp_seq=27 ttl=64 time=11.8 ms
264 bytes from 10.10.10.3: icmp_seq=28 ttl=64 time=12.4 ms
264 bytes from 10.10.10.3: icmp_seq=29 ttl=64 time=8.21 ms
264 bytes from 10.10.10.3: icmp_seq=30 ttl=64 time=11.6 ms
264 bytes from 10.10.10.3: icmp_seq=31 ttl=64 time=12.6 ms
264 bytes from 10.10.10.3: icmp_seq=32 ttl=64 time=13.6 ms
264 bytes from 10.10.10.3: icmp_seq=33 ttl=64 time=15.2 ms
264 bytes from 10.10.10.3: icmp_seq=34 ttl=64 time=14.9 ms
264 bytes from 10.10.10.3: icmp_seq=35 ttl=64 time=16.4 ms
264 bytes from 10.10.10.3: icmp_seq=36 ttl=64 time=17.2 ms
264 bytes from 10.10.10.3: icmp_seq=37 ttl=64 time=17.8 ms
264 bytes from 10.10.10.3: icmp_seq=38 ttl=64 time=19.6 ms
264 bytes from 10.10.10.3: icmp_seq=39 ttl=64 time=21.5 ms
264 bytes from 10.10.10.3: icmp_seq=40 ttl=64 time=24.0 ms
264 bytes from 10.10.10.3: icmp_seq=41 ttl=64 time=8.91 ms
264 bytes from 10.10.10.3: icmp_seq=42 ttl=64 time=8.32 ms
264 bytes from 10.10.10.3: icmp_seq=43 ttl=64 time=8.93 ms
264 bytes from 10.10.10.3: icmp_seq=44 ttl=64 time=9.34 ms
264 bytes from 10.10.10.3: icmp_seq=45 ttl=64 time=9.94 ms
264 bytes from 10.10.10.3: icmp_seq=46 ttl=64 time=8.35 ms
264 bytes from 10.10.10.3: icmp_seq=47 ttl=64 time=9.31 ms
264 bytes from 10.10.10.3: icmp_seq=48 ttl=64 time=10.3 ms
