t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.002,1778980745.619267,eth0,2472.5706,5357.2364,7829.807,1099416,1070743,1.0286,6.521,7.5496,605274268,118851784,0,0,0,0
1.059,1778980746.675675,eth0,37.8642,40.704,78.5681,1099456,1070786,0.0466,0.0615,0.1081,605280428,118859900,0,0,0,0
2.078,1778980747.694581,eth0,18.6474,24.5361,43.1836,1099475,1070811,0.0273,0.0246,0.052,605283908,118863038,0,0,0,0
3.118,1778980748.734569,eth0,8.6539,14.4232,23.0772,1099484,1070826,0.006,0.016,0.022,605284692,118865116,0,0,0,0
4.135,1778980749.751731,eth0,29.4938,38.342,67.8358,1099514,1070865,0.0204,0.0433,0.0637,605287282,118870623,0,0,0,0
5.174,1778980750.791141,eth0,14.4313,15.3934,29.8246,1099529,1070881,0.0088,0.0153,0.0241,605288420,118872616,0,0,0,0
6.192,1778980751.809195,eth0,13.7517,17.6808,31.4325,1099543,1070899,0.008,0.018,0.026,605289440,118874908,0,0,0,0
7.211,1778980752.827559,eth0,32.4049,35.3508,67.7557,1099576,1070935,0.0246,0.0367,0.0613,605292570,118879580,0,0,0,0
8.228,1778980753.845274,eth0,32.4256,37.3385,69.7641,1099609,1070973,0.027,0.0536,0.0806,605296008,118886398,0,0,0,0
9.245,1778980754.862229,eth0,32.4498,37.3665,69.8163,1099642,1071011,0.0288,0.0517,0.0806,605299675,118892976,0,0,0,0
10.262,1778980755.879178,eth0,10.8167,15.7333,26.55,1099653,1071027,0.0068,0.0169,0.0237,605300539,118895128,0,0,0,0
11.28,1778980756.89688,eth0,27.513,35.3738,62.8868,1099681,1071063,0.0247,0.0448,0.0695,605303685,118900828,0,0,0,0
12.306,1778980757.923247,eth0,7.7945,12.666,20.4605,1099689,1071076,0.0059,0.0135,0.0194,605304437,118902566,0,0,0,0
13.324,1778980758.94102,eth0,9.8254,17.6857,27.5111,1099699,1071094,0.0059,0.0198,0.0257,605305189,118905082,0,0,0,0
14.351,1778980759.967489,eth0,28.2522,33.1233,61.3755,1099728,1071128,0.0204,0.0398,0.0602,605307804,118910192,0,0,0,0
15.367,1778980760.983587,eth0,12.794,21.6514,34.4455,1099741,1071150,0.0076,0.025,0.0326,605308772,118913364,0,0,0,0
16.4,1778980762.016706,eth0,30.9742,33.878,64.8521,1099773,1071185,0.0379,0.0445,0.0824,605313664,118919109,0,0,0,0
17.418,1778980763.034739,eth0,9.8229,15.7166,25.5394,1099783,1071201,0.0064,0.0168,0.0231,605314476,118921241,0,0,0,0
18.435,1778980764.051465,eth0,390.4693,413.0909,803.5602,1100180,1071621,0.7358,0.3455,1.0814,605407994,118965153,0,0,0,0
19.493,1778980765.109886,eth0,588.6125,653.8039,1242.4163,1100803,1072313,0.9756,0.5401,1.5156,605537064,119036605,0,0,0,0
20.511,1778980766.127516,eth0,542.4369,510.0086,1052.4455,1101355,1072832,0.8333,0.4193,1.2526,605643062,119089947,0,0,0,0
21.528,1778980767.14489,eth0,571.0781,560.2659,1131.344,1101936,1073402,0.8774,0.4516,1.329,605754648,119147375,0,0,0,0
22.562,1778980768.178792,eth0,477.8017,500.0475,977.8493,1102430,1073919,0.804,0.4126,1.2166,605858551,119200704,0,0,0,0
23.606,1778980769.222345,eth0,422.5946,503.0888,925.6834,1102871,1074444,0.805,0.4171,1.2222,605963560,119255118,0,0,0,0
24.661,1778980770.277945,eth0,337.2488,513.4519,850.7007,1103227,1074986,0.7538,0.4477,1.2016,606063028,119314196,0,0,0,0
25.686,1778980771.302635,eth0,332.7838,456.7237,789.5075,1103568,1075454,0.7393,0.3908,1.1301,606157726,119364252,0,0,0,0
26.703,1778980772.319906,eth0,360.7691,423.6825,784.4515,1103935,1075885,0.6543,0.3513,1.0056,606240932,119408922,0,0,0,0
27.727,1778980773.344034,eth0,456.974,504.8196,961.7937,1104403,1076402,0.766,0.4117,1.1777,606338992,119461628,0,0,0,0
28.744,1778980774.36116,eth0,621.3586,792.4288,1413.7874,1105035,1077208,1.1814,0.6431,1.8245,606489190,119543392,0,0,0,0
29.773,1778980775.390239,eth0,440.1995,455.7473,895.9468,1105488,1077677,0.6884,0.3673,1.0557,606577746,119590634,0,0,0,0
30.797,1778980776.413599,eth0,434.8424,480.7696,915.6119,1105933,1078169,0.6696,0.379,1.0486,606663402,119639114,0,0,0,0
31.814,1778980777.430591,eth0,415.9323,447.3977,863.33,1106356,1078624,0.6567,0.3581,1.0147,606746882,119684632,0,0,0,0
32.831,1778980778.447505,eth0,518.2343,569.3693,1087.6036,1106883,1079203,0.9258,0.466,1.3917,606864560,119743864,0,0,0,0
33.904,1778980779.521172,eth0,504.8122,611.9218,1116.734,1107425,1079860,0.8986,0.5041,1.4026,606985153,119811518,0,0,0,0
34.93,1778980780.546575,eth0,447.629,471.0344,918.6634,1107884,1080343,0.6723,0.3863,1.0586,607071322,119861030,0,0,0,0
35.947,1778980781.563616,eth0,437.5438,463.1082,900.652,1108329,1080814,0.682,0.3694,1.0514,607158022,119907996,0,0,0,0
36.981,1778980782.598301,eth0,441.6803,470.6746,912.3548,1108786,1081301,0.6884,0.3751,1.0635,607247062,119956506,0,0,0,0
38.011,1778980783.627592,eth0,527.5475,593.6124,1121.1599,1109329,1081912,0.8511,0.4669,1.318,607356562,120016576,0,0,0,0
39.066,1778980784.683284,eth0,424.3662,466.045,890.4113,1109777,1082404,0.6696,0.3771,1.0467,607444924,120066336,0,0,0,0
40.092,1778980785.709276,eth0,427.8786,461.0173,888.8959,1110216,1082877,0.6655,0.3656,1.031,607530268,120113218,0,0,0,0
41.117,1778980786.733968,eth0,421.5902,485.0239,906.614,1110648,1083374,0.718,0.415,1.133,607622238,120166370,0,0,0,0
42.14,1778980787.757013,eth0,483.8497,520.9937,1004.8433,1111143,1083907,0.7605,0.4144,1.1749,607719494,120219364,0,0,0,0
43.174,1778980788.790396,eth0,452.8815,506.1048,958.9863,1111611,1084430,0.7119,0.4017,1.1136,607811458,120271250,0,0,0,0
44.192,1778980789.808686,eth0,446.8275,448.7916,895.6191,1112066,1084887,0.6663,0.3581,1.0244,607896270,120316828,0,0,0,0
45.211,1778980790.828023,eth0,416.9376,468.9322,885.8698,1112491,1085365,0.6617,0.3869,1.0486,607980578,120366130,0,0,0,0
46.235,1778980791.851467,eth0,408.425,426.0127,834.4377,1112909,1085801,0.6216,0.3361,0.9576,608060096,120409122,0,0,0,0
47.268,1778980792.885015,eth0,363.7951,408.3019,772.097,1113285,1086223,0.5663,0.3246,0.8909,608133260,120451055,0,0,0,0
48.302,1778980793.919051,eth0,374.2617,423.583,797.8446,1113672,1086661,0.6201,0.3443,0.9644,608213414,120495555,0,0,0,0
49.325,1778980794.941784,eth0,381.3312,437.0642,818.3954,1114062,1087108,0.6433,0.3525,0.9958,608295660,120540617,0,0,0,0
50.351,1778980795.968164,eth0,398.4879,423.8196,822.3075,1114471,1087543,0.6447,0.3442,0.9888,608378368,120584775,0,0,0,0
51.369,1778980796.985528,eth0,374.4975,429.5417,804.0392,1114852,1087980,0.6427,0.3502,0.9928,608460096,120629305,0,0,0,0
52.391,1778980798.007456,eth0,397.2883,450.1296,847.418,1115258,1088440,0.6596,0.3682,1.0278,608544350,120676344,0,0,0,0
53.42,1778980799.036994,eth0,379.7818,419.6054,799.3872,1115649,1088872,0.6288,0.3413,0.9701,608625272,120720264,0,0,0,0
54.439,1778980800.055614,eth0,413.3046,472.2078,885.5124,1116070,1089353,0.6705,0.3897,1.0602,608710644,120769884,0,0,0,0
55.456,1778980801.073003,eth0,425.599,485.5564,911.1554,1116503,1089847,0.6965,0.3854,1.0819,608799226,120818896,0,0,0,0
56.486,1778980802.103021,eth0,416.4975,466.0112,882.5088,1116932,1090327,0.7196,0.3788,1.0984,608891874,120867668,0,0,0,0
57.565,1778980803.182184,eth0,387.3371,449.4222,836.7594,1117350,1090812,0.6349,0.3636,0.9985,608977518,120916722,0,0,0,0
58.595,1778980804.211615,eth0,376.9076,439.0779,815.9854,1117738,1091264,0.6407,0.3538,0.9945,609059962,120962250,0,0,0,0
59.629,1778980805.246162,eth0,395.3418,434.9726,830.3145,1118147,1091714,0.642,0.3522,0.9942,609142982,121007798,0,0,0,0
60.691,1778980806.307507,eth0,380.6493,437.1814,817.8307,1118551,1092178,0.6224,0.3475,0.9699,609225554,121053902,0,0,0,0
61.709,1778980807.326332,eth0,411.2579,465.2416,876.4994,1118970,1092652,0.6631,0.3695,1.0325,609309996,121100954,0,0,0,0
62.73,1778980808.34693,eth0,379.1897,425.2412,804.431,1119357,1093086,0.6243,0.3449,0.9693,609389647,121144957,0,0,0,0
63.771,1778980809.388306,eth0,206.4575,236.2258,442.6833,1119572,1093332,0.3576,0.208,0.5656,609436192,121172033,0,0,0,0
64.789,1778980810.406005,eth0,48.1478,53.0609,101.2087,1119621,1093386,0.0396,0.0517,0.0913,609441230,121178611,0,0,0,0
65.807,1778980811.423522,eth0,12.7762,18.6729,31.4491,1119634,1093405,0.0097,0.0183,0.028,609442462,121180941,0,0,0,0
66.825,1778980812.442206,eth0,12.7616,18.6515,31.4131,1119647,1093424,0.0097,0.0186,0.0283,609443694,121183315,0,0,0,0
67.853,1778980813.470266,eth0,15.5633,19.4541,35.0174,1119663,1093444,0.011,0.0189,0.0299,609445110,121185739,0,0,0,0
68.871,1778980814.487554,eth0,13.7621,19.6601,33.4222,1119677,1093464,0.0103,0.0193,0.0295,609446414,121188187,0,0,0,0
69.897,1778980815.513737,eth0,12.6683,18.5152,31.1835,1119690,1093483,0.0105,0.0183,0.0287,609447758,121190529,0,0,0,0
70.917,1778980816.533678,eth0,14.7067,23.5308,38.2375,1119705,1093507,0.0104,0.0234,0.0338,609449082,121193513,0,0,0,0
71.945,1778980817.561957,eth0,13.615,19.45,33.0649,1119719,1093527,0.0102,0.0188,0.029,609450394,121195925,0,0,0,0
72.962,1778980818.579311,eth0,16.71,21.6247,38.3347,1119736,1093549,0.0115,0.0212,0.0328,609451862,121198625,0,0,0,0
73.98,1778980819.597106,eth0,13.7552,18.6678,32.423,1119750,1093568,0.0102,0.0185,0.0287,609453166,121200975,0,0,0,0
74.998,1778980820.614419,eth0,33.4214,40.3022,73.7236,1119784,1093609,0.0244,0.0466,0.071,609456273,121206899,0,0,0,0
76.016,1778980821.632954,eth0,11.7816,17.6724,29.4541,1119796,1093627,0.0094,0.0179,0.0272,609457465,121209175,0,0,0,0
77.033,1778980822.649902,eth0,15.7334,24.5834,40.3167,1119812,1093652,0.0111,0.025,0.036,609458873,121212349,0,0,0,0
78.052,1778980823.668981,eth0,30.4196,39.2511,69.6708,1119843,1093692,0.0274,0.047,0.0744,609462367,121218337,0,0,0,0
79.079,1778980824.695435,eth0,11.6907,16.5619,28.2526,1119855,1093709,0.0093,0.0156,0.0249,609463559,121220339,0,0,0,0
80.098,1778980825.714618,eth0,11.7741,21.5859,33.36,1119867,1093731,0.0094,0.0213,0.0307,609464751,121223055,0,0,0,0
81.123,1778980826.740182,eth0,12.676,17.5513,30.2273,1119880,1093749,0.0096,0.0165,0.0261,609465983,121225175,0,0,0,0
82.141,1778980827.758121,eth0,12.7709,20.6299,33.4008,1119893,1093770,0.0106,0.0197,0.0303,609467327,121227681,0,0,0,0
83.167,1778980828.784147,eth0,17.5434,20.4673,38.0108,1119911,1093791,0.0119,0.0195,0.0314,609468855,121230179,0,0,0,0
84.185,1778980829.801552,eth0,12.7776,19.6578,32.4355,1119924,1093811,0.0099,0.0191,0.029,609470115,121232603,0,0,0,0
85.202,1778980830.819026,eth0,34.3989,40.2959,74.6948,1119959,1093852,0.0249,0.0456,0.0706,609473288,121238407,0,0,0,0
86.219,1778980831.836245,eth0,15.7292,18.6784,34.4075,1119975,1093871,0.0189,0.0187,0.0376,609475686,121240790,0,0,0,0
87.238,1778980832.854382,eth0,12.7684,18.6615,31.4299,1119988,1093890,0.0103,0.0184,0.0287,609476994,121243132,0,0,0,0
88.255,1778980833.871505,eth0,17.697,20.6465,38.3434,1120006,1093911,0.012,0.0196,0.0317,609478522,121245630,0,0,0,0
89.272,1778980834.88884,eth0,12.7785,21.6251,34.4036,1120019,1093933,0.0094,0.0219,0.0312,609479714,121248410,0,0,0,0
