t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.002,1778980745.619267,0,0.0,100,0.93,4,5,15,0,0,False,False,False,False,0
1.059,1778980746.675675,0,0.0,100,0.97,4,5,15,0,0,False,False,False,False,0
2.078,1778980747.694581,0,0.0,100,0.95,4,5,15,0,0,False,False,False,False,0
3.118,1778980748.734569,0,0.0,100,0.96,4,5,15,0,0,False,False,False,False,0
4.135,1778980749.751731,0,0.0,100,1.2,4,5,15,0,0,False,False,False,False,0
5.174,1778980750.791141,0,0.0,100,1.14,4,5,15,0,0,False,False,False,False,0
6.192,1778980751.809195,0,0.0,100,1.12,4,5,15,0,0,False,False,False,False,0
7.211,1778980752.827559,0,0.0,100,1.31,4,5,15,0,0,False,False,False,False,0
8.228,1778980753.845274,0,0.0,100,1.63,4,5,15,0,0,False,False,False,False,0
9.245,1778980754.862229,0,0.0,100,1.82,4,5,15,0,0,False,False,False,False,0
10.262,1778980755.879178,0,0.0,100,1.56,4,5,15,0,0,False,False,False,False,0
11.28,1778980756.89688,0,0.0,100,1.42,4,5,15,0,0,False,False,False,False,0
12.306,1778980757.923247,0,0.0,100,1.27,4,5,15,0,0,False,False,False,False,0
13.324,1778980758.94102,0,0.0,100,1.16,4,5,15,0,0,False,False,False,False,0
14.351,1778980759.967489,0,0.0,100,1.39,4,5,15,0,0,False,False,False,False,0
15.367,1778980760.983587,0,0.0,100,1.26,4,5,15,0,0,False,False,False,False,0
16.4,1778980762.016706,0,0.0,100,1.2,4,5,15,0,0,False,False,False,False,0
17.418,1778980763.034739,0,0.0,100,1.12,4,5,15,0,0,False,False,False,False,0
18.435,1778980764.051465,368,122.67,100,10.64,4,6,18,0,368,False,False,False,False,0
19.493,1778980765.109886,990,330.0,100,26.93,4,6,18,0,990,False,False,True,False,0
20.511,1778980766.127516,1440,480.0,100,35.95,4,6,18,0,1440,False,False,True,False,0
21.528,1778980767.14489,1902,484.67,100,41.64,4,6,18,0,1902,False,False,True,False,0
22.562,1778980768.178792,2351,440.33,100,43.2,4,6,18,0,2351,False,False,True,False,0
23.606,1778980769.222345,2799,429.67,100,43.37,4,6,18,0,2799,False,False,True,False,0
24.661,1778980770.277945,3324,448.0,100,43.84,4,6,18,0,3324,False,False,True,False,0
25.686,1778980771.302635,3774,448.0,100,42.61,4,6,18,0,3774,False,False,True,False,0
26.703,1778980772.319906,4149,425.0,100,41.8,4,6,18,0,4149,False,False,True,False,0
27.727,1778980773.344034,4581,415.67,100,43.31,4,6,18,0,4581,False,False,True,False,0
28.744,1778980774.36116,5258,494.67,100,49.83,4,6,18,0,5258,False,False,True,False,0
29.773,1778980775.390239,5644,479.67,100,49.25,4,6,18,0,5644,False,False,True,False,0
30.797,1778980776.413599,6016,468.67,100,48.05,4,6,18,0,6016,False,False,True,False,0
31.814,1778980777.430591,6376,361.0,100,46.99,4,6,18,0,6376,False,False,True,False,0
32.831,1778980778.447505,6841,395.0,100,48.09,4,6,18,0,6841,False,False,True,False,0
33.904,1778980779.521172,7441,469.0,100,50.09,4,6,18,0,7441,False,False,True,False,0
34.93,1778980780.546575,7801,467.67,100,48.28,4,6,18,0,7801,False,False,True,False,0
35.947,1778980781.563616,8164,406.0,100,46.67,4,6,18,0,8164,False,False,True,False,0
36.981,1778980782.598301,8540,360.67,100,45.9,4,6,18,0,8540,False,False,True,False,0
38.011,1778980783.627592,8994,383.0,100,46.75,4,6,18,0,8994,False,False,True,False,0
39.066,1778980784.683284,9399,386.67,100,46.88,4,6,18,0,9399,False,False,True,False,0
40.092,1778980785.709276,9765,386.0,100,45.49,4,6,18,0,9765,False,False,True,False,0
41.117,1778980786.733968,10141,360.67,100,43.43,4,6,18,0,10141,False,False,True,False,0
