t,mbps
0,102.0
1,95.4
2,97.5
3,93.3
4,97.5
5,94.4
6,96.5
7,95.4
8,96.5
9,94.4
10,96.5
11,96.5
12,94.4
13,96.5
14,97.5
15,93.3
16,96.5
17,97.5
18,95.4
19,96.5
20,101.0
21,93.3
22,94.4
23,93.3
24,98.6
25,91.2
26,101.0
27,93.3
28,93.3
29,98.6
30,92.3
31,99.6
32,94.4
33,92.3
34,94.4
35,99.6
36,92.3
37,97.5
38,96.5
39,95.4
40,69.2
41,50.3
42,48.2
43,62.9
44,61.9
45,70.3
46,74.4
47,75.5
48,80.7
49,75.5
50,72.4
51,79.7
52,76.5
53,71.3
54,74.4
55,75.5
56,71.3
57,81.8
58,72.4
59,81.8
60,80.7
61,69.2
62,68.2
63,75.5
64,69.2
65,74.4
66,69.2
67,61.9
68,62.9
69,50.3
70,44.0
71,49.3
72,50.3
73,50.3
74,43.0
75,50.3
76,50.3
77,44.0
78,49.3
79,50.3
80,44.0
81,50.3
82,45.1
83,48.2
84,50.3
85,44.0
86,49.3
87,50.3
88,50.3
89,44.0
90,76.6
