t,mbps
40.0,52.4
41.0,40.9
42.0,40.9
43.0,31.5
44.0,31.5
45.0,22.0
46.0,18.9
47.0,18.9
48.0,18.9
49.0,21.0
50.0,18.9
51.0,18.9
52.0,15.7
53.0,25.2
54.0,22.0
55.0,22.0
56.0,18.9
57.0,18.9
58.0,17.8
59.0,15.7
60.0,18.9
61.0,22.0
62.0,25.2
63.0,25.2
64.0,25.2
65.0,22.0
66.0,30.4
67.0,34.6
68.0,37.7
69.0,47.2
70.0,47.2
71.0,46.1
72.0,47.2
73.0,47.2
74.0,47.2
75.0,49.3
76.0,47.2
77.0,47.2
78.0,49.3
79.0,47.2
80.0,47.2
81.0,47.2
82.0,49.3
83.0,47.2
84.0,47.2
85.0,47.2
86.0,49.3
87.0,47.2
88.0,47.2
89.0,54.5
90.0,34.7
