t,rtt_ms
0.0,0.833
0.5,6.2
1.0,6.76
1.5,7.28
2.0,7.8
2.5,7.61
3.0,7.91
3.5,8.77
4.0,8.82
4.5,8.63
5.0,3.83
5.5,9.15
6.0,4.27
6.5,4.79
7.0,4.84
7.5,4.82
8.0,4.72
8.5,4.73
9.0,4.69
9.5,4.75
10.0,4.86
10.5,5.66
11.0,6.12
11.5,6.54
12.0,6.83
12.5,7.64
13.0,7.63
13.5,7.62
14.0,8.36
14.5,8.76
15.0,4.12
15.5,4.64
16.0,4.7
16.5,4.74
17.0,8.02
17.5,11.2
18.0,13.5
18.5,15.4
19.0,15.4
19.5,18.3
20.0,22.8
20.5,19.9
21.0,21.8
21.5,23.5
22.0,7.38
22.5,6.07
23.0,9.66
23.5,11.2
24.0,12.5
24.5,14.6
25.0,12.0
25.5,13.9
26.0,16.6
26.5,17.1
27.0,19.8
27.5,21.4
28.0,22.1
28.5,24.4
29.0,24.5
29.5,24.8
30.0,27.2
30.5,26.8
31.0,28.2
31.5,9.49
32.0,10.8
32.5,12.0
33.0,13.7
33.5,16.1
34.0,16.6
34.5,18.3
35.0,18.9
35.5,20.1
36.0,22.1
36.5,23.6
37.0,25.5
37.5,27.1
38.0,16.2
38.5,11.0
39.0,9.95
39.5,12.4
40.0,10.4
40.5,8.76
41.0,13.0
41.5,13.1
42.0,20.4
42.5,22.7
43.0,11.3
43.5,12.9
44.0,13.0
44.5,13.8
45.0,16.3
45.5,9.34
46.0,10.9
46.5,11.7
47.0,15.1
47.5,16.8
48.0,18.0
48.5,6.66
49.0,9.59
49.5,11.1
50.0,12.2
50.5,13.3
51.0,15.3
51.5,15.8
52.0,12.1
52.5,12.6
53.0,14.4
53.5,6.8
54.0,9.08
54.5,9.84
55.0,10.0
55.5,11.1
56.0,11.9
56.5,14.2
57.0,14.8
57.5,13.4
58.0,12.9
58.5,14.8
59.0,15.4
59.5,17.2
60.0,18.6
60.5,19.6
61.0,4.01
61.5,9.5
62.0,8.79
62.5,8.94
63.0,9.07
63.5,8.27
64.0,8.84
64.5,7.9
65.0,8.19
65.5,8.19
66.0,8.1
66.5,9.65
67.0,8.61
67.5,8.82
68.0,7.52
68.5,9.4
69.0,9.05
69.5,8.44
70.0,8.65
70.5,9.0
71.0,8.73
71.5,9.23
72.0,11.2
72.5,10.5
73.0,11.7
73.5,7.46
74.0,9.33
74.5,7.95
75.0,9.21
75.5,9.28
76.0,9.79
76.5,8.88
77.0,10.3
77.5,10.7
78.0,7.96
78.5,8.33
79.0,10.5
79.5,10.8
80.0,9.11
80.5,9.31
81.0,9.92
81.5,8.34
82.0,8.68
82.5,8.62
83.0,8.82
83.5,8.79
84.0,8.81
84.5,9.82
85.0,9.82
85.5,9.79
86.0,11.1
86.5,10.6
87.0,10.8
87.5,9.53
88.0,9.07
88.5,9.04
89.0,9.34
89.5,10.8
