t,rtt_ms
40.0,10.4
40.5,11.4
41.0,12.6
41.5,20.1
42.0,22.0
42.5,21.1
43.0,11.3
43.5,11.7
44.0,14.2
44.5,13.4
45.0,14.8
45.5,10.4
46.0,11.9
46.5,14.2
47.0,15.8
47.5,16.3
48.0,18.0
48.5,8.99
49.0,10.6
49.5,13.2
50.0,13.0
50.5,14.1
51.0,14.1
51.5,17.3
52.0,11.8
52.5,12.6
53.0,14.5
53.5,5.65
54.0,8.67
54.5,9.95
55.0,11.9
55.5,10.9
56.0,14.5
56.5,15.6
57.0,16.5
57.5,12.7
58.0,13.3
58.5,15.1
59.0,16.1
59.5,17.7
60.0,17.7
60.5,21.3
61.0,6.85
61.5,8.21
62.0,7.37
62.5,8.7
63.0,8.9
63.5,8.84
64.0,9.03
64.5,9.95
65.0,9.47
65.5,9.16
66.0,10.3
66.5,5.93
67.0,8.35
67.5,7.59
68.0,8.29
68.5,8.18
69.0,9.88
69.5,10.6
70.0,10.9
70.5,7.69
71.0,8.31
71.5,12.0
72.0,9.06
72.5,10.4
73.0,8.84
73.5,8.39
74.0,7.8
74.5,8.52
75.0,8.38
75.5,10.1
76.0,9.83
76.5,10.6
77.0,9.5
77.5,9.09
78.0,8.62
78.5,8.32
79.0,8.53
79.5,9.59
80.0,9.25
80.5,8.44
81.0,10.0
81.5,8.33
82.0,8.68
82.5,8.79
83.0,8.81
83.5,8.81
84.0,9.16
84.5,9.68
85.0,9.76
85.5,9.49
86.0,8.37
86.5,10.2
87.0,10.8
87.5,11.0
88.0,9.64
88.5,9.03
89.0,9.91
89.5,10.5
