t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778980745.625982,10.10.10.1,,0,100.0
0.009,1778980745.625982,10.10.10.2,,0,100.0
0.009,1778980745.625982,10.10.10.3,,0,100.0
11.164,1778980756.780445,10.10.10.1,,0,100.0
11.164,1778980756.780445,10.10.10.2,,0,100.0
11.164,1778980756.780445,10.10.10.3,,0,100.0
22.245,1778980767.862255,10.10.10.1,,0,100.0
22.245,1778980767.862255,10.10.10.2,,0,100.0
22.245,1778980767.862255,10.10.10.3,,0,100.0
33.349,1778980778.965531,10.10.10.1,,0,100.0
33.349,1778980778.965531,10.10.10.2,,0,100.0
33.349,1778980778.965531,10.10.10.3,,0,100.0
44.467,1778980790.083727,10.10.10.1,,0,100.0
44.467,1778980790.083727,10.10.10.2,,0,100.0
44.467,1778980790.083727,10.10.10.3,,0,100.0
55.571,1778980801.188021,10.10.10.1,,0,100.0
55.571,1778980801.188021,10.10.10.2,,0,100.0
55.571,1778980801.188021,10.10.10.3,,0,100.0
66.689,1778980812.305608,10.10.10.1,,0,100.0
66.689,1778980812.305608,10.10.10.2,,0,100.0
66.689,1778980812.305608,10.10.10.3,,0,100.0
77.773,1778980823.389667,10.10.10.1,,0,100.0
77.773,1778980823.389667,10.10.10.2,,0,100.0
77.773,1778980823.389667,10.10.10.3,,0,100.0
88.855,1778980834.471417,10.10.10.1,,0,100.0
88.855,1778980834.471417,10.10.10.2,,0,100.0
88.855,1778980834.471417,10.10.10.3,,0,100.0
