t,timestamp,packet_in_total,packet_in_rate,packet_in_threshold,controller_cpu_percent,connected_switches,known_hosts,learned_mac_entries,learned_flow_install_count,packet_out_count,mitigation_enabled,mitigation_active,attack_detected,manual_mitigation,mitigated_drop_count
0.003,1778935454.905858,0,0.0,100,1.94,4,6,16,0,0,True,False,False,False,0
1.059,1778935455.962363,0,0.0,100,1.69,4,6,16,0,0,True,False,False,False,0
2.085,1778935456.988279,0,0.0,100,1.47,4,6,16,0,0,True,False,False,False,0
3.102,1778935458.005603,0,0.0,100,1.29,4,6,16,0,0,True,False,False,False,0
4.121,1778935459.024134,0,0.0,100,1.16,4,6,16,0,0,True,False,False,False,0
5.139,1778935460.04183,0,0.0,100,1.08,4,6,16,0,0,True,False,False,False,0
6.21,1778935461.113605,0,0.0,100,1.12,4,6,16,0,0,True,False,False,False,0
7.235,1778935462.13861,0,0.0,100,1.05,4,6,16,0,0,True,False,False,False,0
8.253,1778935463.156004,0,0.0,100,0.99,4,6,16,0,0,True,False,False,False,0
9.27,1778935464.173689,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
10.292,1778935465.195627,0,0.0,100,0.95,4,6,16,0,0,True,False,False,False,0
11.352,1778935466.255682,0,0.0,100,1.0,4,6,16,0,0,True,False,False,False,0
12.376,1778935467.279111,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
13.394,1778935468.297395,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
14.411,1778935469.314676,0,0.0,100,0.93,4,6,16,0,0,True,False,False,False,0
15.435,1778935470.338354,0,0.0,100,0.97,4,6,16,0,0,True,False,False,False,0
16.563,1778935471.466799,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
17.584,1778935472.486865,0,0.0,100,0.96,4,6,16,0,0,True,False,False,False,0
18.602,1778935473.505446,371,123.67,100,14.16,4,5,13,0,367,True,True,True,False,4
19.632,1778935474.535466,472,157.33,100,13.69,4,5,13,0,367,True,True,True,False,105
20.652,1778935475.555596,613,204.33,100,14.42,4,5,13,0,367,True,True,True,False,246
21.729,1778935476.632504,754,124.0,100,14.48,4,5,13,0,367,True,True,True,False,387
22.746,1778935477.649716,921,146.0,100,15.85,4,5,13,0,367,True,True,True,False,554
23.764,1778935478.667507,1075,147.0,100,16.77,4,5,13,0,367,True,True,True,False,708
24.785,1778935479.688775,1266,168.33,100,18.34,4,5,13,0,367,True,True,True,False,899
25.811,1778935480.713834,1374,148.33,100,16.88,4,5,13,0,367,True,True,True,False,1007
26.856,1778935481.759017,1479,127.67,100,15.68,4,5,13,0,367,True,True,True,False,1112
27.876,1778935482.779463,1577,100.67,100,14.87,4,5,13,0,367,True,True,True,False,1210
28.893,1778935483.796574,1677,98.33,100,14.12,4,5,13,0,367,True,True,True,False,1310
29.91,1778935484.813813,1842,119.0,100,15.54,4,5,13,0,367,True,True,True,False,1475
30.95,1778935485.853657,2097,170.33,100,18.52,4,5,13,0,367,True,True,True,False,1730
31.998,1778935486.901536,2334,215.67,100,20.57,4,5,13,0,367,True,True,True,False,1967
33.016,1778935487.919394,2447,192.33,100,18.33,4,5,13,0,367,True,True,True,False,2080
34.033,1778935488.936741,2550,145.67,100,16.47,4,5,13,0,367,True,True,True,False,2183
35.05,1778935489.952943,2736,133.0,100,17.79,4,5,13,0,367,True,True,True,False,2369
36.073,1778935490.976541,2898,148.0,100,17.99,4,5,13,0,367,True,True,True,False,2531
37.12,1778935492.023515,3010,150.67,100,16.71,4,5,13,0,367,True,True,True,False,2643
38.138,1778935493.041405,3113,118.33,100,15.36,4,5,13,0,367,True,True,True,False,2746
39.156,1778935494.058985,3219,104.33,100,14.44,4,5,13,0,367,True,True,True,False,2852
40.176,1778935495.07894,3323,103.0,100,14.0,4,5,13,0,367,True,True,True,False,2956
41.194,1778935496.096949,3462,113.67,100,14.46,4,5,13,0,367,True,True,True,False,3095
42.275,1778935497.178102,3603,124.0,100,14.6,4,5,13,0,367,True,True,True,False,3236
43.293,1778935498.196599,3765,143.33,100,15.61,4,5,13,0,367,True,True,True,False,3398
44.311,1778935499.214758,3862,125.0,100,14.38,4,5,13,0,367,True,True,True,False,3495
45.33,1778935500.233752,4016,136.0,100,15.31,4,5,13,0,367,True,True,True,False,3649
46.354,1778935501.257475,4135,121.0,100,14.91,4,5,13,0,367,True,True,True,False,3768
47.399,1778935502.301898,4237,121.33,100,13.99,4,5,13,0,367,True,True,True,False,3870
48.416,1778935503.319443,4403,121.67,100,15.38,4,5,13,0,367,True,True,True,False,4036
49.435,1778935504.338447,4512,123.33,100,14.56,4,5,13,0,367,True,True,True,False,4145
50.454,1778935505.357164,4682,146.67,100,15.96,4,5,13,0,367,True,True,True,False,4315
51.494,1778935506.397541,4927,171.33,100,18.58,4,5,13,0,367,True,True,True,False,4560
52.548,1778935507.45098,5170,215.33,100,20.71,4,5,13,0,367,True,True,True,False,4803
53.567,1778935508.470756,5323,205.0,100,19.48,4,5,13,0,367,True,True,True,False,4956
54.586,1778935509.488832,5508,188.0,100,19.85,4,5,13,0,367,True,True,True,False,5141
55.605,1778935510.508428,5679,165.33,100,19.88,4,5,13,0,367,True,True,True,False,5312
56.642,1778935511.545319,5927,198.67,100,21.88,4,5,13,0,367,True,True,True,False,5560
57.691,1778935512.594562,6169,212.33,100,23.18,4,5,13,0,367,True,True,True,False,5802
58.711,1778935513.614764,6408,234.67,100,23.99,4,5,13,0,367,True,True,True,False,6041
59.731,1778935514.634065,6607,221.33,100,23.46,4,5,13,0,367,True,True,True,False,6240
60.748,1778935515.651511,6816,211.0,100,23.15,4,5,13,0,367,True,True,True,False,6449
61.769,1778935516.671908,6941,172.0,100,20.81,4,5,13,0,367,True,True,True,False,6574
62.816,1778935517.719202,7162,182.67,100,21.84,4,5,13,0,367,True,True,True,False,6795
63.834,1778935518.736851,7191,119.0,100,16.92,4,5,13,0,367,True,True,True,False,6824
64.851,1778935519.754576,7191,80.33,100,12.58,4,5,13,0,367,True,True,True,False,6824
65.868,1778935520.771198,7191,5.67,100,9.64,4,5,13,0,367,True,True,True,False,6824
66.887,1778935521.790209,7191,0.0,100,7.37,4,5,13,0,367,True,True,True,False,6824
67.919,1778935522.822737,7191,0.0,100,5.99,4,5,13,0,367,True,True,True,False,6824
68.937,1778935523.839957,7191,0.0,100,4.46,4,5,13,0,367,True,True,True,False,6824
69.954,1778935524.857157,7191,0.0,100,3.39,4,5,13,0,367,True,True,False,False,6824
70.974,1778935525.877506,7191,0.0,100,2.71,4,5,13,0,367,True,True,False,False,6824
71.992,1778935526.895619,7191,0.0,100,2.25,4,5,13,0,367,True,True,False,False,6824
73.023,1778935527.926434,7191,0.0,100,1.86,4,5,13,0,367,True,True,False,False,6824
74.041,1778935528.944053,7191,0.0,100,1.57,4,5,13,0,367,True,True,False,False,6824
