t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.003,1778935454.905858,NORMAL,False,0,0,0,0,0,0,0,0,0
1.059,1778935455.962363,NORMAL,False,0,0,0,0,0,0,0,0,0
2.085,1778935456.988279,NORMAL,False,0,0,0,0,0,0,0,0,0
3.102,1778935458.005603,NORMAL,False,0,0,0,0,0,0,0,0,0
4.121,1778935459.024134,NORMAL,False,0,0,0,0,0,0,0,0,0
5.139,1778935460.04183,NORMAL,False,0,0,0,0,0,0,0,0,0
6.21,1778935461.113605,NORMAL,False,0,0,0,0,0,0,0,0,0
7.235,1778935462.13861,NORMAL,False,0,0,0,0,0,0,0,0,0
8.253,1778935463.156004,NORMAL,False,0,0,0,0,0,0,0,0,0
9.27,1778935464.173689,NORMAL,False,0,0,0,0,0,0,0,0,0
10.292,1778935465.195627,NORMAL,False,0,0,0,0,0,0,0,0,0
11.352,1778935466.255682,NORMAL,False,0,0,0,0,0,0,0,0,0
12.376,1778935467.279111,NORMAL,False,0,0,0,0,0,0,0,0,0
13.394,1778935468.297395,NORMAL,False,0,0,0,0,0,0,0,0,0
14.411,1778935469.314676,NORMAL,False,0,0,0,0,0,0,0,0,0
15.435,1778935470.338354,NORMAL,False,0,0,0,0,0,0,0,0,0
16.563,1778935471.466799,NORMAL,False,0,0,0,0,0,0,0,0,0
17.584,1778935472.486865,NORMAL,False,0,0,0,0,0,0,0,0,0
18.602,1778935473.505446,METERING,False,6,5,1,0,0,0,1,3,0
19.632,1778935474.535466,METERING,False,105,104,1,0,0,0,1,3,0
20.652,1778935475.555596,METERING,False,253,252,1,0,0,0,1,3,0
21.729,1778935476.632504,METERING,False,387,386,1,0,0,0,1,3,0
22.746,1778935477.649716,METERING,False,555,554,1,0,0,0,1,3,0
23.764,1778935478.667507,METERING,False,710,709,1,0,0,0,1,3,0
24.785,1778935479.688775,METERING,False,900,899,1,0,0,0,1,3,0
25.811,1778935480.713834,METERING,False,1009,1008,1,0,0,0,1,3,0
26.856,1778935481.759017,LOCKDOWN,True,1114,1113,1,0,0,0,1,3,3
27.876,1778935482.779463,LOCKDOWN,True,1210,1209,1,0,0,0,1,3,3
28.893,1778935483.796574,LOCKDOWN,True,1310,1309,1,0,0,0,1,3,3
29.91,1778935484.813813,LOCKDOWN,True,1480,1479,1,0,0,0,1,3,3
30.95,1778935485.853657,LOCKDOWN,True,1734,1733,1,0,0,0,1,3,3
31.998,1778935486.901536,LOCKDOWN,True,1967,1966,1,0,0,0,1,3,3
33.016,1778935487.919394,LOCKDOWN,True,2080,2079,1,0,0,0,1,3,3
34.033,1778935488.936741,LOCKDOWN,True,2183,2182,1,0,0,0,1,3,3
35.05,1778935489.952943,LOCKDOWN,True,2371,2370,1,0,0,0,1,3,3
36.073,1778935490.976541,LOCKDOWN,True,2531,2530,1,0,0,0,1,3,3
37.12,1778935492.023515,LOCKDOWN,True,2643,2642,1,0,0,0,1,3,3
38.138,1778935493.041405,LOCKDOWN,True,2746,2745,1,0,0,0,1,3,3
39.156,1778935494.058985,LOCKDOWN,True,2853,2852,1,0,0,0,1,3,3
40.176,1778935495.07894,LOCKDOWN,True,2956,2955,1,0,0,0,1,3,3
41.194,1778935496.096949,LOCKDOWN,True,3107,3106,1,0,0,0,1,3,3
42.275,1778935497.178102,LOCKDOWN,True,3237,3236,1,0,0,0,1,3,3
43.293,1778935498.196599,LOCKDOWN,True,3399,3398,1,0,0,0,1,3,3
44.311,1778935499.214758,LOCKDOWN,True,3495,3494,1,0,0,0,1,3,3
45.33,1778935500.233752,LOCKDOWN,True,3655,3654,1,0,0,0,1,3,3
46.354,1778935501.257475,LOCKDOWN,True,3770,3769,1,0,0,0,1,3,3
47.399,1778935502.301898,LOCKDOWN,True,3870,3869,1,0,0,0,1,3,3
48.416,1778935503.319443,LOCKDOWN,True,4037,4036,1,0,0,0,1,3,3
49.435,1778935504.338447,LOCKDOWN,True,4145,4144,1,0,0,0,1,3,3
50.454,1778935505.357164,LOCKDOWN,True,4317,4316,1,0,0,0,1,3,3
51.494,1778935506.397541,LOCKDOWN,True,4566,4565,1,0,0,0,1,3,3
52.548,1778935507.45098,LOCKDOWN,True,4804,4803,1,0,0,0,1,3,3
53.567,1778935508.470756,LOCKDOWN,True,4956,4955,1,0,0,0,1,3,3
54.586,1778935509.488832,LOCKDOWN,True,5143,5142,1,0,0,0,1,3,3
55.605,1778935510.508428,LOCKDOWN,True,5316,5315,1,0,0,0,1,3,3
56.642,1778935511.545319,LOCKDOWN,True,5560,5559,1,0,0,0,1,3,3
57.691,1778935512.594562,LOCKDOWN,True,5804,5803,1,0,0,0,1,3,3
58.711,1778935513.614764,LOCKDOWN,True,6042,6041,1,0,0,0,1,3,3
59.731,1778935514.634065,LOCKDOWN,True,6240,6239,1,0,0,0,1,3,3
60.748,1778935515.651511,LOCKDOWN,True,6452,6451,1,0,0,0,1,3,3
61.769,1778935516.671908,LOCKDOWN,True,6578,6577,1,0,0,0,1,3,3
62.816,1778935517.719202,LOCKDOWN,True,6795,6794,1,0,0,0,1,3,3
63.834,1778935518.736851,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
64.851,1778935519.754576,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
65.868,1778935520.771198,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
66.887,1778935521.790209,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
67.919,1778935522.822737,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
68.937,1778935523.839957,LOCKDOWN,True,6824,6823,1,0,0,0,1,3,3
69.954,1778935524.857157,METERING,False,6824,6823,1,0,0,0,1,2,2
70.974,1778935525.877506,METERING,False,6824,6823,1,0,0,0,1,2,2
71.992,1778935526.895619,METERING,False,6824,6823,1,0,0,0,1,2,2
73.023,1778935527.926434,METERING,False,6824,6823,1,0,0,0,1,2,2
74.041,1778935528.944053,METERING,False,6824,6823,1,0,0,0,1,2,2
