t,rtt_ms
40.0,11.3
40.5,12.5
41.0,12.3
41.5,12.3
42.0,13.3
42.5,13.3
43.0,14.3
43.5,8.94
44.0,10.8
44.5,12.1
45.0,10.5
45.5,12.5
46.0,12.4
46.5,11.7
47.0,8.86
47.5,11.4
48.0,7.54
48.5,10.0
49.0,16.5
49.5,11.4
50.0,9.31
50.5,12.7
51.0,12.1
51.5,13.5
52.0,14.1
52.5,8.41
53.0,13.0
53.5,9.19
54.0,12.9
54.5,13.0
55.0,11.6
55.5,14.2
56.0,12.5
56.5,11.7
57.0,8.12
57.5,9.03
58.0,6.95
58.5,10.8
59.0,11.4
59.5,11.9
60.0,9.4
60.5,12.6
61.0,8.39
61.5,8.16
62.0,10.8
62.5,9.35
63.0,12.3
63.5,15.2
64.0,8.1
64.5,7.4
65.0,11.8
65.5,10.0
66.0,13.7
66.5,14.9
67.0,13.3
67.5,7.62
68.0,7.86
68.5,7.73
69.0,8.65
69.5,9.36
70.0,11.1
70.5,13.7
71.0,8.78
71.5,9.05
72.0,8.18
72.5,9.68
73.0,15.5
73.5,16.2
74.0,16.5
74.5,14.3
