t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.003,1778980843.573716,NORMAL,,False,False,False,0.0,100,,
1.06,1778980844.630986,NORMAL,,False,False,False,0.0,100,,
2.078,1778980845.64916,NORMAL,,False,False,False,0.0,100,,
3.106,1778980846.676957,NORMAL,,False,False,False,0.0,100,,
4.124,1778980847.694786,NORMAL,,False,False,False,0.0,100,,
5.151,1778980848.721837,NORMAL,,False,False,False,0.0,100,,
6.168,1778980849.739206,NORMAL,,False,False,False,0.0,100,,
7.185,1778980850.756487,NORMAL,,False,False,False,0.0,100,,
8.204,1778980851.775104,NORMAL,,False,False,False,0.0,100,,
9.222,1778980852.792718,NORMAL,,False,False,False,0.0,100,,
10.239,1778980853.809772,NORMAL,,False,False,False,0.0,100,,
11.256,1778980854.827009,NORMAL,,False,False,False,0.0,100,,
12.283,1778980855.853822,NORMAL,,False,False,False,0.0,100,,
13.302,1778980856.872818,NORMAL,,False,False,False,0.0,100,,
14.328,1778980857.899276,NORMAL,,False,False,False,0.0,100,,
15.346,1778980858.917108,NORMAL,,False,False,False,0.0,100,,
16.386,1778980859.957406,NORMAL,,False,False,False,0.0,100,,
17.404,1778980860.97513,NORMAL,,False,False,False,0.0,100,,
18.421,1778980861.992645,NORMAL,,False,False,False,0.0,100,,
19.439,1778980863.010652,NORMAL,,False,False,False,30.0,100,,
20.458,1778980864.029289,METERING,,True,True,False,169.67,100,1778980863.84954,1778980863.84954
21.479,1778980865.050375,METERING,,True,True,False,232.67,100,1778980863.84954,1778980863.84954
22.502,1778980866.073302,METERING,,True,True,False,248.33,100,1778980863.84954,1778980863.84954
23.532,1778980867.103463,METERING,,True,True,False,240.0,100,1778980863.84954,1778980863.84954
24.554,1778980868.124986,METERING,,True,True,False,308.0,100,1778980863.84954,1778980863.84954
25.596,1778980869.167452,METERING,,True,True,False,370.0,100,1778980863.84954,1778980863.84954
26.612,1778980870.18366,METERING,,True,True,False,329.0,100,1778980863.84954,1778980863.84954
27.645,1778980871.216314,METERING,,True,True,False,280.67,100,1778980863.84954,1778980863.84954
28.662,1778980872.233588,LOCKDOWN,,True,True,False,274.33,100,1778980863.84954,1778980863.84954
29.685,1778980873.25624,LOCKDOWN,,True,True,False,241.33,100,1778980863.84954,1778980863.84954
30.707,1778980874.27825,LOCKDOWN,,True,True,False,232.0,100,1778980863.84954,1778980863.84954
31.725,1778980875.29633,LOCKDOWN,,True,True,False,200.0,100,1778980863.84954,1778980863.84954
32.743,1778980876.313745,LOCKDOWN,,True,True,False,250.33,100,1778980863.84954,1778980863.84954
33.76,1778980877.331656,LOCKDOWN,,True,True,False,230.0,100,1778980863.84954,1778980863.84954
34.784,1778980878.35551,LOCKDOWN,,True,True,False,250.0,100,1778980863.84954,1778980863.84954
35.803,1778980879.373875,LOCKDOWN,,True,True,False,254.33,100,1778980863.84954,1778980863.84954
36.827,1778980880.398553,LOCKDOWN,,True,True,False,289.0,100,1778980863.84954,1778980863.84954
37.855,1778980881.426206,LOCKDOWN,,True,True,False,271.67,100,1778980863.84954,1778980863.84954
38.884,1778980882.455672,LOCKDOWN,,True,True,False,229.0,100,1778980863.84954,1778980863.84954
39.902,1778980883.473046,LOCKDOWN,,True,True,False,184.0,100,1778980863.84954,1778980863.84954
40.923,1778980884.493907,LOCKDOWN,,True,True,False,134.0,100,1778980863.84954,1778980863.84954
41.94,1778980885.510894,LOCKDOWN,,True,True,False,179.67,100,1778980863.84954,1778980863.84954
42.959,1778980886.530254,LOCKDOWN,,True,True,False,240.33,100,1778980863.84954,1778980863.84954
43.976,1778980887.54747,LOCKDOWN,,True,True,False,259.0,100,1778980863.84954,1778980863.84954
44.998,1778980888.568902,LOCKDOWN,,True,True,False,230.0,100,1778980863.84954,1778980863.84954
46.023,1778980889.594322,LOCKDOWN,,True,True,False,171.67,100,1778980863.84954,1778980863.84954
47.044,1778980890.615036,LOCKDOWN,,True,True,False,230.0,100,1778980863.84954,1778980863.84954
48.073,1778980891.643939,LOCKDOWN,,True,True,False,201.0,100,1778980863.84954,1778980863.84954
49.091,1778980892.662286,LOCKDOWN,,True,True,False,228.67,100,1778980863.84954,1778980863.84954
50.129,1778980893.700178,LOCKDOWN,,True,True,False,161.0,100,1778980863.84954,1778980863.84954
51.148,1778980894.718976,LOCKDOWN,,True,True,False,199.0,100,1778980863.84954,1778980863.84954
52.165,1778980895.736404,LOCKDOWN,,True,True,False,228.67,100,1778980863.84954,1778980863.84954
53.183,1778980896.754022,LOCKDOWN,,True,True,False,234.33,100,1778980863.84954,1778980863.84954
54.205,1778980897.775725,LOCKDOWN,,True,True,False,232.0,100,1778980863.84954,1778980863.84954
55.222,1778980898.793044,LOCKDOWN,,True,True,False,230.33,100,1778980863.84954,1778980863.84954
56.243,1778980899.81413,LOCKDOWN,,True,True,False,270.0,100,1778980863.84954,1778980863.84954
57.268,1778980900.838805,LOCKDOWN,,True,True,False,260.33,100,1778980863.84954,1778980863.84954
58.299,1778980901.87044,LOCKDOWN,,True,True,False,260.0,100,1778980863.84954,1778980863.84954
59.328,1778980902.899193,LOCKDOWN,,True,True,False,214.33,100,1778980863.84954,1778980863.84954
60.348,1778980903.919616,LOCKDOWN,,True,True,False,224.67,100,1778980863.84954,1778980863.84954
61.387,1778980904.958662,LOCKDOWN,,True,True,False,237.0,100,1778980863.84954,1778980863.84954
62.411,1778980905.982201,LOCKDOWN,,True,True,False,280.0,100,1778980863.84954,1778980863.84954
