t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.003,1778980843.573716,eth0,2369.2171,5133.3037,7502.5208,1120168,1094126,0.9856,6.2484,7.234,609497243,121275419,0,0,0,0
1.06,1778980844.630986,eth0,35.9416,38.7791,74.7208,1120206,1094167,0.0458,0.0604,0.1061,609503291,121283395,0,0,0,0
2.078,1778980845.64916,eth0,19.643,27.5002,47.1432,1120226,1094195,0.0273,0.0278,0.0552,609506771,121286939,0,0,0,0
3.106,1778980846.676957,eth0,8.7566,13.6214,22.3779,1120235,1094209,0.0063,0.0139,0.0202,609507583,121288719,0,0,0,0
4.124,1778980847.694786,eth0,11.7898,18.6672,30.457,1120247,1094228,0.0075,0.019,0.0266,609508542,121291140,0,0,0,0
5.151,1778980848.721837,eth0,14.6049,17.5259,32.1308,1120262,1094246,0.0084,0.0179,0.0263,609509614,121293440,0,0,0,0
6.168,1778980849.739206,eth0,11.7951,17.6927,29.4878,1120274,1094264,0.0076,0.0179,0.0256,609510586,121295720,0,0,0,0
7.185,1778980850.756487,eth0,30.4734,37.3545,67.8279,1120305,1094302,0.0208,0.0449,0.0657,609513225,121301434,0,0,0,0
8.204,1778980851.775104,eth0,8.8355,13.7441,22.5796,1120314,1094316,0.0059,0.0147,0.0206,609513977,121303302,0,0,0,0
9.222,1778980852.792718,eth0,8.8442,14.7404,23.5846,1120323,1094331,0.0059,0.0163,0.0222,609514729,121305380,0,0,0,0
10.239,1778980853.809772,eth0,14.7485,17.6982,32.4467,1120338,1094349,0.0086,0.0181,0.0266,609515817,121307680,0,0,0,0
11.256,1778980854.827009,eth0,9.8305,16.7119,26.5425,1120348,1094366,0.0064,0.0178,0.0242,609516637,121309938,0,0,0,0
12.283,1778980855.853822,eth0,11.6866,18.5039,30.1905,1120360,1094385,0.0069,0.0201,0.027,609517525,121312520,0,0,0,0
13.302,1778980856.872818,eth0,10.7949,17.6644,28.4594,1120371,1094403,0.0082,0.0181,0.0263,609518565,121314828,0,0,0,0
14.328,1778980857.899276,eth0,8.768,13.6391,22.4072,1120380,1094417,0.0066,0.0144,0.0211,609519416,121316679,0,0,0,0
15.346,1778980858.917108,eth0,17.6846,24.562,42.2467,1120398,1094442,0.0098,0.0269,0.0366,609520660,121320097,0,0,0,0
16.386,1778980859.957406,eth0,25.9541,29.7992,55.7533,1120425,1094473,0.0355,0.0415,0.077,609525276,121325498,0,0,0,0
17.404,1778980860.97513,eth0,30.4601,36.3556,66.8158,1120456,1094510,0.0205,0.0432,0.0637,609527880,121330992,0,0,0,0
18.421,1778980861.992645,eth0,8.8451,14.7418,23.5869,1120465,1094525,0.0059,0.0163,0.0223,609528632,121333070,0,0,0,0
19.439,1778980863.010652,eth0,118.8597,119.842,238.7017,1120586,1094647,0.1724,0.1001,0.2725,609550572,121345810,0,0,0,0
20.458,1778980864.029289,eth0,512.4499,494.7792,1007.2291,1121108,1095151,0.7839,0.4088,1.1927,609650388,121397858,0,0,0,0
21.479,1778980865.050375,eth0,196.8491,190.973,387.8221,1121309,1095346,0.3388,0.1092,0.448,609693630,121411792,0,0,0,0
22.502,1778980866.073302,eth0,180.8536,174.0105,354.8642,1121494,1095524,0.5135,0.1008,0.6143,609759291,121424685,0,0,0,0
23.532,1778980867.103463,eth0,341.6941,310.631,652.3251,1121846,1095844,1.1081,0.1724,1.2805,609901979,121446881,0,0,0,0
24.554,1778980868.124986,eth0,342.6257,276.0585,618.6842,1122196,1096126,1.1832,0.1545,1.3377,610053063,121466613,0,0,0,0
25.596,1778980869.167452,eth0,282.9828,211.038,494.0208,1122491,1096346,1.0595,0.1201,1.1796,610191127,121482261,0,0,0,0
26.612,1778980870.18366,eth0,248.9647,212.5549,461.5196,1122744,1096562,0.6331,0.121,0.7541,610271547,121497637,0,0,0,0
27.645,1778980871.216314,eth0,238.2211,204.3278,442.5489,1122990,1096773,0.6063,0.1284,0.7347,610349814,121514209,0,0,0,0
28.662,1778980872.233588,eth0,308.6682,252.6361,561.3044,1123304,1097030,1.0465,0.1496,1.1961,610482884,121533236,0,0,0,0
29.685,1778980873.25624,eth0,141.7881,104.6299,246.418,1123449,1097137,0.4361,0.0637,0.4998,610538636,121541374,0,0,0,0
30.707,1778980874.27825,eth0,202.5422,152.6405,355.1827,1123656,1097293,0.7039,0.0891,0.793,610628564,121552758,0,0,0,0
31.725,1778980875.29633,eth0,207.2528,155.1941,362.4469,1123867,1097451,0.552,0.0905,0.6425,610698810,121564274,0,0,0,0
32.743,1778980876.313745,eth0,248.6694,196.5766,445.246,1124120,1097651,0.7795,0.1142,0.8937,610797946,121578802,0,0,0,0
33.76,1778980877.331656,eth0,146.3783,111.0117,257.39,1124269,1097764,0.4277,0.0672,0.4949,610852364,121587352,0,0,0,0
34.784,1778980878.35551,eth0,256.8724,195.3403,452.2127,1124532,1097964,0.9858,0.1116,1.0974,610978524,121601640,0,0,0,0
35.803,1778980879.373875,eth0,235.672,180.6818,416.3538,1124772,1098148,0.9016,0.1042,1.0058,611093288,121614904,0,0,0,0
36.827,1778980880.398553,eth0,247.8826,192.2554,440.138,1125026,1098345,0.8282,0.1256,0.9538,611199364,121630992,0,0,0,0
37.855,1778980881.426206,eth0,237.4344,185.8605,423.2949,1125270,1098536,0.6433,0.1072,0.7505,611282006,121644758,0,0,0,0
38.884,1778980882.455672,eth0,143.7638,89.3667,233.1305,1125418,1098628,0.4146,0.0597,0.4743,611335362,121652442,0,0,0,0
39.902,1778980883.473046,eth0,143.5067,113.0361,256.5428,1125564,1098743,0.3096,0.0681,0.3778,611374740,121661108,0,0,0,0
40.923,1778980884.493907,eth0,170.4443,142.0369,312.4813,1125738,1098888,0.4593,0.1161,0.5755,611433356,121675924,0,0,0,0
41.94,1778980885.510894,eth0,245.8243,206.4924,452.3167,1125988,1099098,0.8566,0.1205,0.9771,611542256,121691240,0,0,0,0
42.959,1778980886.530254,eth0,281.5492,229.5558,511.105,1126275,1099332,0.797,0.1299,0.9269,611643816,121707788,0,0,0,0
43.976,1778980887.54747,eth0,175.9705,129.7659,305.7364,1126454,1099464,0.5523,0.0772,0.6295,611714042,121717600,0,0,0,0
44.998,1778980888.568902,eth0,177.2022,135.1045,312.3067,1126635,1099602,0.6186,0.0798,0.6984,611793027,121727791,0,0,0,0
46.023,1778980889.594322,eth0,162.86,125.802,288.662,1126802,1099731,0.3784,0.0911,0.4695,611841526,121739471,0,0,0,0
47.044,1778980890.615036,eth0,290.9729,226.3123,517.2852,1127099,1099962,0.9937,0.146,1.1396,611968306,121758094,0,0,0,0
48.073,1778980891.643939,eth0,156.4774,123.4325,279.9098,1127260,1100089,0.4543,0.0756,0.5299,612026740,121767812,0,0,0,0
49.091,1778980892.662286,eth0,221.9283,167.9192,389.8475,1127486,1100260,0.5487,0.0975,0.6461,612096584,121780218,0,0,0,0
50.129,1778980893.700178,eth0,125.2539,113.692,238.9459,1127616,1100378,0.371,0.0684,0.4394,612144712,121789094,0,0,0,0
51.148,1778980894.718976,eth0,216.9222,162.9371,379.8593,1127837,1100544,0.5953,0.0946,0.6899,612220522,121801138,0,0,0,0
52.165,1778980895.736404,eth0,262.4264,208.3685,470.7949,1128104,1100756,1.0012,0.1186,1.1198,612347854,121816218,0,0,0,0
53.183,1778980896.754022,eth0,149.3685,108.0956,257.4641,1128256,1100866,0.4303,0.0658,0.4961,612402590,121824590,0,0,0,0
54.205,1778980897.775725,eth0,227.0719,169.3252,396.3971,1128488,1101039,0.7046,0.0979,0.8025,612492572,121837096,0,0,0,0
55.222,1778980898.793044,eth0,270.3183,206.4249,476.7432,1128763,1101249,0.8333,0.1174,0.9506,612598536,121852020,0,0,0,0
