event,t,timestamp,value
metering_started,20.458,1778980864.029289,3
threshold_crossed,20.458,1778980864.029289,169.67
attack_detected,20.458,1778980864.029289,169.67
mitigation_active,20.458,1778980864.029289,169.67
escalation_started,28.662,1778980872.233588,3
threshold_cleared,65.466,1778980909.037222,56.33
attack_cleared,70.568,1778980914.138735,0.0
valid_traffic_started,1.654,1778980843.821351628,both
attack_started,16.797,1778980858.964368644,scapy
attack_ended,64.000,1778980906.167896305,scapy
