t,mbps
0,102.0
1,96.5
2,94.4
3,97.5
4,93.3
5,97.5
6,96.5
7,94.4
8,96.5
9,94.4
10,96.5
11,97.5
12,93.3
13,97.5
14,93.3
15,97.5
16,93.3
17,97.5
18,98.6
19,96.5
20,91.2
21,96.5
22,95.4
23,96.5
24,95.4
25,96.5
26,95.4
27,96.5
28,95.4
29,96.5
30,95.4
31,96.5
32,95.4
33,96.5
34,95.4
35,92.3
36,95.4
37,96.5
38,95.4
39,96.5
40,71.3
41,71.3
42,70.3
43,71.3
44,74.4
45,71.3
46,71.3
47,70.3
48,71.3
49,71.3
50,70.3
51,71.3
52,74.4
53,71.3
54,71.3
55,70.3
56,71.3
57,70.3
58,71.3
59,71.3
60,70.3
61,71.3
62,74.4
63,71.3
64,71.3
65,70.3
66,71.3
67,70.3
68,71.3
69,71.3
70,70.3
71,71.3
72,67.1
73,66.1
74,71.3
75,66.1
76,71.3
77,67.1
78,70.3
79,67.1
80,67.1
81,70.3
82,67.1
83,66.1
84,71.3
85,67.1
86,66.1
87,71.3
88,67.1
89,66.1
90,81.6
