t,mbps
40.0,26.2
41.0,26.2
42.0,24.1
43.0,24.1
44.0,24.1
45.0,24.1
46.0,24.1
47.0,24.1
48.0,24.1
49.0,25.2
50.0,24.1
51.0,24.1
52.0,24.1
53.0,25.2
54.0,23.1
55.0,25.2
56.0,23.1
57.0,25.2
58.0,24.1
59.0,23.1
60.0,24.1
61.0,26.2
62.0,23.1
63.0,24.1
64.0,25.2
65.0,24.1
66.0,24.1
67.0,25.2
68.0,25.2
69.0,24.1
70.0,24.1
71.0,27.3
72.0,26.2
73.0,27.3
74.0,27.3
75.0,26.2
76.0,29.4
77.0,26.2
78.0,26.2
79.0,27.3
80.0,27.3
81.0,27.3
82.0,30.4
83.0,26.2
84.0,27.3
85.0,27.3
86.0,29.4
87.0,24.1
88.0,27.3
89.0,28.3
90.0,25.5
