t,rtt_ms
0.0,0.933
0.5,7.03
1.0,7.71
1.5,7.89
2.0,9.07
2.5,4.22
3.0,4.98
3.5,5.68
4.0,5.82
4.5,5.61
5.0,5.71
5.5,5.88
6.0,6.87
6.5,7.74
7.0,7.76
7.5,7.77
8.0,7.77
8.5,7.69
9.0,7.81
9.5,8.66
10.0,8.77
10.5,8.73
11.0,8.81
11.5,8.69
12.0,8.79
12.5,4.03
13.0,4.9
13.5,5.83
14.0,6.58
14.5,6.72
15.0,6.8
15.5,6.69
16.0,6.87
16.5,7.78
17.0,7.64
17.5,7.69
18.0,8.11
18.5,10.6
19.0,11.7
19.5,8.84
20.0,9.87
20.5,9.74
21.0,9.77
21.5,9.61
22.0,7.39
22.5,10.0
23.0,8.58
23.5,9.01
24.0,9.83
24.5,9.9
25.0,7.18
25.5,7.62
26.0,7.73
26.5,10.4
27.0,11.0
27.5,12.0
28.0,10.0
28.5,10.3
29.0,8.54
29.5,11.3
30.0,8.93
30.5,11.3
31.0,9.32
31.5,7.13
32.0,7.49
32.5,10.7
33.0,7.95
33.5,11.9
34.0,11.7
34.5,9.5
35.0,12.2
35.5,9.8
36.0,9.88
36.5,10.1
37.0,10.6
37.5,8.34
38.0,8.86
38.5,8.71
39.0,8.55
39.5,11.1
40.0,12.1
40.5,11.0
41.0,10.4
41.5,10.9
42.0,8.23
42.5,12.4
43.0,12.8
43.5,12.0
44.0,11.7
44.5,9.77
45.0,10.8
45.5,8.95
46.0,9.26
46.5,12.3
47.0,12.6
47.5,12.7
48.0,12.9
48.5,12.3
49.0,6.52
49.5,11.0
50.0,14.0
50.5,9.57
51.0,10.0
51.5,10.8
52.0,11.4
52.5,10.2
53.0,9.33
53.5,10.6
54.0,10.8
54.5,11.5
55.0,12.6
55.5,12.7
56.0,11.5
56.5,10.3
57.0,9.42
57.5,11.1
58.0,13.7
58.5,12.4
59.0,9.59
59.5,10.8
60.0,13.1
60.5,13.8
61.0,10.3
61.5,11.7
62.0,11.7
62.5,6.79
63.0,7.03
63.5,8.6
64.0,13.3
64.5,10.9
65.0,12.1
65.5,11.8
66.0,10.9
66.5,11.3
67.0,12.7
67.5,12.3
68.0,12.2
68.5,8.55
69.0,9.09
69.5,11.2
70.0,11.0
70.5,11.1
71.0,11.2
71.5,12.1
72.0,7.46
72.5,7.83
73.0,9.1
73.5,11.1
74.0,7.48
74.5,8.5
75.0,8.0
75.5,8.94
76.0,8.69
76.5,9.85
77.0,9.86
77.5,7.96
78.0,7.71
78.5,10.1
79.0,7.84
79.5,9.77
80.0,10.5
80.5,12.2
81.0,7.79
81.5,8.44
82.0,13.1
82.5,8.07
83.0,11.9
83.5,10.8
84.0,10.6
84.5,11.0
85.0,8.29
85.5,6.59
86.0,7.88
86.5,10.0
87.0,8.56
87.5,8.62
88.0,11.7
88.5,6.44
89.0,6.48
89.5,11.0
