t,timestamp,ip,rtt_ms,reachable,loss_pct_last10
0.009,1778980843.580517,10.10.10.1,,0,100.0
0.009,1778980843.580517,10.10.10.2,,0,100.0
0.009,1778980843.580517,10.10.10.3,,0,100.0
11.116,1778980854.687097,10.10.10.1,,0,100.0
11.116,1778980854.687097,10.10.10.2,,0,100.0
11.116,1778980854.687097,10.10.10.3,,0,100.0
22.2,1778980865.770797,10.10.10.1,,0,100.0
22.2,1778980865.770797,10.10.10.2,,0,100.0
22.2,1778980865.770797,10.10.10.3,,0,100.0
33.301,1778980876.871715,10.10.10.1,,0,100.0
33.301,1778980876.871715,10.10.10.2,,0,100.0
33.301,1778980876.871715,10.10.10.3,,0,100.0
44.415,1778980887.985803,10.10.10.1,,0,100.0
44.415,1778980887.985803,10.10.10.2,,0,100.0
44.415,1778980887.985803,10.10.10.3,,0,100.0
55.513,1778980899.083849,10.10.10.1,,0,100.0
55.513,1778980899.083849,10.10.10.2,,0,100.0
55.513,1778980899.083849,10.10.10.3,,0,100.0
66.612,1778980910.182962,10.10.10.1,,0,100.0
66.612,1778980910.182962,10.10.10.2,,0,100.0
66.612,1778980910.182962,10.10.10.3,,0,100.0
77.696,1778980921.26694,10.10.10.1,,0,100.0
77.696,1778980921.26694,10.10.10.2,,0,100.0
77.696,1778980921.26694,10.10.10.3,,0,100.0
88.804,1778980932.375547,10.10.10.1,,0,100.0
88.804,1778980932.375547,10.10.10.2,,0,100.0
88.804,1778980932.375547,10.10.10.3,,0,100.0
