t,mbps
40.0,35.7
41.0,31.5
42.0,33.6
43.0,31.5
44.0,31.5
45.0,30.4
46.0,31.5
47.0,31.5
48.0,31.5
49.0,33.6
50.0,31.5
51.0,30.4
52.0,32.5
53.0,31.5
54.0,30.4
55.0,33.6
56.0,31.5
57.0,33.6
58.0,27.3
59.0,27.3
60.0,24.1
61.0,25.2
62.0,27.3
63.0,25.2
64.0,25.2
65.0,26.2
66.0,25.2
67.0,25.2
68.0,25.2
69.0,23.1
70.0,25.2
71.0,25.2
72.0,23.1
73.0,25.2
74.0,24.1
75.0,23.1
76.0,25.2
77.0,23.1
78.0,25.2
79.0,25.2
80.0,23.1
81.0,25.2
82.0,22.0
83.0,25.2
84.0,25.2
85.0,25.2
86.0,25.2
87.0,27.3
88.0,25.2
89.0,26.2
90.0,27.5
