t,timestamp,iface,rx_pps,tx_pps,total_pps,rx_packets,tx_packets,rx_mbps,tx_mbps,total_mbps,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors
0.002,1778981821.730753,eth0,2451.3758,5311.3142,7762.69,1213845,1170682,1.0198,6.4651,7.4849,641171737,127886387,0,0,0,0
1.059,1778981822.787484,eth0,35.0136,38.7989,73.8125,1213882,1170723,0.0453,0.0602,0.1056,641177725,127894343,0,0,0,0
2.079,1778981823.807462,eth0,18.6278,24.5103,43.1382,1213901,1170748,0.0273,0.0246,0.0519,641181205,127897481,0,0,0,0
3.111,1778981824.839642,eth0,17.4388,20.3453,37.7841,1213919,1170769,0.0099,0.0193,0.0292,641182485,127899971,0,0,0,0
4.129,1778981825.856953,eth0,9.8298,17.6937,27.5235,1213929,1170787,0.0058,0.0198,0.0256,641183221,127902487,0,0,0,0
5.155,1778981826.88302,eth0,7.7968,12.6697,20.4665,1213937,1170800,0.0057,0.0136,0.0193,641183957,127904225,0,0,0,0
6.173,1778981827.901647,eth0,8.8354,14.7257,23.5611,1213946,1170815,0.0058,0.0163,0.0222,641184701,127906303,0,0,0,0
7.191,1778981828.919092,eth0,9.8285,16.7085,26.5371,1213956,1170832,0.0071,0.0185,0.0256,641185605,127908657,0,0,0,0
8.209,1778981829.937758,eth0,15.7068,17.6702,33.377,1213972,1170850,0.0096,0.0169,0.0265,641186829,127910813,0,0,0,0
9.227,1778981830.955042,eth0,8.8471,14.7451,23.5922,1213981,1170865,0.0059,0.0163,0.0223,641187581,127912891,0,0,0,0
10.245,1778981831.973399,eth0,9.8197,15.7116,25.5313,1213991,1170881,0.0063,0.0167,0.023,641188377,127915023,0,0,0,0
11.263,1778981832.990885,eth0,8.8453,16.7079,25.5532,1214000,1170898,0.0059,0.0188,0.0247,641189129,127917409,0,0,0,0
12.287,1778981834.015494,eth0,8.7838,13.6637,22.4476,1214009,1170912,0.0059,0.0146,0.0205,641189881,127919277,0,0,0,0
13.308,1778981835.036067,eth0,15.6775,20.5767,36.2542,1214025,1170933,0.0091,0.0211,0.0301,641191037,127921967,0,0,0,0
14.334,1778981836.062409,eth0,8.769,13.6407,22.4097,1214034,1170947,0.0059,0.0146,0.0204,641191789,127923835,0,0,0,0
15.352,1778981837.080788,eth0,11.7834,21.603,33.3864,1214046,1170969,0.0071,0.0254,0.0325,641192697,127927063,0,0,0,0
16.389,1778981838.116901,eth0,27.0241,30.8847,57.9088,1214074,1171001,0.0398,0.0462,0.086,641197853,127933046,0,0,0,0
17.407,1778981839.135014,eth0,8.8399,14.7331,23.573,1214083,1171016,0.0059,0.0163,0.0222,641198605,127935124,0,0,0,0
18.423,1778981840.151466,eth0,466.3278,556.8387,1023.1665,1214557,1171582,0.8427,0.4509,1.2936,641305671,127992420,0,0,0,0
19.473,1778981841.201281,eth0,197.1775,167.6485,364.826,1214764,1171758,0.3414,0.1206,0.462,641350475,128008244,0,0,0,0
20.495,1778981842.223496,eth0,162.3925,130.1096,292.5021,1214930,1171891,0.496,0.0772,0.5732,641413855,128018110,0,0,0,0
21.513,1778981843.241315,eth0,247.5884,140.4966,388.0849,1215182,1172034,1.3419,0.0826,1.4246,641584587,128028624,0,0,0,0
22.539,1778981844.267606,eth0,212.4154,124.721,337.1364,1215400,1172162,1.2056,0.0746,1.2803,641739255,128038200,0,0,0,0
23.571,1778981845.299521,eth0,262.6184,148.2679,410.8863,1215671,1172315,1.5537,0.0873,1.641,641939662,128049465,0,0,0,0
24.589,1778981846.317401,eth0,148.3476,89.4015,237.7491,1215822,1172406,0.7478,0.056,0.8038,642034812,128056591,0,0,0,0
25.617,1778981847.345584,eth0,144.9158,104.0671,248.9829,1215971,1172513,0.2596,0.0634,0.323,642068174,128064741,0,0,0,0
26.644,1778981848.372318,eth0,236.6728,156.8079,393.4807,1216214,1172674,1.2176,0.0988,1.3164,642224446,128077415,0,0,0,0
27.68,1778981849.407847,eth0,184.4467,107.1916,291.6383,1216405,1172785,1.2623,0.0649,1.3272,642387834,128085817,0,0,0,0
28.701,1778981850.429613,eth0,162.4638,95.9124,258.3761,1216571,1172883,1.1104,0.0592,1.1696,642529658,128093373,0,0,0,0
29.718,1778981851.446715,eth0,175.9903,103.2345,279.2248,1216750,1172988,1.2521,0.0631,1.3152,642688846,128101391,0,0,0,0
30.738,1778981852.466496,eth0,135.3231,78.4482,213.7713,1216888,1173068,0.5333,0.05,0.5832,642756822,128107759,0,0,0,0
31.758,1778981853.486023,eth0,200.0928,102.0081,302.1009,1217092,1173172,0.7814,0.0626,0.8439,642856398,128115735,0,0,0,0
32.782,1778981854.510206,eth0,186.4903,114.2375,300.7278,1217283,1173289,1.3643,0.0702,1.4345,643031062,128124721,0,0,0,0
33.803,1778981855.530983,eth0,143.0282,86.2088,229.237,1217429,1173377,0.7903,0.0543,0.8447,643131906,128131653,0,0,0,0
34.827,1778981856.555532,eth0,123.957,74.179,198.136,1217556,1173453,0.6122,0.0477,0.6599,643210314,128137757,0,0,0,0
35.845,1778981857.573071,eth0,130.7075,80.5866,211.2942,1217689,1173535,0.6349,0.0514,0.6863,643291074,128144289,0,0,0,0
36.875,1778981858.602901,eth0,124.2923,94.1903,218.4826,1217817,1173632,0.2046,0.0584,0.263,643317418,128151803,0,0,0,0
37.897,1778981859.62525,eth0,120.3112,104.6609,224.9721,1217940,1173739,0.2039,0.0652,0.2691,643343478,128160129,0,0,0,0
38.922,1778981860.650737,eth0,124.8188,74.1112,198.9299,1218068,1173815,0.5729,0.0465,0.6194,643416910,128166089,0,0,0,0
39.941,1778981861.669608,eth0,126.6107,75.5738,202.1846,1218197,1173892,0.6023,0.0484,0.6507,643493622,128172247,0,0,0,0
40.959,1778981862.686934,eth0,243.7764,165.1388,408.9152,1218445,1174060,1.4668,0.1314,1.5982,643680154,128188957,0,0,0,0
41.977,1778981863.704951,eth0,200.3895,113.947,314.3364,1218649,1174176,1.2113,0.0687,1.28,643834300,128197693,0,0,0,0
42.994,1778981864.722728,eth0,205.3495,112.9913,318.3408,1218858,1174291,0.77,0.0682,0.8382,643932258,128206371,0,0,0,0
44.021,1778981865.74977,eth0,117.8141,71.0779,188.892,1218979,1174364,0.5545,0.0459,0.6004,644003446,128212265,0,0,0,0
45.039,1778981866.767348,eth0,115.9617,71.739,187.7007,1219097,1174437,0.505,0.0467,0.5517,644067686,128218203,0,0,0,0
46.063,1778981867.791445,eth0,120.1058,76.1647,196.2705,1219220,1174515,0.5499,0.0488,0.5987,644138086,128224447,0,0,0,0
47.082,1778981868.810743,eth0,125.5766,78.4854,204.062,1219348,1174595,0.6415,0.0504,0.6919,644219826,128230863,0,0,0,0
48.115,1778981869.842834,eth0,236.4133,142.4293,378.8427,1219592,1174742,0.6803,0.0853,0.7656,644307594,128241865,0,0,0,0
49.131,1778981870.859676,eth0,144.5652,97.3602,241.9255,1219739,1174841,0.8529,0.0603,0.9132,644415998,128249531,0,0,0,0
50.155,1778981871.883447,eth0,113.3065,71.305,184.6115,1219855,1174914,0.5546,0.0462,0.6007,644486966,128255437,0,0,0,0
51.175,1778981872.903376,eth0,122.5576,76.4759,199.0335,1219980,1174992,0.6726,0.049,0.7216,644572714,128261681,0,0,0,0
52.195,1778981873.923465,eth0,204.8842,120.5778,325.462,1220189,1175115,1.2302,0.0723,1.3026,644729582,128270903,0,0,0,0
53.213,1778981874.940902,eth0,228.0239,133.6692,361.6931,1220421,1175251,0.7925,0.0791,0.8716,644830366,128280967,0,0,0,0
54.238,1778981875.966506,eth0,168.681,99.4535,268.1346,1220594,1175353,0.8615,0.061,0.9225,644940814,128288787,0,0,0,0
55.256,1778981876.98442,eth0,204.3396,131.6419,335.9814,1220802,1175487,1.4389,0.078,1.5169,645123902,128298707,0,0,0,0
56.282,1778981878.010292,eth0,158.8892,96.5032,255.3924,1220965,1175586,0.963,0.0597,1.0227,645247394,128306357,0,0,0,0
57.31,1778981879.037856,eth0,170.3057,99.2639,269.5696,1221140,1175688,1.0076,0.0626,1.0702,645376814,128314401,0,0,0,0
58.331,1778981880.059319,eth0,115.5206,70.4872,186.0078,1221258,1175760,0.4325,0.0444,0.4769,645432036,128320065,0,0,0,0
59.358,1778981881.086015,eth0,111.0358,96.4258,207.4617,1221372,1175859,0.2813,0.0596,0.3409,645468140,128327711,0,0,0,0
60.375,1778981882.103607,eth0,146.424,101.2193,247.6434,1221521,1175962,0.4654,0.0622,0.5276,645527338,128335629,0,0,0,0
61.402,1778981883.130116,eth0,125.6686,80.8566,206.5252,1221650,1176045,0.6326,0.0518,0.6844,645608514,128342271,0,0,0,0
62.422,1778981884.150471,eth0,122.5063,73.5038,196.0101,1221775,1176120,0.5624,0.0498,0.6122,645680242,128348629,0,0,0,0
63.441,1778981885.169717,eth0,127.5454,91.244,218.7894,1221905,1176213,0.5888,0.0779,0.6667,645755254,128358554,0,0,0,0
64.459,1778981886.187268,eth0,11.793,17.6895,29.4825,1221917,1176231,0.0094,0.0179,0.0273,645756446,128360830,0,0,0,0
65.477,1778981887.204821,eth0,11.793,17.6895,29.4825,1221929,1176249,0.0094,0.0179,0.0273,645757638,128363106,0,0,0,0
66.494,1778981888.222413,eth0,14.7407,19.6542,34.3949,1221944,1176269,0.0107,0.019,0.0297,645759002,128365522,0,0,0,0
67.513,1778981889.241101,eth0,17.6698,22.5781,40.2479,1221962,1176292,0.0116,0.0209,0.0324,645760476,128368178,0,0,0,0
68.538,1778981890.266044,eth0,12.6836,18.5376,31.2212,1221975,1176311,0.0096,0.0182,0.0278,645761708,128370508,0,0,0,0
69.555,1778981891.283311,eth0,16.7114,26.5417,43.2531,1221992,1176338,0.0114,0.0271,0.0385,645763160,128373954,0,0,0,0
70.583,1778981892.311017,eth0,12.6495,18.4878,31.1373,1222005,1176357,0.0097,0.0181,0.0278,645764404,128376284,0,0,0,0
71.601,1778981893.329541,eth0,17.6726,23.5635,41.2361,1222023,1176381,0.0119,0.0224,0.0343,645765916,128379136,0,0,0,0
72.627,1778981894.355575,eth0,11.6955,17.5433,29.2388,1222035,1176399,0.0093,0.0177,0.027,645767108,128381412,0,0,0,0
