event,t,timestamp,value
threshold_crossed,18.423,1778981840.151466,152.0
metering_started,19.473,1778981841.201281,3
attack_detected,19.473,1778981841.201281,222.67
mitigation_active,19.473,1778981841.201281,222.67
escalation_started,26.644,1778981848.372318,3
threshold_cleared,64.459,1778981886.187268,76.0
attack_cleared,69.555,1778981891.283311,0.0
valid_traffic_started,1.605,1778981821.970314197,both
attack_started,16.750,1778981837.115218158,scapy
attack_ended,63.963,1778981884.328580758,scapy
