t,timestamp,phase,lockdown_active,mitigated_drop_count,dropped_unknown_count,dropped_overrate_count,dropped_unknown_destination_count,trusted_source_count,source_seen_count_total,mitigated_source_count,rate_limited_ports_count,escalated_ports_count
0.002,1778981821.730753,NORMAL,False,0,0,0,0,0,0,0,0,0
1.059,1778981822.787484,NORMAL,False,0,0,0,0,0,0,0,0,0
2.079,1778981823.807462,NORMAL,False,0,0,0,0,0,0,0,0,0
3.111,1778981824.839642,NORMAL,False,0,0,0,0,0,0,0,0,0
4.129,1778981825.856953,NORMAL,False,0,0,0,0,0,0,0,0,0
5.155,1778981826.88302,NORMAL,False,0,0,0,0,0,0,0,0,0
6.173,1778981827.901647,NORMAL,False,0,0,0,0,0,0,0,0,0
7.191,1778981828.919092,NORMAL,False,0,0,0,0,0,0,0,0,0
8.209,1778981829.937758,NORMAL,False,0,0,0,0,0,0,0,0,0
9.227,1778981830.955042,NORMAL,False,0,0,0,0,0,0,0,0,0
10.245,1778981831.973399,NORMAL,False,0,0,0,0,0,0,0,0,0
11.263,1778981832.990885,NORMAL,False,0,0,0,0,0,0,0,0,0
12.287,1778981834.015494,NORMAL,False,0,0,0,0,0,0,0,0,0
13.308,1778981835.036067,NORMAL,False,0,0,0,0,0,0,0,0,0
14.334,1778981836.062409,NORMAL,False,0,0,0,0,0,0,0,0,0
15.352,1778981837.080788,NORMAL,False,0,0,0,0,0,0,0,0,0
16.389,1778981838.116901,NORMAL,False,0,0,0,0,0,0,0,0,0
17.407,1778981839.135014,NORMAL,False,0,0,0,0,0,0,0,0,0
18.423,1778981840.151466,NORMAL,False,0,0,0,0,1,471,0,0,0
19.473,1778981841.201281,METERING,False,183,182,1,0,0,0,1,3,0
20.495,1778981842.223496,METERING,False,346,345,1,0,0,0,1,3,0
21.513,1778981843.241315,METERING,False,610,609,1,0,0,0,1,3,0
22.539,1778981844.267606,METERING,False,850,849,1,0,0,0,1,3,0
23.571,1778981845.299521,METERING,False,1162,1161,1,0,0,0,1,3,0
24.589,1778981846.317401,METERING,False,1309,1308,1,0,0,0,1,3,0
25.617,1778981847.345584,METERING,False,1462,1461,1,0,0,0,1,3,0
26.644,1778981848.372318,LOCKDOWN,True,1766,1765,1,0,0,0,1,3,3
27.68,1778981849.407847,LOCKDOWN,True,2029,2028,1,0,0,0,1,3,3
28.701,1778981850.429613,LOCKDOWN,True,2254,2253,1,0,0,0,1,3,3
29.718,1778981851.446715,LOCKDOWN,True,2503,2502,1,0,0,0,1,3,3
30.738,1778981852.466496,LOCKDOWN,True,2650,2649,1,0,0,0,1,3,3
31.758,1778981853.486023,LOCKDOWN,True,2938,2937,1,0,0,0,1,3,3
32.782,1778981854.510206,LOCKDOWN,True,3214,3213,1,0,0,0,1,3,3
33.803,1778981855.530983,LOCKDOWN,True,3370,3369,1,0,0,0,1,3,3
34.827,1778981856.555532,LOCKDOWN,True,3490,3489,1,0,0,0,1,3,3
