t,rtt_ms
0.0,0.927
0.5,4.82
1.0,8.1
1.5,5.87
2.0,4.34
2.5,7.86
3.0,5.4
3.5,5.44
4.0,8.16
4.5,6.27
5.0,3.92
5.5,4.82
6.0,4.91
6.5,8.27
7.0,5.9
7.5,6.76
8.0,5.23
8.5,5.78
9.0,5.69
9.5,5.64
10.0,5.83
10.5,6.84
11.0,7.55
11.5,7.73
12.0,7.82
12.5,7.75
13.0,7.87
13.5,7.96
14.0,8.83
14.5,8.77
15.0,8.86
15.5,8.8
16.0,8.77
16.5,9.33
17.0,7.7
17.5,12.8
18.0,12.7
18.5,12.6
19.0,12.8
19.5,13.7
20.0,13.9
20.5,13.8
21.0,14.0
21.5,12.6
22.0,13.3
22.5,14.0
23.0,14.7
23.5,14.8
24.0,15.7
24.5,15.5
25.0,12.3
25.5,12.8
26.0,12.9
26.5,14.0
27.0,12.5
27.5,12.8
28.0,12.8
28.5,13.2
29.0,13.7
29.5,13.5
30.0,14.2
30.5,14.9
31.0,14.9
31.5,12.3
32.0,13.7
32.5,15.2
33.0,15.3
33.5,17.2
34.0,13.5
34.5,14.7
35.0,14.7
35.5,14.0
36.0,14.6
36.5,15.8
37.0,16.1
37.5,14.2
38.0,14.7
38.5,12.0
39.0,14.4
39.5,15.9
40.0,15.5
40.5,14.8
41.0,15.6
41.5,16.0
42.0,17.2
42.5,16.1
43.0,16.7
43.5,14.8
44.0,23.8
44.5,23.5
45.0,23.9
45.5,23.2
46.0,23.3
46.5,21.7
47.0,23.1
47.5,23.4
48.0,21.9
48.5,22.7
49.0,22.8
49.5,22.7
50.0,23.1
50.5,23.9
51.0,23.9
51.5,23.8
52.0,22.8
52.5,21.9
53.0,23.0
53.5,23.9
54.0,23.5
54.5,23.6
55.0,22.4
55.5,23.7
56.0,22.5
56.5,22.1
57.0,23.7
57.5,27.8
58.0,10.3
58.5,12.1
59.0,10.1
59.5,10.5
60.0,10.6
60.5,11.4
61.0,8.96
61.5,11.3
62.0,12.6
62.5,10.9
63.0,10.6
63.5,10.2
64.0,10.8
64.5,11.7
65.0,11.6
65.5,16.7
66.0,14.6
66.5,13.4
67.0,14.0
67.5,16.3
68.0,14.7
68.5,15.6
69.0,14.3
69.5,15.1
70.0,14.8
70.5,16.2
71.0,15.0
71.5,15.0
72.0,16.6
72.5,15.4
73.0,16.1
73.5,14.4
74.0,15.8
74.5,16.4
75.0,15.7
75.5,16.1
76.0,15.0
76.5,14.6
77.0,15.0
77.5,19.5
78.0,20.2
78.5,22.1
79.0,19.7
79.5,20.6
80.0,18.5
80.5,20.3
81.0,21.4
81.5,19.0
82.0,20.0
82.5,19.2
83.0,21.6
83.5,19.2
84.0,20.3
84.5,21.5
85.0,21.8
85.5,19.3
86.0,21.3
86.5,20.5
87.0,20.3
87.5,25.1
88.0,24.7
88.5,25.2
89.0,24.2
89.5,23.4
