t,timestamp,phase,lockdown_active,attack_detected,mitigation_active,manual_mitigation,packet_in_rate,threshold_rate,attack_detection_time,mitigation_start_time
0.002,1778981626.079334,NORMAL,,False,False,False,0.0,100,,
1.058,1778981627.135286,NORMAL,,False,False,False,0.0,100,,
2.077,1778981628.153525,NORMAL,,False,False,False,0.0,100,,
3.114,1778981629.190982,NORMAL,,False,False,False,0.0,100,,
4.133,1778981630.209755,NORMAL,,False,False,False,0.0,100,,
5.159,1778981631.235445,NORMAL,,False,False,False,0.0,100,,
6.176,1778981632.253168,NORMAL,,False,False,False,0.0,100,,
7.193,1778981633.270319,NORMAL,,False,False,False,0.0,100,,
8.211,1778981634.288004,NORMAL,,False,False,False,0.0,100,,
9.229,1778981635.305434,NORMAL,,False,False,False,0.0,100,,
10.248,1778981636.324768,NORMAL,,False,False,False,0.0,100,,
11.267,1778981637.343878,NORMAL,,False,False,False,0.0,100,,
12.294,1778981638.371304,NORMAL,,False,False,False,0.0,100,,
13.313,1778981639.389606,NORMAL,,False,False,False,0.0,100,,
14.339,1778981640.416198,NORMAL,,False,False,False,0.0,100,,
15.358,1778981641.434726,NORMAL,,False,False,False,0.0,100,,
16.392,1778981642.469218,NORMAL,,False,False,False,0.0,100,,
17.41,1778981643.486871,NORMAL,,False,False,False,0.0,100,,
18.427,1778981644.503825,NORMAL,,False,False,False,0.0,100,,
19.447,1778981645.523462,METERING,,True,True,False,113.33,100,1778981645.5224977,1778981645.5224977
20.489,1778981646.566205,METERING,,True,True,False,166.67,100,1778981645.5224977,1778981645.5224977
21.507,1778981647.583466,METERING,,True,True,False,250.67,100,1778981645.5224977,1778981645.5224977
22.524,1778981648.600981,METERING,,True,True,False,206.67,100,1778981645.5224977,1778981645.5224977
23.558,1778981649.634905,METERING,,True,True,False,216.0,100,1778981645.5224977,1778981645.5224977
24.577,1778981650.653841,METERING,,True,True,False,236.0,100,1778981645.5224977,1778981645.5224977
25.606,1778981651.682441,METERING,,True,True,False,261.67,100,1778981645.5224977,1778981645.5224977
26.623,1778981652.699613,METERING,,True,True,False,256.0,100,1778981645.5224977,1778981645.5224977
27.649,1778981653.725914,LOCKDOWN,,True,True,False,219.67,100,1778981645.5224977,1778981645.5224977
28.677,1778981654.753766,LOCKDOWN,,True,True,False,213.67,100,1778981645.5224977,1778981645.5224977
29.696,1778981655.772951,LOCKDOWN,,True,True,False,207.33,100,1778981645.5224977,1778981645.5224977
30.721,1778981656.797912,LOCKDOWN,,True,True,False,227.67,100,1778981645.5224977,1778981645.5224977
31.744,1778981657.820751,LOCKDOWN,,True,True,False,220.33,100,1778981645.5224977,1778981645.5224977
32.761,1778981658.83824,LOCKDOWN,,True,True,False,220.33,100,1778981645.5224977,1778981645.5224977
33.783,1778981659.859482,LOCKDOWN,,True,True,False,192.0,100,1778981645.5224977,1778981645.5224977
34.807,1778981660.884106,LOCKDOWN,,True,True,False,168.67,100,1778981645.5224977,1778981645.5224977
35.825,1778981661.901529,LOCKDOWN,,True,True,False,196.0,100,1778981645.5224977,1778981645.5224977
36.85,1778981662.926981,LOCKDOWN,,True,True,False,223.33,100,1778981645.5224977,1778981645.5224977
37.873,1778981663.950315,LOCKDOWN,,True,True,False,248.67,100,1778981645.5224977,1778981645.5224977
38.898,1778981664.974813,LOCKDOWN,,True,True,False,220.0,100,1778981645.5224977,1778981645.5224977
39.916,1778981665.992594,LOCKDOWN,,True,True,False,182.33,100,1778981645.5224977,1778981645.5224977
40.935,1778981667.011466,LOCKDOWN,,True,True,False,182.0,100,1778981645.5224977,1778981645.5224977
41.96,1778981668.036865,LOCKDOWN,,True,True,False,220.33,100,1778981645.5224977,1778981645.5224977
42.984,1778981669.061125,LOCKDOWN,,True,True,False,264.0,100,1778981645.5224977,1778981645.5224977
44.001,1778981670.078344,LOCKDOWN,,True,True,False,244.0,100,1778981645.5224977,1778981645.5224977
45.025,1778981671.102097,LOCKDOWN,,True,True,False,242.0,100,1778981645.5224977,1778981645.5224977
46.057,1778981672.133817,LOCKDOWN,,True,True,False,216.67,100,1778981645.5224977,1778981645.5224977
47.075,1778981673.151613,LOCKDOWN,,True,True,False,193.0,100,1778981645.5224977,1778981645.5224977
48.105,1778981674.182288,LOCKDOWN,,True,True,False,168.0,100,1778981645.5224977,1778981645.5224977
49.123,1778981675.199664,LOCKDOWN,,True,True,False,188.0,100,1778981645.5224977,1778981645.5224977
50.151,1778981676.227513,LOCKDOWN,,True,True,False,240.0,100,1778981645.5224977,1778981645.5224977
51.17,1778981677.246424,LOCKDOWN,,True,True,False,267.33,100,1778981645.5224977,1778981645.5224977
52.189,1778981678.266354,LOCKDOWN,,True,True,False,237.33,100,1778981645.5224977,1778981645.5224977
53.208,1778981679.285096,LOCKDOWN,,True,True,False,211.33,100,1778981645.5224977,1778981645.5224977
54.228,1778981680.30481,LOCKDOWN,,True,True,False,160.0,100,1778981645.5224977,1778981645.5224977
55.246,1778981681.322867,LOCKDOWN,,True,True,False,138.0,100,1778981645.5224977,1778981645.5224977
56.266,1778981682.342824,LOCKDOWN,,True,True,False,111.33,100,1778981645.5224977,1778981645.5224977
57.29,1778981683.367198,LOCKDOWN,,True,True,False,116.0,100,1778981645.5224977,1778981645.5224977
58.309,1778981684.385388,LOCKDOWN,,True,True,False,121.67,100,1778981645.5224977,1778981645.5224977
59.338,1778981685.415063,LOCKDOWN,,True,True,False,156.0,100,1778981645.5224977,1778981645.5224977
60.357,1778981686.434003,LOCKDOWN,,True,True,False,208.0,100,1778981645.5224977,1778981645.5224977
61.385,1778981687.462253,LOCKDOWN,,True,True,False,263.33,100,1778981645.5224977,1778981645.5224977
62.406,1778981688.482621,LOCKDOWN,,True,True,False,276.0,100,1778981645.5224977,1778981645.5224977
63.429,1778981689.505464,LOCKDOWN,,True,True,False,257.33,100,1778981645.5224977,1778981645.5224977
64.457,1778981690.533578,LOCKDOWN,,True,True,False,166.67,100,1778981645.5224977,1778981645.5224977
65.475,1778981691.551629,LOCKDOWN,,True,True,False,70.67,100,1778981645.5224977,1778981645.5224977
66.493,1778981692.570237,LOCKDOWN,,True,True,False,0.0,100,1778981645.5224977,1778981645.5224977
67.511,1778981693.587591,LOCKDOWN,,True,True,False,0.0,100,1778981645.5224977,1778981645.5224977
68.535,1778981694.612072,LOCKDOWN,,True,True,False,0.0,100,1778981645.5224977,1778981645.5224977
69.553,1778981695.629684,LOCKDOWN,,True,True,False,0.0,100,1778981645.5224977,1778981645.5224977
70.579,1778981696.656269,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
71.6,1778981697.677133,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
72.627,1778981698.703504,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
73.645,1778981699.721748,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
74.662,1778981700.739294,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
75.681,1778981701.758136,METERING,,False,True,False,0.0,100,1778981645.5224977,1778981645.5224977
76.699,1778981702.77572,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
77.723,1778981703.799999,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
78.763,1778981704.840001,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
79.782,1778981705.858989,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
80.813,1778981706.889455,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
81.831,1778981707.90765,NORMAL,,False,True,False,0.0,100,1778981645.5224977,
